add_time,address,area,city,lat,lng,name,province,tel,topic
2019-09-05,交通路与滨江中路交叉口东50米,江津区,重庆市,106.119058,29.061160,玉骑玲电动车,重庆市,无,玉骑玲车
2019-09-05,龙兴大道114号附近,铜梁区,重庆市,106.083808,29.848231,玉骑玲电动车,重庆市,13308375779,玉骑玲车
2019-09-05,滩口镇,北碚区,重庆市,106.516450,29.815793,玉骑玲电动车,重庆市,无,玉骑玲车
2019-09-05,长征路北段231号,黔江区,重庆市,108.785448,29.532765,玉骑玲电动车,重庆市,13996909031,玉骑玲车
2019-09-05,平安桥,云阳县,重庆市,108.513936,31.032196,玉骑玲电动车专卖店,重庆市,15320655800;15310066887,玉骑玲车
2019-09-05,驿贸街7号附2号,九龙坡区,重庆市,106.367509,29.483488,玉骑铃电动车,重庆市,15923033266,玉骑玲车
2019-09-05,巴川街道办事处银柿路62号(铜梁区电摩城4-6),铜梁区,重庆市,106.085549,29.859918,玉骑铃电动车,重庆市,023-45262005,玉骑玲车
2019-09-05,体育馆对面后街汇景大厦B幢底楼38号,綦江区,重庆市,106.648656,29.041658,玉骑铃电动车,重庆市,无,玉骑玲车
2019-09-05,歇马熙淋公寓东北60米(碚青路西),北碚区,重庆市,106.367915,29.761509,玉骑铃电动车,重庆市,15025357689,玉骑玲车
2019-09-05,平都大道东段232号附近,丰都县,重庆市,107.742620,29.873099,玉骑铃电动车,重庆市,无,玉骑玲车
2019-09-05,东城街道铜合路口,铜梁区,重庆市,106.097395,29.856078,玉骑铃电动车,重庆市,无,玉骑玲车
2019-09-05,白岩路508号,万州区,重庆市,108.356629,30.818418,玉骑铃电动车,重庆市,无,玉骑玲车
2019-09-05,梁山街道机场路848号,梁平区,重庆市,107.785963,30.669053,玉骑铃电动车,重庆市,无,玉骑玲车
2019-09-05,龙溪路18-1号,北碚区,重庆市,106.440395,29.816394,玉骑铃电动车,重庆市,023-68231936,玉骑玲车
2019-09-05,开州区开州大道西16-18号附近,开州区,重庆市,108.387877,31.161009,玉骑铃电动车(邮政佳苑西南),重庆市,无,玉骑玲车
2019-09-05,澄兴路101-附2号附近,北碚区,重庆市,106.386735,29.870617,玉骑铃电动车(澄兴路店),重庆市,023-68236710;17784413421,玉骑玲车
2019-09-05,鱼洞街道鱼胡路5号一城龙洲20栋门面1号附3号玉骑玲电动车,巴南区,重庆市,106.530725,29.376724,玉骑铃电动车,重庆市,15998998047,玉骑玲车
2019-09-05,万寿大道68号,石柱土家族自治县,重庆市,108.117898,29.992576,玉骑铃电动车(石柱店),重庆市,023-73323232;18716907135,玉骑玲车
2019-09-05,万盛经开区万东北路枫香雅苑(聚鑫缘西北150米),綦江区,重庆市,106.926667,28.950892,玉骑铃电动车售后部,重庆市,13399830786,玉骑玲车
2019-09-05,夔州路26号,奉节县,重庆市,109.478372,31.022948,玉骑铃电动车专卖店,重庆市,无,玉骑玲车
2019-09-05,三峡路14号附8号,长寿区,重庆市,107.072350,29.836045,玉骑铃电动车专卖店,重庆市,18223598191,玉骑玲车
2019-09-05,双星路12号附近,大足区,重庆市,105.763453,29.490884,钱江摩托(车城大道),重庆市,13996075761,玉骑玲车
