add_time,address,area,city,lat,lng,name,province,tel,topic
2019-09-09,南陈路与顺沙路交叉口东北100米,顺义区,北京市,116.617717,40.141097,新蕾电动车,北京市,无,新蕾
2019-09-09,五所南路与玉桥西路南延交叉口东南50米,通州区,北京市,116.672655,39.878700,新蕾电动,北京市,无,新蕾
2019-09-09,双桥路康惠园5号院2号楼底商109号,朝阳区,北京市,116.578155,39.903856,新蕾电动,北京市,15201597420,新蕾
2019-09-09,化工路与垡头路交叉口西南100米,朝阳区,北京市,116.513417,39.860220,新蕾电动车店,北京市,13901243873,新蕾
2019-09-09,宋梁路16号附近,通州区,北京市,116.732133,39.941968,新蕾电动车,北京市,无,新蕾
2019-09-09,西北旺傅家窑南区35号平房区,海淀区,北京市,116.257148,40.042561,新蕾电动车,北京市,无,新蕾
2019-09-09,十八里店十里河村314号,朝阳区,北京市,116.462658,39.860970,新蕾电动(十里河店),北京市,13311116009,新蕾
2019-09-09,宏盛路330号,大兴区,北京市,116.331496,39.794221,美强电动车行(西红门店),北京市,010-60245392;18911667212,新蕾
2019-09-09,马驹桥镇莲水怡园220号,通州区,北京市,116.547208,39.762936,特莱维狮电动车(北五村小区外环路店),北京市,无,新蕾
2019-09-09,良乡拱辰南大街42号a座,房山区,北京市,116.143454,39.726693,新蕾电动车(南关东路),北京市,无,新蕾
2019-09-09,城关街道农林路祺兴缘家园1号楼底商,房山区,北京市,115.984618,39.688257,新蕾电动车(祺兴缘家园北),北京市,无,新蕾
2019-09-09,北小营镇光明一街与顺密路交叉口北100米,顺义区,北京市,116.726461,40.199064,新蕾电动车,北京市,15116919416,新蕾
2019-09-09,北苑旅游新村39号,通州区,北京市,116.642581,39.901935,新蕾电动,北京市,15011518100,新蕾
2019-09-09,河湾路附近,朝阳区,北京市,116.575762,40.007808,小鸟新蕾电动车,北京市,无,新蕾
2019-09-09,梁台路与静霸公路交叉口西北50米,静海区,天津市,116.791667,39.021948,新蕾电动车,天津市,无,新蕾
2019-09-09,蓟州区蓟州区蓟州区安裕新村(四正街),蓟州区,天津市,117.413196,40.037732,新蕾电动车(蓟县连锁店),天津市,无,新蕾
2019-09-09,双口二村工业园区津永公路南6110号,北辰区,天津市,117.037420,39.233270,新蕾电动车(交界路),天津市,无,新蕾
2019-09-09,沙庄路与陈庄新村路交叉口东150米,武清区,天津市,116.958103,39.618761,新蕾电动车河西务厂家直营店,天津市,无,新蕾
2019-09-09,联盟路与高中街交叉口东南50米,新华区,石家庄市,114.470797,38.078819,新蕾电动,河北省,无,新蕾
2019-09-09,槐安西路262西北90米,桥西区,石家庄市,114.431908,38.024721,新蕾电动,河北省,无,新蕾
2019-09-09,西三庄街145号,新华区,石家庄市,114.448116,38.083446,新蕾电动车,河北省,无,新蕾
2019-09-09,和平西路135之7-8,新华区,石家庄市,114.487648,38.056001,新蕾电动车(石家庄旗舰店),河北省,无,新蕾
2019-09-09,和平西路与车辆厂前街交叉口东北50米,新华区,石家庄市,114.491280,38.055125,新蕾电动车(和平路店),河北省,无,新蕾
2019-09-09,迁安镇吉兰庄老大坝,迁安市,唐山市,118.688722,40.041996,新蕾电动车,河北省,无,新蕾
2019-09-09,彭李线西50米,遵化市,唐山市,117.940976,39.936758,新蕾电动车(地北头形象店),河北省,无,新蕾
2019-09-09,彭李线东50米,迁安市,唐山市,118.576740,40.010105,新蕾电动车(杨店子店),河北省,无,新蕾
2019-09-09,大庆道南50米,路北区,唐山市,118.198412,39.695599,新蕾电动车,河北省,15128802375,新蕾
2019-09-09,河北大街与红旗路交叉口夏都宾馆南三百米,海港区,秦皇岛市,119.588744,39.931675,新蕾电动,河北省,无,新蕾
2019-09-09,151县道附近,曲周县,邯郸市,115.168606,36.624657,新蕾电动车,河北省,无,新蕾
2019-09-09,106县道南50米,曲周县,邯郸市,115.080289,36.698507,新蕾电动车,河北省,无,新蕾
2019-09-09,陵西大街55号西70米,丛台区,邯郸市,114.481904,36.606163,新蕾电动车,河北省,无,新蕾
2019-09-09,212省道东50米,临漳县,邯郸市,114.610120,36.225638,新蕾电动车(张村店),河北省,13473045152,新蕾
2019-09-09,中山西路100-2号,磁县,邯郸市,114.380486,36.360095,新蕾电动车(磁县二店),河北省,15226986036,新蕾
2019-09-09,王禅东路与芳林巷交叉口西150米,临漳县,邯郸市,114.614709,36.331548,新蕾电动车(临漳店),河北省,无,新蕾
2019-09-09,107国道西50米,邯山区,邯郸市,114.355430,36.420206,新蕾电动车,河北省,无,新蕾
2019-09-09,326省道与608乡道交叉口西100米,平乡县,邢台市,114.927166,36.975004,新蕾电动,河北省,无,新蕾
2019-09-09,253县道北50米,任县,邢台市,114.886539,37.135231,新蕾电动车(任县旗舰店),河北省,无,新蕾
2019-09-09,006乡道北50米,沙河市,邢台市,114.536028,36.954611,新蕾电动车,河北省,无,新蕾
2019-09-09,秦泽西路与魏徵南街交叉口东100米,巨鹿县,邢台市,115.034611,37.212370,新蕾电动车(巨鹿店),河北省,无,新蕾
2019-09-09,241省道与G1812保阜高速交叉口南150米,曲阳县,保定市,114.631746,38.850484,新蕾电动车仁景树专卖店,河北省,15175766006,新蕾
2019-09-09,定无路西50米,定州市,保定市,114.989748,38.482132,新蕾电动车,河北省,无,新蕾
2019-09-09,兴华中路27附近,定州市,保定市,114.991067,38.521099,新蕾电动车,河北省,无,新蕾
2019-09-09,G112(京环线),涿州市,保定市,115.794497,39.377941,新蕾电动车,河北省,无,新蕾
2019-09-09,阳元南大街80号,易县,保定市,115.491899,39.345586,新蕾电动车(易县店),河北省,无,新蕾
2019-09-09,新华街与新华后街交叉路口西150米附近,桥西区,张家口市,114.880184,40.823656,新蕾电动车,河北省,无,新蕾
2019-09-09,苔山路204号附近,隆化县,承德市,117.739093,41.316936,金彭电动三轮车(隆化专卖店),河北省,无,新蕾
2019-09-09,宽城镇新兴街天宝购物中心东北250米,宽城满族自治县,承德市,118.491114,40.611517,新蕾电动车,河北省,无,新蕾
