add_time,address,area,city,lat,lng,name,province,tel,topic
2019-09-09,,朝阳区,北京市,116.524490,39.843431,格力,北京市,无,格力
2019-09-09,,顺义区,北京市,116.603988,40.213152,格力,北京市,无,格力
2019-09-09,长辛店镇朱家坟三里3号楼,丰台区,北京市,116.188824,39.807088,格力,北京市,无,格力
2019-09-09,南彩镇顺平路俸伯段27号隆华超市底商,顺义区,北京市,116.716126,40.134188,格力,北京市,无,格力
2019-09-09,土桥中街142号附近,通州区,北京市,116.696647,39.875188,格力,北京市,无,格力
2019-09-09,良乡镇下禅坊村北区163号,房山区,北京市,116.148896,39.667366,格力,北京市,010-69360558,格力
2019-09-09,五圈路诺德中心三期18号楼底商,丰台区,北京市,116.311894,39.825284,格力,北京市,无,格力
2019-09-09,周口店路与石油库路交叉口北100米,丰台区,北京市,116.192344,39.794318,格力,北京市,无,格力
2019-09-09,黑庄户乡小鲁店双桥西路大鲁店市场大鲁店市场,朝阳区,北京市,116.590491,39.838457,格力,北京市,无,格力
2019-09-09,顺仁路东200米顺和花园附近,顺义区,北京市,116.665758,40.084085,格力,北京市,无,格力
2019-09-09,小红门东路与小红门路交叉口北50米,朝阳区,北京市,116.456449,39.828386,格力,北京市,13783650255;010-87600046,格力
2019-09-09,延琉路北50米,延庆区,北京市,116.028299,40.479419,格力,北京市,无,格力
2019-09-09,原新东路与原新街交叉口东150米,房山区,北京市,116.063076,39.734404,格力,北京市,无,格力
2019-09-09,广兴街76号附近,延庆区,北京市,115.981096,40.467010,格力,北京市,无,格力
2019-09-09,怀长路红人馆宴会厅南100米宝凤翔通消防技术检测附近,怀柔区,北京市,116.628427,40.295242,格力,北京市,无,格力
2019-09-09,中和街八巷与城关街道交叉口西150米,密云区,北京市,116.878698,40.384968,格力,北京市,无,格力
2019-09-09,南口镇龙虎台知春苑底商,昌平区,北京市,116.153436,40.237489,格力,北京市,无,格力
2019-09-09,中高路与雁栖中心路交叉口东南50米,怀柔区,北京市,116.659544,40.347852,格力,北京市,无,格力
2019-09-09,房窑路与电交路交叉口西150米,房山区,北京市,116.122785,39.647452,格力,北京市,无,格力
2019-09-09,公议庄村6区51号,房山区,北京市,116.205470,39.663166,格力,北京市,13910854041,格力
2019-09-09,府前街14号京北大世界F5层,怀柔区,北京市,116.632774,40.315292,格力,北京市,无,格力
2019-09-09,小汤山四号路与秦上路交叉口西北150米,昌平区,北京市,116.391270,40.177060,格力,北京市,4008365315,格力
2019-09-09,房史路与房易路交叉口东南100米,房山区,北京市,115.724612,39.568969,格力,北京市,010-61338420,格力
2019-09-09,宾阳北里4号楼一层底商,密云区,北京市,116.864509,40.388967,格力,北京市,4008365315;13911895699,格力
2019-09-09,化工路78号附近,朝阳区,北京市,116.513545,39.868397,格力,北京市,无,格力
2019-09-09,北小营镇永利小区10,顺义区,北京市,116.728862,40.203104,格力(北小营店),北京市,010-60489206;13522220221,格力
2019-09-09,丰台南路85号新村一里3号楼1层配套9,丰台区,北京市,116.302538,39.841148,格力(丰台南路店),北京市,4008365315;13501181810,格力
2019-09-09,槐房西路318号院南庭新苑南区底商B4-11,丰台区,北京市,116.367267,39.803610,格力(槐房西路店),北京市,010-67979688,格力
2019-09-09,祁家豁子8号院西南侧门脸房,海淀区,北京市,116.379623,39.978476,格力(牡丹园店),北京市,010-62391919,格力
2019-09-09,张家场新村小区1号楼4-101,房山区,北京市,116.198238,39.750865,格力(长阳专卖店),北京市,18910017723;4008365315,格力
2019-09-09,顾郑路东50米,房山区,北京市,115.964616,39.612412,格力(赵各庄店),北京市,4008365315,格力
2019-09-09,东坝街朝新嘉园东里5区18号楼一层107门牌,朝阳区,北京市,116.557482,39.952879,格力(东坝旗舰店),北京市,010-67966006;4008365315,格力
2019-09-09,,平谷区,北京市,117.125089,40.142439,格力(大马环岛旗舰店),北京市,010-69963115,格力
2019-09-09,东顺路与青老路交叉口东100米,大兴区,北京市,116.517902,39.675323,格力(青云店),北京市,010-80282481,格力
2019-09-09,六里桥南里太平桥路永辉超市旁尚西泊图a座,丰台区,北京市,116.317306,39.879992,格力(六里桥店),北京市,010-63977901,格力
2019-09-09,东小口镇龙锦二街44-2至44-32号扬州修脚旁,昌平区,北京市,116.368242,40.087198,格力(东小口店),北京市,无,格力
2019-09-09,玉桥西路73号底商,通州区,北京市,116.670788,39.893653,格力(通州旗舰店),北京市,010-81510317,格力
2019-09-09,故城东路68号,通州区,北京市,116.677065,39.901154,格力(西上园店),北京市,010-89547982;13911801497;4008365315,格力
2019-09-09,团河路69号商业楼1层,大兴区,北京市,116.351911,39.736694,格力(团河路店),北京市,010-56278278;4008365315,格力
2019-09-09,右安门外大街99号,丰台区,北京市,116.364439,39.859426,格力(右安门店),北京市,010-63565503;010-83538341;4008365315,格力
2019-09-09,太平庄中街,昌平区,北京市,116.406983,40.068234,格力(太平家园店),北京市,010-52621308,格力
2019-09-09,黄村镇富强西路125号,大兴区,北京市,116.328469,39.737770,格力(富强路店),北京市,010-58466069;13261879748,格力
2019-09-09,朝阳路67号财满街8-0160室,朝阳区,北京市,116.536718,39.916977,格力(财满街店),北京市,010-51388788;4008365315,格力
2019-09-09,密三路343号隆福电器,平谷区,北京市,117.008808,40.053002,格力(密三路),北京市,4008365315,格力
2019-09-09,东高地梅源里44栋商业楼103室,丰台区,北京市,116.419487,39.796784,格力(梅源里20南店),北京市,010-68757999,格力
2019-09-09,顺仁路,顺义区,北京市,116.665018,40.107150,格力(顺仁路店),北京市,010-69472388,格力
2019-09-09,大柳树路甲1-朝号,朝阳区,北京市,116.505599,39.873507,格力(4阳店),北京市,无,格力
2019-09-09,亚北物业113-114,朝阳区,北京市,116.420667,40.037405,格力(北苑鑫兆丽社区店),北京市,4008365315;13381369128,格力
2019-09-09,黄村东大街43号帝园商城B1层,大兴区,北京市,116.341220,39.732020,格力(帝园商城店),北京市,无,格力
2019-09-09,大成路与青塔西路交叉口西100米,丰台区,北京市,116.263820,39.889741,格力(青塔店),北京市,010-68694010,格力
2019-09-09,欣旺北大街117号,大兴区,北京市,116.338721,39.792108,格力(西红门店),北京市,无,格力
2019-09-09,水南路1号水屯家园9-3号,昌平区,北京市,116.226096,40.199772,格力(水南路),北京市,13671200627;18210541461,格力
2019-09-09,黄徐路12号,大兴区,北京市,116.350391,39.706998,格力(辛店桥南店),北京市,13366889166;4008365315,格力
2019-09-09,双桥路100号,朝阳区,北京市,116.576683,39.897403,格力(双桥路店),北京市,010-85365769,格力
2019-09-09,花乡刘庄子路煤炭机械厂旁边,丰台区,北京市,116.268511,39.846279,格力(程庄路南口店),北京市,无,格力
2019-09-09,皮村环岛北639号,朝阳区,北京市,116.625840,39.990643,格力电器,北京市,无,格力
2019-09-09,六圈路东50米,丰台区,北京市,116.332778,39.818492,格力(新发地店),北京市,无,格力
2019-09-09,琉璃河镇东南召村东南区45号,房山区,北京市,116.125093,39.607523,格力电器,北京市,010-61393701,格力
2019-09-09,晓月中路南50米,丰台区,北京市,116.243039,39.833846,格力(晓月中路店),北京市,13717761807,格力
2019-09-09,青礼路与黄徐路交叉口东南50米,大兴区,北京市,116.492500,39.617914,格力(安定店),北京市,010-80233181,格力
2019-09-09,良乡镇昊天温泉家园4号楼底商,房山区,北京市,116.148124,39.733105,格力电器,北京市,无,格力
2019-09-09,西环北路7号北50米,平谷区,北京市,117.096101,40.147061,格力(旗舰店),北京市,010-52796538,格力
2019-09-09,王于路与百沙路交叉口东北100米,昌平区,北京市,116.298377,40.153835,格力(百沙路),北京市,无,格力
