add_time,address,area,city,lat,lng,name,province,tel,topic
2019-09-09,人民东路附近,张家港市,苏州市,120.608563,31.890789,玉骑铃电动车,江苏省,无,玉骑玲
2019-09-09,邱山大街52号,余杭区,杭州市,120.297464,30.417676,玉骑铃电动车工厂店,浙江省,无,玉骑玲
2019-09-09,老县政府广场内,光山县,信阳市,114.901808,32.003201,玉骑铃电动车,河南省,无,玉骑玲
2019-09-09,交通路与滨江中路交叉口东50米,江津区,重庆市,106.119058,29.061160,玉骑玲电动车,重庆市,无,玉骑玲
2019-09-09,龙兴大道114号附近,铜梁区,重庆市,106.083808,29.848231,玉骑玲电动车,重庆市,13308375779,玉骑玲
2019-09-09,滩口镇,北碚区,重庆市,106.516450,29.815793,玉骑玲电动车,重庆市,无,玉骑玲
2019-09-09,长征路北段231号,黔江区,重庆市,108.785448,29.532765,玉骑玲电动车,重庆市,13996909031,玉骑玲
2019-09-09,平安桥,云阳县,重庆市,108.513936,31.032196,玉骑玲电动车专卖店,重庆市,15320655800;15310066887,玉骑玲
2019-09-09,驿贸街7号附2号,九龙坡区,重庆市,106.367509,29.483488,玉骑铃电动车,重庆市,15923033266,玉骑玲
2019-09-09,巴川街道办事处银柿路62号(铜梁区电摩城4-6),铜梁区,重庆市,106.085549,29.859918,玉骑铃电动车,重庆市,023-45262005,玉骑玲
2019-09-09,体育馆对面后街汇景大厦B幢底楼38号,綦江区,重庆市,106.648656,29.041658,玉骑铃电动车,重庆市,无,玉骑玲
2019-09-09,歇马熙淋公寓东北60米(碚青路西),北碚区,重庆市,106.367915,29.761509,玉骑铃电动车,重庆市,15025357689,玉骑玲
2019-09-09,平都大道东段232号附近,丰都县,重庆市,107.742620,29.873099,玉骑铃电动车,重庆市,无,玉骑玲
2019-09-09,东城街道铜合路口,铜梁区,重庆市,106.097395,29.856078,玉骑铃电动车,重庆市,无,玉骑玲
2019-09-09,白岩路508号,万州区,重庆市,108.356629,30.818418,玉骑铃电动车,重庆市,无,玉骑玲
2019-09-09,梁山街道机场路848号,梁平区,重庆市,107.785963,30.669053,玉骑铃电动车,重庆市,无,玉骑玲
2019-09-09,龙溪路18-1号,北碚区,重庆市,106.440395,29.816394,玉骑铃电动车,重庆市,023-68231936,玉骑玲
2019-09-09,开州区开州大道西16-18号附近,开州区,重庆市,108.387877,31.161009,玉骑铃电动车(邮政佳苑西南),重庆市,无,玉骑玲
2019-09-09,澄兴路101-附2号附近,北碚区,重庆市,106.386735,29.870617,玉骑铃电动车(澄兴路店),重庆市,023-68236710;17784413421,玉骑玲
2019-09-09,鱼洞街道鱼胡路5号一城龙洲20栋门面1号附3号玉骑玲电动车,巴南区,重庆市,106.530725,29.376724,玉骑铃电动车,重庆市,15998998047,玉骑玲
2019-09-09,万寿大道68号,石柱土家族自治县,重庆市,108.117898,29.992576,玉骑铃电动车(石柱店),重庆市,023-73323232;18716907135,玉骑玲
2019-09-09,万盛经开区万东北路枫香雅苑(聚鑫缘西北150米),綦江区,重庆市,106.926667,28.950892,玉骑铃电动车售后部,重庆市,13399830786,玉骑玲
2019-09-09,夔州路26号,奉节县,重庆市,109.478372,31.022948,玉骑铃电动车专卖店,重庆市,无,玉骑玲
2019-09-09,三峡路14号附8号,长寿区,重庆市,107.072350,29.836045,玉骑铃电动车专卖店,重庆市,18223598191,玉骑玲
2019-09-09,双星路12号附近,大足区,重庆市,105.763453,29.490884,钱江摩托(车城大道),重庆市,13996075761,玉骑玲
2019-09-09,边城步行街西50米,花垣县,湘西土家族苗族自治州,109.469586,28.579018,玉骑铃电动车,湖南省,无,玉骑玲
2019-09-09,群兴路与西华大道交叉口西50米,郫都区,成都市,103.998235,30.756178,玉骑玲电动车,四川省,无,玉骑玲
2019-09-09,安轻路与青城路交叉口北50米,都江堰市,成都市,103.619688,30.978864,玉骑玲电动车,四川省,028-87117475,玉骑玲
2019-09-09,武侯大道双楠段与永盛北街交叉口北100米,武侯区,成都市,104.021895,30.641499,玉骑玲电动车二手电动车,四川省,无,玉骑玲
2019-09-09,屯军街2号附近,新都区,成都市,104.156621,30.892039,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,太平街二段65附近,双流区,成都市,103.984926,30.408714,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,军乐镇乐兴西街34号,彭州市,成都市,103.977958,31.043531,玉骑铃电动车,四川省,15828269239,玉骑玲
2019-09-09,金花街1号附42号,武侯区,成都市,103.969165,30.604687,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,崇义镇土桥新街54号,都江堰市,成都市,103.733842,30.915858,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,古靖路39号附近,金牛区,成都市,104.038532,30.743778,玉骑铃电动车(古靖路店),四川省,无,玉骑玲
2019-09-09,战备渠北路东100米,温江区,成都市,103.828692,30.705782,玉骑玲电动车,四川省,无,玉骑玲
2019-09-09,梨花街176号附近,龙泉驿区,成都市,104.206469,30.503501,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,凉港路363号玉骑玲电动车专卖店,武侯区,成都市,103.982530,30.582670,童话里的故事都是骗人的,四川省,无,玉骑玲
2019-09-09,富世镇新一中加油站斜对面邮政银行旁,富顺县,自贡市,105.001593,29.177571,玉骑玲电动车,四川省,无,玉骑玲
2019-09-09,汇川路1467号C栋附近,自流井区,自贡市,104.753468,29.326269,玉骑玲电动车,四川省,无,玉骑玲
2019-09-09,人民路18号附102,米易县,攀枝花市,102.105691,26.896045,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,上马镇商贸街176号附近,纳溪区,泸州市,105.332458,28.527164,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,复兴街与环城北路交叉口北50米,叙永县,泸州市,105.431450,28.176006,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,西街与龙脑大道交叉口东50米,泸县,泸州市,105.374503,29.146378,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,永宁路南50米,纳溪区,泸州市,105.383446,28.768875,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,政府街与321国道交叉口西北100米,纳溪区,泸州市,105.354356,28.581657,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,文庙路与307省道交叉口西50米,泸县,泸州市,105.643896,29.072510,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,人民西路一段116号,纳溪区,泸州市,105.373255,28.768427,玉骑铃电动车,四川省,15983049777,玉骑玲
2019-09-09,凤林街与向阳路交叉口东南50米,龙马潭区,泸州市,105.440487,28.897459,玉骑铃电动车,四川省,0830-2572531;13419153700,玉骑玲
2019-09-09,麒麟路与龙脑大道交叉口北50米,泸县,泸州市,105.371857,29.159571,玉骑铃电动车,四川省,0830-8175605;15983008622,玉骑玲
2019-09-09,商业路201附近,合江县,泸州市,105.841323,28.800733,玉骑铃电动车(合江专卖店),四川省,无,玉骑玲
2019-09-09,玉骑铃专卖店,江阳区,泸州市,105.293544,28.910985,玉骑铃电动车行,四川省,无,玉骑玲
2019-09-09,加清路玉骑铃电动车西北侧90米,泸县,泸州市,105.399666,29.242728,泸县人民法院嘉明人民法庭,四川省,无,玉骑玲
2019-09-09,加清路玉骑铃电动车西北侧90米,泸县,泸州市,105.399852,29.242840,喻寺法庭,四川省,无,玉骑玲
2019-09-09,古什路,旌阳区,德阳市,104.332513,31.299770,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,南山镇政府北(101省道东),中江县,德阳市,104.669753,30.987976,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,雒新路,广汉市,德阳市,104.301130,31.042403,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,宝峰街,中江县,德阳市,104.928112,30.754437,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,人民街西50米,中江县,德阳市,104.763594,31.022497,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,永鸿超市西,旌阳区,德阳市,104.429194,31.242994,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,金银花北街488号附近,中江县,德阳市,104.666201,31.023032,玉骑铃电动车,四川省,13618105030,玉骑玲
2019-09-09,洛小路与106省道交叉口南200米,什邡市,德阳市,104.060682,31.164100,玉骑铃电动车,四川省,13419016266,玉骑玲
2019-09-09,九高路与芦德路交叉口东50米,中江县,德阳市,104.752200,31.130966,玉骑铃电动车,四川省,13981057289,玉骑玲
2019-09-09,纹江西路与麓峰北路交叉口南50米,罗江区,德阳市,104.503164,31.303563,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,光明巷与兴盛街交叉口西北50米,什邡市,德阳市,104.159806,31.128132,玉骑铃电动车,四川省,无,玉骑玲
2019-09-09,团结路与老川峡路交叉口往北50米路东,罗江区,德阳市,104.542627,31.384627,玉骑铃电动车,四川省,13309029533;15883673404,玉骑玲
2019-09-09,朝阳中路与玄武西路交叉口南50米,中江县,德阳市,104.680077,31.031748,玉骑铃电动车(玄武西路),四川省,无,玉骑玲
2019-09-09,冯淮路176号附近,中江县,德阳市,104.881381,30.644785,玉骑铃电动车(桂竹路店),四川省,无,玉骑玲
2019-09-09,九高路,广汉市,德阳市,104.348425,30.994431,玉骐铃电动车,四川省,无,玉骑玲
