add_time,address,area,city,lat,lng,name,province,tel,topic
2019-09-09,,密云区,北京市,116.838672,40.473104,绿源电动车,北京市,无,绿源
2019-09-09,,密云区,北京市,116.867740,40.382291,绿源电动车,北京市,无,绿源
2019-09-09,,怀柔区,北京市,116.634041,40.315003,绿源电动车,北京市,无,绿源
2019-09-09,,延庆区,北京市,116.156013,40.527101,绿源电动车,北京市,无,绿源
2019-09-09,,怀柔区,北京市,116.578661,40.290800,绿源电动车,北京市,无,绿源
2019-09-09,南苑路和义西里一区,丰台区,北京市,116.398040,39.817620,绿源电动车,北京市,无,绿源
2019-09-09,,通州区,北京市,116.560864,39.725876,绿源电动车,北京市,无,绿源
2019-09-09,回龙观东大街27-11,昌平区,北京市,116.370336,40.081948,绿源电动车,北京市,18911687898,绿源
2019-09-09,丰台东路,丰台区,北京市,116.323323,39.847655,绿源电动车,北京市,无,绿源
2019-09-09,龙庆南路18号附近,延庆区,北京市,116.002415,40.460638,绿源电动车,北京市,无,绿源
2019-09-09,黄村林校北路10号速8酒店楼下,大兴区,北京市,116.337117,39.722222,绿源电动车,北京市,010-69255137,绿源
2019-09-09,安定门内大街39号(安定门桥南50米路西),东城区,北京市,116.408012,39.947830,绿源电动车(安定门店),北京市,010-59564510,绿源
2019-09-09,十八里店乡十里河村1604号,朝阳区,北京市,116.462809,39.860201,绿源电动车(十里河店),北京市,13521062110;18811511668,绿源
2019-09-09,西马厂路5号院9号楼,丰台区,北京市,116.380737,39.842762,绿源电动车,北京市,15910595828;13933890731,绿源
2019-09-09,香河园中里5号楼一层底商,朝阳区,北京市,116.447573,39.953936,绿源电动车,北京市,无,绿源
2019-09-09,X002(中高路),怀柔区,北京市,116.684850,40.286551,绿源电动车,北京市,无,绿源
2019-09-09,幸福路五条与集汇大街交叉口西150米,顺义区,北京市,116.694458,40.107922,绿源电动车,北京市,13683203274,绿源
2019-09-09,东坝中路3号附近,朝阳区,北京市,116.547713,39.958233,绿源电动车,北京市,无,绿源
2019-09-09,沙阳路与G6京藏高速交叉口西南50米,昌平区,北京市,116.269777,40.121784,绿源电动车,北京市,无,绿源
2019-09-09,运河西大街47号附近,通州区,北京市,116.686662,39.892838,绿源电动车,北京市,无,绿源
2019-09-09,潞苑南大街81号潞潮佳苑小区底商,通州区,北京市,116.677297,39.929865,绿源电动车(潞苑南大街店),北京市,010-89538618;4008877505,绿源
2019-09-09,青塔西路8号-1号,丰台区,北京市,116.264924,39.894733,绿源电动车,北京市,无,绿源
2019-09-09,太阳宫镇芍药居甲2号院17号楼-9,朝阳区,北京市,116.432251,39.977645,绿源电动车,北京市,无,绿源
