add_time,address,area,city,lat,lng,name,province,tel,topic
2019-09-09,环渤海农贸城D1区,武清区,天津市,117.056909,39.441006,绿驹电动车,天津市,15102260431,绿驹
2019-09-09,颐宏路12西北70米,新华区,石家庄市,114.487822,38.087678,绿驹电动车,河北省,无,绿驹
2019-09-09,和平西路680号附近,新华区,石家庄市,114.415814,38.069062,绿驹电动车,河北省,无,绿驹
2019-09-09,新开大街92号附近,栾城区,石家庄市,114.656301,37.881695,宗申绿驹电动车,河北省,无,绿驹
2019-09-09,赞皇镇贸易街西头路南,赞皇县,石家庄市,114.389640,37.663992,绿驹电动车(赞皇动力体验店),河北省,无,绿驹
2019-09-09,万寿路南50米,平山县,石家庄市,114.166455,38.267384,绿驹电动车(正义路),河北省,无,绿驹
2019-09-09,常山西路2号华阳购物中心1层,正定县,石家庄市,114.571265,38.144969,绿驹电动车(燕赵南大街),河北省,无,绿驹
2019-09-09,305乡道东50米,赵县,石家庄市,114.884589,37.835724,绿驹电动车,河北省,无,绿驹
2019-09-09,066县道与205省道交叉口南50米,平山县,石家庄市,114.170911,38.192476,绿驹电动车,河北省,无,绿驹
2019-09-09,和平西路军械工程学院东250米,新华区,石家庄市,114.488849,38.055684,绿驹电动车(和平路旗舰店),河北省,无,绿驹
2019-09-09,胜利街与241省道交叉口南50米,平山县,石家庄市,114.134176,38.386141,绿驹电动车,河北省,0311-82871318,绿驹
2019-09-09,交通部旧址公路南50米,平山县,石家庄市,114.202754,38.239189,绿驹电动车(隆城绿都南区南),河北省,13473781774,绿驹
2019-09-09,车站南街与060乡道交叉口西南150米,正定县,石家庄市,114.625577,38.222395,绿驹电动车(旗舰店),河北省,无,绿驹
2019-09-09,中山西路与兴华街交叉口东南150米,鹿泉区,石家庄市,114.384955,38.035972,绿驹电动车(兴华街),河北省,无,绿驹
2019-09-09,302省道北50米,藁城区,石家庄市,114.718218,38.153355,绿驹电动车(早落旗航店),河北省,无,绿驹
2019-09-09,大河路与富强大街交叉口西150米,鹿泉区,石家庄市,114.381068,38.134225,绿驹电动车(大河专卖店),河北省,无,绿驹
2019-09-09,槐安西路246-16号附近,桥西区,石家庄市,114.438535,38.024112,绿驹,河北省,13180494802,绿驹
2019-09-09,殷村镇因村邮局斜对面,元氏县,石家庄市,114.475481,37.845863,绿驹电动车(元氏因村旗舰店),河北省,13315976589,绿驹
2019-09-09,中山广场金圆特市内,平山县,石家庄市,114.204632,38.257008,绿驹电动车,河北省,15369153034,绿驹
2019-09-09,槐安路东风路交叉口东行100米华夏家园华夏电动车市场,桥西区,石家庄市,114.494500,38.023245,绿驹电动车(谈固店),河北省,13933845525,绿驹
2019-09-09,乾荣商业街与镇宁路交叉口西南100米,鹿泉区,石家庄市,114.325190,38.088226,绿驹电动车(镇宁路店),河北省,13803364830,绿驹
2019-09-09,铜冶镇镇前大街鹿泉三院东行100米,鹿泉区,石家庄市,114.378046,37.966890,绿驹电动车福乐美电动三轮车铜冶专卖店,河北省,13931154446,绿驹
2019-09-09,强镇街57号附近,长安区,石家庄市,114.647849,38.064761,绿驹电动车(南村店),河北省,15931136894,绿驹
2019-09-09,香港路158号,行唐县,石家庄市,114.563017,38.441942,踏浪绿驹电动车,河北省,15032136238,绿驹
2019-09-09,206县道西50米,武安市,邯郸市,114.313071,36.808581,绿驹电动车,河北省,无,绿驹
2019-09-09,152乡道北50米,内丘县,邢台市,114.548347,37.318734,绿驹电动车,河北省,无,绿驹
2019-09-09,天宝街与西二环交叉口西行300米路北,宁晋县,邢台市,114.909773,37.624595,绿驹电动车宁晋县动力体验店,河北省,18632160589,绿驹
2019-09-09,黑城中学东北100米(苗大线西),临城县,邢台市,114.493063,37.515218,绿驹电动车(黑城动力体验店),河北省,13231979081,绿驹
