add_time,address,area,city,lat,lng,name,province,tel,topic
2019-09-09,乐寿镇东升北路华苑小区南侧,献县,沧州市,116.125900,38.194305,倍特电动车(华苑小区店),河北省,13283258804,贝特
2019-09-09,裕华中路42-2号,任丘市,沧州市,116.102898,38.710275,倍特电动车(裕华中路),河北省,无,贝特
2019-09-09,五龙口街62号,迎泽区,太原市,112.592068,37.864689,五龙口倍特电动车,山西省,13623676925,贝特
2019-09-09,屯麟绛镇西藕村,屯留区,长治市,112.913355,36.303978,倍特电动车,山西省,无,贝特
2019-09-09,体育南路与商汇街交叉口东150米,原平市,忻州市,112.715058,38.725069,倍特电动车,山西省,无,贝特
2019-09-09,工业二路与迎宾大道交叉口东150米路南,尧都区,临汾市,111.476061,36.072318,倍特电动车,山西省,15934515777,贝特
2019-09-09,嘉运路与翠屏东路交叉口北150米,蒲县,临汾市,111.108061,36.406889,倍特电动车,山西省,无,贝特
2019-09-09,霍侯一级公路东100米,襄汾县,临汾市,111.466915,35.991611,倍特电动车,山西省,无,贝特
2019-09-09,309国道东50米,尧都区,临汾市,111.433756,36.068950,倍特电动车,山西省,13994040504,贝特
2019-09-09,建设路30号楼正南方向15米,尧都区,临汾市,111.529212,36.090353,倍特电动车(广宣街店),山西省,0357-3332515,贝特
2019-09-09,体育南街与姜家泊池巷交叉口西南100米,尧都区,临汾市,111.515272,36.076486,倍特电动车(体育南街店),山西省,0357-5512515,贝特
2019-09-09,230省道与茶庄路交叉口西北200米,尧都区,临汾市,111.683024,36.060546,倍特电动车(上陈专卖店),山西省,18534156798,贝特
2019-09-09,527县道与543县道交叉口西南150米,襄汾县,临汾市,111.523743,35.963314,倍特电动车(邓庄直营店),山西省,无,贝特
2019-09-09,贾庄巷东50米,尧都区,临汾市,111.541741,36.091615,倍特电动车(二中路专卖店),山西省,无,贝特
2019-09-09,桥东街与钢铁路交叉口东北150米,尧都区,临汾市,111.551694,36.073161,倍特电动车(东城专卖店),山西省,13934175252,贝特
2019-09-09,段店乡口子村中心街25号,尧都区,临汾市,111.594714,36.073818,倍特电动车(东成专卖店),山西省,无,贝特
2019-09-09,桃临路西50米,尧都区,临汾市,111.542977,36.189568,倍特电动车(吴村直营店),山西省,无,贝特
2019-09-09,解放东路政府西200米,尧都区,临汾市,111.575602,36.083312,倍特电动车临纺售后,山西省,0357-3605781;15835704054,贝特
2019-09-09,建设路15号楼,尧都区,临汾市,111.529962,36.093090,倍特电动车售后,山西省,无,贝特
2019-09-09,那日松南路与鄂尔多斯东街交叉口西150米,东胜区,鄂尔多斯市,110.022595,39.812338,兰贝特电动车中心,内蒙古自治区,无,贝特
2019-09-09,下淀路95号,鼓楼区,徐州市,117.221685,34.285232,倍特酷车馆,江苏省,0516-82593777,贝特
2019-09-09,爱格豪路56号,相城区,苏州市,120.680047,31.483292,苏州贝特电动车有限公司,江苏省,无,贝特
2019-09-09,富新园17栋103室,崇川区,南通市,120.935697,31.916036,倍特电动车,江苏省,无,贝特
2019-09-09,双港镇302县道农村商业银行北,响水县,盐城市,119.706528,34.165670,贝特车业,江苏省,15251116088,贝特
2019-09-09,石桥村106号,鄞州区,宁波市,121.588669,29.752664,倍特电动车,浙江省,无,贝特
2019-09-09,东瀛路258号,定海区,舟山市,122.124873,30.019270,BGB倍特酷车,浙江省,0580-8221468;0580-2612305,贝特
2019-09-09,友谊西路62附近,天台县,台州市,120.882376,29.156086,倍特电动车,浙江省,无,贝特
2019-09-09,沙埠镇繁三工业园南工路,黄岩区,台州市,121.201042,28.556255,倍特电动车有限公司,浙江省,0576-81105197,贝特
2019-09-09,小车线附近,临海市,台州市,120.978307,28.873090,BGB倍特电动车专卖店,浙江省,无,贝特
2019-09-09,光彩二路与北八路交叉口东南100米,蚌山区,蚌埠市,117.352157,32.914318,雅迪电动车(蚌埠市客运南站店),安徽省,无,贝特
2019-09-09,云景华城4号楼,田家庵区,淮南市,117.020332,32.648271,BGB倍特电动车店,安徽省,无,贝特
2019-09-09,红旗中路65号,雨山区,马鞍山市,118.492910,31.693871,贝特倍车行,安徽省,0555-2478892,贝特
2019-09-09,金岭路36号东南60米,章贡区,赣州市,114.897505,25.839921,倍特电动车,江西省,无,贝特
2019-09-09,香港街东150米,章丘区,济南市,117.534829,36.710317,BGB倍特电动车,山东省,0531-83228716,贝特
2019-09-09,331省道附近,南召县,南阳市,112.626143,33.457300,倍特电动车,河南省,0377-66712869,贝特
2019-09-09,花园路东段2号附近,泌阳县,驻马店市,113.329076,32.729094,BGB倍特电动酷车馆,河南省,无,贝特
2019-09-09,碚峡路270附6号附近,北碚区,重庆市,106.437547,29.818156,贝特电动车,重庆市,无,贝特
2019-09-09,中新路38号附近,沙坪坝区,重庆市,106.411868,29.640890,贝特电动车.助力车,重庆市,13983988029,贝特
2019-09-09,西彭镇铝城北路5号附106号,九龙坡区,重庆市,106.331995,29.310355,倍特电动车,重庆市,15111808945,贝特
2019-09-09,忠州镇广场东路11号,忠县,重庆市,108.041393,30.299748,倍特电动车,重庆市,无,贝特
2019-09-09,体育路与滨江大道交叉口西南50米,云阳县,重庆市,108.692790,30.940210,倍特电动车(桂湾社区东南),重庆市,13436229951,贝特
2019-09-09,人和大道23号,渝北区,重庆市,106.525739,29.618109,倍特电动车(人和大道店),重庆市,无,贝特
2019-09-09,青凤路与G93成渝环线高速交叉口东北150米,沙坪坝区,重庆市,106.313843,29.678700,贝斯特电动车(青木关专卖),重庆市,18696908518,贝特
2019-09-09,籍田镇天府新区视高镇视高工业园高新大道,双流区,成都市,104.026034,30.308124,倍特电动车,四川省,无,贝特
2019-09-09,剑龙电动车商城,金牛区,成都市,104.045730,30.743329,倍特电动车,四川省,无,贝特
2019-09-09,侯大道顺江段八益电动车4S店2楼,武侯区,成都市,103.993312,30.627469,倍特电动车,四川省,无,贝特
2019-09-09,绕城大道南一段辅路,新都区,成都市,104.174146,30.780867,倍特电动车,四川省,无,贝特
2019-09-09,街安路附近,崇州市,成都市,103.656223,30.605108,倍特电动车,四川省,无,贝特
2019-09-09,008乡道附近,彭州市,成都市,103.994496,30.954256,倍特电动车,四川省,无,贝特
2019-09-09,八角庙北街附近,简阳市,成都市,104.812434,30.345538,倍特电动车,四川省,无,贝特
2019-09-09,天新路10号附近,金牛区,成都市,104.118641,30.761521,倍特电动车,四川省,无,贝特
2019-09-09,古靖路7附近,金牛区,成都市,104.043837,30.744145,倍特电动车,四川省,无,贝特
2019-09-09,金鸡万人小区27.29号,崇州市,成都市,103.691412,30.604034,倍特电动车,四川省,无,贝特
2019-09-09,郫花路与顺宏路交叉口西150米,郫都区,成都市,103.831177,30.813590,倍特电动车,四川省,无,贝特
2019-09-09,双怀路与金红路街交叉口西南50米,双流区,成都市,103.827929,30.575937,倍特电动车,四川省,无,贝特
2019-09-09,湖夹滩东二街2号附近,双流区,成都市,103.991759,30.546347,倍特电动车,四川省,无,贝特
2019-09-09,技师学院北50米(都江堰分院),都江堰市,成都市,103.690043,31.032763,倍特电动车,四川省,无,贝特
2019-09-09,黄水镇古榕街193号,双流区,成都市,103.881160,30.522953,倍特电动车,四川省,无,贝特
2019-09-09,惠王陵东路381-383号附近,龙泉驿区,成都市,104.157581,30.615339,倍特电动车,四川省,无,贝特
2019-09-09,草金路中段与草金路南段交叉口北150米,武侯区,成都市,103.969407,30.616569,倍特电动车,四川省,028-82931681;13558679252,贝特
2019-09-09,文星镇红樱小区泰山路二街8号,双流区,成都市,103.999012,30.567294,倍特电动车,四川省,18011595007,贝特
2019-09-09,黄龙大道四段附近,双流区,成都市,103.967158,30.317630,倍特电动车,四川省,15680568091,贝特
2019-09-09,上街40号附近,都江堰市,成都市,103.731529,30.914941,倍特电动车,四川省,无,贝特
2019-09-09,火车南站东路34号附26号,武侯区,成都市,104.072814,30.608877,倍特电动车,四川省,13908054158,贝特
2019-09-09,新街与009乡道交叉口西北50米,都江堰市,成都市,103.690662,30.896425,倍特电动车,四川省,无,贝特
2019-09-09,极乐街93号附近,崇州市,成都市,103.569114,30.560016,倍特电动车,四川省,无,贝特
2019-09-09,成双大道中段与老簇马路交叉口北50米,武侯区,成都市,103.990062,30.599008,倍特电动车,四川省,028-66201098,贝特
2019-09-09,南华新街18栋附近,简阳市,成都市,104.417440,30.477474,倍特电动车,四川省,无,贝特
2019-09-09,简仁路与183县道交叉口东50米,简阳市,成都市,104.371427,30.197113,倍特电动车,四川省,无,贝特
2019-09-09,清南街6号附近,简阳市,成都市,104.415014,30.238859,倍特电动车,四川省,无,贝特
2019-09-09,中庙路与凉水街交叉口东南150米,双流区,成都市,104.141968,30.531552,倍特电动车,四川省,无,贝特
2019-09-09,大三路160号,都江堰市,成都市,103.591158,30.878096,倍特电动车,四川省,13094483670,贝特
2019-09-09,三星镇政府旁,简阳市,成都市,104.618252,30.551909,倍特电动车,四川省,无,贝特
2019-09-09,万安路西段221号,双流区,成都市,104.105721,30.486736,倍特电动车,四川省,无,贝特
2019-09-09,天乙街100号,都江堰市,成都市,103.619142,30.992795,倍特电动车,四川省,无,贝特
2019-09-09,南街与唐太路交叉口南100米路东,郫都区,成都市,103.864958,30.876398,倍特电动车,四川省,无,贝特
2019-09-09,临邛镇蒲口路34号,新都区,成都市,104.164307,30.829256,倍特电动车,四川省,无,贝特
2019-09-09,郫都区众旺街38号,郫都区,成都市,103.800089,30.871033,倍特电动车,四川省,15982164213,贝特
2019-09-09,海棠路618号,锦江区,成都市,104.144145,30.594658,倍特电动车,四川省,18382315060,贝特
2019-09-09,丽春镇丽蓉大道180号,彭州市,成都市,103.868192,30.971534,倍特电动车,四川省,13408662800,贝特
2019-09-09,通济大桥,彭州市,成都市,103.829638,31.156808,倍特电动车,四川省,无,贝特
2019-09-09,利民街与西街交叉口南50米,彭州市,成都市,104.114008,30.957861,倍特电动车,四川省,无,贝特
2019-09-09,斑竹林街42号附近,新津县,成都市,103.814179,30.485585,倍特电动车,四川省,无,贝特
2019-09-09,十陵中街74号,龙泉驿区,成都市,104.179261,30.649790,倍特电动车,四川省,无,贝特
2019-09-09,禾登街117号,新都区,成都市,104.094927,30.893598,倍特电动车,四川省,无,贝特
2019-09-09,彭镇柑梓树场镇,双流区,成都市,103.864522,30.642828,倍特电动车,四川省,无,贝特
2019-09-09,唐昌镇北外街49号,郫都区,成都市,103.825747,30.932207,倍特电动车,四川省,无,贝特
2019-09-09,长安路8号附1号,温江区,成都市,103.847359,30.700844,倍特电动车,四川省,无,贝特
2019-09-09,杨祠街与杨祠街北五巷交叉口东北50米,崇州市,成都市,103.666981,30.625910,倍特电动车,四川省,13398158626;028-82270926;13980495130,贝特
2019-09-09,黄甲大道一段80号,双流区,成都市,103.951159,30.493651,倍特电动车,四川省,无,贝特
2019-09-09,黄水镇古榕街170号(新津县花源镇卫生院南),新津县,成都市,103.877994,30.496909,倍特电动车,四川省,无,贝特
2019-09-09,尚石路中段486号附近,温江区,成都市,103.769750,30.672168,倍特电动车,四川省,无,贝特
2019-09-09,火车南站东路46-50,武侯区,成都市,104.074956,30.608807,倍特电动车(君悦领地西),四川省,13908054158,贝特
2019-09-09,大源东街与大源南一街交叉口西南50米,武侯区,成都市,104.034972,30.553544,倍特电动车,四川省,18608007291,贝特
2019-09-09,中兴街东150米,金堂县,成都市,104.633450,30.687619,倍特电动车,四川省,无,贝特
2019-09-09,白家西航港新街97号,双流区,成都市,104.014806,30.551703,倍特电动车(西航港新街店),四川省,无,贝特
2019-09-09,牛市口街道经华南路43号,锦江区,成都市,104.105436,30.643686,倍特电动车(成工大院东北),四川省,无,贝特
2019-09-09,藏卫路南一段11-15号,双流区,成都市,103.920720,30.565857,倍特电动车(双流专卖店),四川省,无,贝特
2019-09-09,柳荫街30号,双流区,成都市,104.090881,30.557074,倍特电动车(朝阳路店),四川省,无,贝特
2019-09-09,天府路与317国道交叉口南200米,郫都区,成都市,103.972432,30.755925,倍特电动车(犀浦下街165号院东北),四川省,13678031285,贝特
2019-09-09,二环路南四段73号红牌楼商业广场,武侯区,成都市,104.032405,30.634316,倍特电动车(二环路),四川省,13980678669,贝特
2019-09-09,清渔街与N13县道交叉口西北50米,新都区,成都市,104.034000,30.937353,倍特电动车(西街店),四川省,无,贝特
2019-09-09,大丰镇永和路28-30号,新都区,成都市,104.052367,30.762331,倍特电动车(永和路店),四川省,无,贝特
2019-09-09,营福巷与营门口路交叉口东50米,金牛区,成都市,104.040456,30.687516,倍特电动车(营门口店),四川省,028-87701565,贝特
2019-09-09,二环路西二段58号附8号,青羊区,成都市,104.023420,30.675418,倍特电动车(二环路西二段),四川省,028-86268681;18190812968;18190816568,贝特
2019-09-09,公兴镇黄龙大二段674-672号,双流区,成都市,103.991237,30.484494,倍特电动车(清河东街),四川省,18284504964,贝特
2019-09-09,纬一路与经二路交叉口西北50米,青羊区,成都市,103.967918,30.699538,倍特电动车(纬一路),四川省,无,贝特
2019-09-09,南大街与显圣街交叉口南50米,彭州市,成都市,103.942229,30.980252,倍特电动车(彭州专卖店),四川省,无,贝特
2019-09-09,南大街441-447号附近,彭州市,成都市,103.941248,30.974740,倍特电动车(南大街店),四川省,无,贝特
2019-09-09,鸿雁路与镇南路交叉口西行100米路北,双流区,成都市,103.916645,30.620633,倍特电动车(九江专卖店),四川省,13981856380,贝特
2019-09-09,鱼凫路498-500号附近,温江区,成都市,103.831759,30.711367,倍特电动车(鱼凫路店),四川省,无,贝特
2019-09-09,建设北路三段382号附近,成华区,成都市,104.113871,30.676673,倍特电动车(厂北路4S店),四川省,15208281465,贝特
2019-09-09,花土路365号附近,温江区,成都市,103.869810,30.672049,倍特电动车(花土路店),四川省,无,贝特
2019-09-09,大桥街与183县道交叉口东北100米,简阳市,成都市,104.496855,30.318982,倍特电动车(石板专卖店),四川省,无,贝特
2019-09-09,新繁镇金龙街23号,金堂县,成都市,104.425706,30.851275,倍特电动车(滨江路一段),四川省,无,贝特
2019-09-09,五友路2段-72号,简阳市,成都市,104.549777,30.393444,倍特电动车(印刷巷),四川省,028-27551868;18190388871,贝特
