add_time,address,area,city,lat,lng,name,province,tel,topic
2019-09-09,卢沟桥丰台路口28号,丰台区,北京市,116.276740,39.872255,金箭电动车,北京市,无,金箭
2019-09-09,府前街10号,怀柔区,北京市,116.633816,40.315142,金箭电动车,北京市,13910720955,金箭
2019-09-09,百沙路102号,昌平区,北京市,116.295135,40.149545,金箭电动车(晨阳嘉园北),北京市,18710110865,金箭
2019-09-09,南岗洼村周口店路世纪华联超市(南岗洼店)隔壁,丰台区,北京市,116.191386,39.791838,金箭电动车(南岗洼店),北京市,无,金箭
2019-09-09,长安东区3-12号,密云区,北京市,116.843026,40.369880,速派奇自行车,北京市,无,金箭
2019-09-09,梅石路1号,武清区,天津市,116.985068,39.289998,天津金箭电动车有限公司,天津市,无,金箭
2019-09-09,王庆坨镇二街村委会对过,武清区,天津市,116.902292,39.180759,金箭电动车,天津市,无,金箭
2019-09-09,晋周总路东50米,晋州市,石家庄市,115.023405,38.008065,金箭电动车,河北省,无,金箭
2019-09-09,和平西路24号附近,新华区,石家庄市,114.490190,38.054861,金箭电动车,河北省,无,金箭
2019-09-09,汇鑫路6号附近,裕华区,石家庄市,114.551660,37.981061,金箭电动车,河北省,无,金箭
2019-09-09,南长街31号,桥西区,石家庄市,114.484664,38.032412,金箭电动车,河北省,无,金箭
2019-09-09,小园街与537省道交叉口西南100米,鹿泉区,石家庄市,114.346433,37.997357,金箭电动车,河北省,无,金箭
2019-09-09,栾城区西营乡西营村小康路9号,栾城区,石家庄市,114.590427,37.832652,金箭电动车,河北省,0311-88665862,金箭
2019-09-09,颐宏路11号附近,新华区,石家庄市,114.484748,38.087559,金箭电动车,河北省,13730106330;18031917194,金箭
2019-09-09,田家庄北区北门西行100米,新华区,石家庄市,114.437533,38.098280,金箭电动车,河北省,18032468886,金箭
2019-09-09,中华北大街208号电动车市场,新华区,石家庄市,114.475612,38.063774,金箭电动车(市庄路店),河北省,18713100610,金箭
2019-09-09,南长街93号附近,桥西区,石家庄市,114.484262,38.034062,精修电动车,河北省,无,金箭
2019-09-09,马陡路东50米,开平区,唐山市,118.248897,39.706928,金箭电动车,河北省,无,金箭
2019-09-09,361省道南50米,丰润区,唐山市,117.951992,39.643513,金箭电动车,河北省,无,金箭
2019-09-09,遵化镇北二环西路一号,遵化市,唐山市,117.963740,40.202602,金箭电动车旗舰店,河北省,无,金箭
2019-09-09,岭后街18附近,海港区,秦皇岛市,119.555828,39.921052,金箭电动车,河北省,无,金箭
2019-09-09,卢陈线附近,卢龙县,秦皇岛市,118.984117,39.950529,金箭电动车,河北省,无,金箭
2019-09-09,幸福街,曲周县,邯郸市,115.001461,36.865591,金箭电动车,河北省,无,金箭
2019-09-09,S234(长春大道南段),广平县,邯郸市,114.955164,36.476687,金箭电动车,河北省,无,金箭
2019-09-09,肥馆线,广平县,邯郸市,114.985194,36.479466,金箭电动车,河北省,13722392296,金箭
2019-09-09,五得利街西200米,大名县,邯郸市,115.173797,36.319510,金箭电动车,河北省,无,金箭
2019-09-09,南小河村东路口,武安市,邯郸市,114.198942,36.680843,金箭电动车,河北省,无,金箭
2019-09-09,东环路与和平路交叉口南100米,丛台区,邯郸市,114.540439,36.598482,金箭电动车,河北省,无,金箭
2019-09-09,G309(荣兰线),肥乡区,邯郸市,114.986501,36.556228,金箭电动车,河北省,无,金箭
2019-09-09,五仓路与陵西南大街交叉口西北100米,邯山区,邯郸市,114.482095,36.579480,金箭电动车,河北省,无,金箭
2019-09-09,中兴路221号附近,武安市,邯郸市,114.217732,36.691915,金箭电动车,河北省,15028071332,金箭
2019-09-09,河沙镇镇朱冀庄牌坊对过,邯山区,邯郸市,114.583556,36.520671,金箭电动车,河北省,13582300573,金箭
2019-09-09,岭南路35号,复兴区,邯郸市,114.449233,36.622144,金箭电动车,河北省,无,金箭
2019-09-09,G309(荣兰线),肥乡区,邯郸市,114.664481,36.577624,金箭电动车邯郸中转库,河北省,15031075708;15227912132,金箭
2019-09-09,魏都南大街1983号,魏县,邯郸市,114.931924,36.311002,金箭电动车魏县总代理,河北省,15833001822,金箭
2019-09-09,振兴路与玉路交叉口路南,磁县,邯郸市,114.387323,36.369029,金箭电动车天能超威电池,河北省,无,金箭
2019-09-09,212省道与315省道交叉口南150米,成安县,邯郸市,114.551402,36.448544,金彭电动三轮车(商城旗舰店),河北省,无,金箭
2019-09-09,大通街71附近,临城县,邢台市,114.499498,37.443822,金箭电动车,河北省,无,金箭
2019-09-09,建设大街174南80米,南和县,邢台市,114.702200,37.006606,金箭电动车,河北省,无,金箭
2019-09-09,白塔派出所西行50米路南,沙河市,邢台市,114.294335,36.884986,金箭电动车,河北省,无,金箭
2019-09-09,永济街与玉兰西路交叉口西北50米,临西县,邢台市,115.486872,36.862764,金箭电动车,河北省,无,金箭
2019-09-09,亿德隆东街88号,桥东区,邢台市,114.493789,37.061611,金箭电动车,河北省,0319-8200083,金箭
2019-09-09,老大街261号附近,任县,邢台市,114.685135,37.123688,金箭电动车,河北省,无,金箭
2019-09-09,兴临大街19号,临城县,邢台市,114.506080,37.447441,金箭电动车,河北省,15033199759,金箭
2019-09-09,407乡道东50米,宁晋县,邢台市,114.911896,37.574937,金箭电动车,河北省,18732989720,金箭
2019-09-09,临泉路474号附近,临城县,邢台市,114.517770,37.441888,金箭电动车,河北省,无,金箭
2019-09-09,,宁晋县,邢台市,114.935135,37.559054,金箭电动车(大曹庄金箭专卖店),河北省,无,金箭
2019-09-09,龙泉东大街南50米,邢台县,邢台市,114.558022,37.040150,金箭电动车邢台中转库,河北省,13315905280,金箭
2019-09-09,325省道南50米,清河县,邢台市,115.571355,37.060259,电动车摩托车维修,河北省,无,金箭
2019-09-09,兴平路与606乡道交叉口南150米,平乡县,邢台市,115.034700,37.003900,金箭电动车专卖,河北省,无,金箭
2019-09-09,燕子制衣东侧,威县,邢台市,115.445348,36.937413,金箭电动车专卖,河北省,17731945396,金箭
2019-09-09,长安大街与234省道交叉口东北200米,平乡县,邢台市,115.008730,36.978522,金箭电动车专卖,河北省,无,金箭
2019-09-09,莲池区西大街178号附近,莲池区,保定市,115.498315,38.861043,金箭电动车,河北省,无,金箭
2019-09-09,百楼乡长城北大街头台村往西50米路北,莲池区,保定市,115.531533,38.896874,保定金箭电动车长新电池运营中心,河北省,无,金箭
2019-09-09,,徐水区,保定市,115.510555,39.048059,金箭电动车鑫宇专卖店,河北省,无,金箭
2019-09-09,,徐水区,保定市,115.510633,39.048085,金箭电动车徐水大庞村专卖店,河北省,无,金箭
2019-09-09,,莲池区,保定市,115.454745,38.821237,金箭电动车专卖,河北省,无,金箭
2019-09-09,,蔚县,张家口市,114.576447,39.842771,金箭电动车,河北省,无,金箭
2019-09-09,西坝岗路72号-7,桥西区,张家口市,114.869968,40.822175,金箭电动车,河北省,无,金箭
2019-09-09,新华街新华苑小区,桥西区,张家口市,114.881895,40.822675,金箭电动车,河北省,无,金箭
2019-09-09,218乡道东50米,蔚县,张家口市,114.596175,39.938401,金箭电动车,河北省,无,金箭
2019-09-09,109乡道北50米,怀安县,张家口市,114.428483,40.674965,金箭电动车(怀安旗舰店),河北省,15297349986,金箭
