address,area,city,lat,lng,name,province
林廓西路15东南50米,城关区,拉萨市,91.113986,29.655957,小牛电动,西藏自治区
地安门西大街4号,西城区,北京市,116.395138,39.933218,小牛电动,北京市
交道口南大街74号,东城区,北京市,116.408937,39.938568,小牛电动,北京市
云岗新商业街193号,丰台区,北京市,116.148608,39.805240,小牛电动,北京市
天秀路2号荷塘月舍1号楼8A,海淀区,北京市,116.280419,40.020858,小牛电动,北京市
林校北路4号附近,大兴区,北京市,116.338832,39.722152,小牛电动,北京市
北四环西路51号,海淀区,北京市,116.317011,39.985934,小牛电动车授权体验店(中关村店),北京市
清河强佑新城2号楼1层103,海淀区,北京市,116.346190,40.030006,小牛电动(清河体验店),北京市
东四北大街70-1号附近,东城区,北京市,116.417151,39.938117,小牛电动车,北京市
望京街5号方恒时代A座11层,朝阳区,北京市,116.484240,39.992287,小牛电动车,北京市
义宾街与新顺北大街交叉口西150米,顺义区,北京市,116.649638,40.132174,小牛电动(顺义店),北京市
田村路畅茜园雪芳里1号楼1层112,海淀区,北京市,116.246809,39.929244,小牛电动(田村授权体验店),北京市
安慧北里逸园甲11号楼,朝阳区,北京市,116.414308,40.002574,小牛电动(大屯路店),北京市
无,海淀区,北京市,116.305007,39.961185,小牛电动(长春桥路店),北京市
来广营镇红军营南路赢秋苑1号楼地商,朝阳区,北京市,116.435864,40.032809,小牛电动(北苑受权店),北京市
常营万象新天南侧416C,朝阳区,北京市,116.593568,39.925839,小牛电动(常营店),北京市
开阳里三街东口路南,丰台区,北京市,116.373408,39.864214,小牛电动(南站开阳里店),北京市
学院南路29附近,海淀区,北京市,116.348482,39.958407,小牛电动车,北京市
北五村小区外环路232号附近,通州区,北京市,116.546921,39.762792,小牛电动车,北京市
站前路18号附近,昌平区,北京市,116.268145,40.125162,小牛电动车,北京市
青年路西里5号院1号楼润枫水尚东区底商,朝阳区,北京市,116.516391,39.928215,小牛电动(大悦城授权专卖店),北京市
黄陈路银地家园A区8-12号楼底商,丰台区,北京市,116.335594,39.822067,小牛电动车(新发地店),北京市
南磨房路27号平乐园小区北门对面,朝阳区,北京市,116.482394,39.884646,小牛电动车(南磨房店),北京市
北四环中路248-1号,海淀区,北京市,116.346233,39.986204,小牛电动授权体验店,北京市
南横东街5-16号01号,西城区,北京市,116.381964,39.883788,小牛电动车授权专卖店(南横东街店),北京市
金泽家园C区303号楼102,朝阳区,北京市,116.562481,39.960432,小牛电动车专卖,北京市
无,丰台区,北京市,116.287821,39.848665,niu小牛电动,北京市
芍药居北里117号楼底商小牛电动,朝阳区,北京市,116.434441,39.987095,小牛电动授权体验店,北京市
万芳路与首经贸北路交叉口西北50米,丰台区,北京市,116.316177,39.844795,首经贸小牛电动,北京市
广渠门外大街15号临17号,朝阳区,北京市,116.453480,39.893892,小牛电动授权体验店,北京市
正阳大街65号,丰台区,北京市,116.288271,39.848691,绿能电动车(丰台火车站店),北京市
双桥路107号康惠园3号院,朝阳区,北京市,116.577677,39.904627,小牛电动授权体验店,北京市
新街口外大街6号14幢一层6-3,西城区,北京市,116.370853,39.963867,小牛电动授权体验店,北京市
龙锦苑东四区25-25,昌平区,北京市,116.372661,40.084429,小牛电动体验店,北京市
角门北路3号院1号楼底商,丰台区,北京市,116.382127,39.850426,小牛电动授权体验店,北京市
玉带河西街1-3号(通州党校东边),通州区,北京市,116.654442,39.901164,小牛电动授权体验店,北京市
华源一里5号楼底商,丰台区,北京市,116.313299,39.882057,小牛电动授权体验店(六里桥店),北京市
安乐林路10号附近,东城区,北京市,116.413600,39.864436,小牛电动授权体验店,北京市
开阳里八区东门(动漫大道北邻),丰台区,北京市,116.373401,39.864171,小牛电动授权体验店(开阳里店),北京市
木樨园5号楼底商,丰台区,北京市,116.403571,39.857543,小牛电动授权体验店(木樨园店),北京市
红莲南路与鸭子桥路交叉口西南100米,西城区,北京市,116.346440,39.876948,小牛电动授权体验店(白纸坊店),北京市
回龙观镇回龙观东大街336号院1号楼1层,昌平区,北京市,116.351560,40.080220,小牛电动授权体验店(回龙观店),北京市
广顺北大街六佰本商业街一层17-3,朝阳区,北京市,116.466792,40.010690,小牛电动体验店(望京东湖渠店),北京市
横一条与顺四条交叉口东100米,丰台区,北京市,116.434242,39.854383,小牛电动授权体验店,北京市
正阳北里18号楼一层12-1,丰台区,北京市,116.287803,39.848657,小牛电动授权体验店,北京市
和平里北街42号安外花园7号,东城区,北京市,116.412036,39.958851,小牛电动授权体验店(和平里北街店),北京市
