address,area,city,lat,lng,name,province
狮泉河镇狄三路邮政商品房1-3,噶尔县,阿里地区,80.094825,32.493625,爱玛电动车,西藏自治区
桑木村柳东路山水宾馆对面,堆龙德庆区,拉萨市,90.980991,29.651865,爱玛电动车,西藏自治区
市上海东路与上海中路交叉口西50米,江孜县,日喀则市,89.607680,28.907824,爱玛电动车(上海路店),西藏自治区
林廓西路13号附近,城关区,拉萨市,91.113532,29.655561,爱玛电动车,西藏自治区
黑山扈路付家窑36号附近,海淀区,北京市,116.258629,40.041872,爱玛电动车,北京市
幸福大街与规划一路交叉口西北50米,怀柔区,北京市,116.711284,40.326239,爱玛电动车,北京市
南半壁店中心二街57附近,顺义区,北京市,116.629576,40.031023,爱玛电动车,北京市
八角北路与古城东街交叉口西150米,石景山区,北京市,116.190746,39.918078,爱玛电动车,北京市
南顶路281号,丰台区,北京市,116.410060,39.842570,爱玛电动车(大红门路),北京市
立汤路140附近,昌平区,北京市,116.414550,40.086120,爱玛电动车东三旗专卖店,北京市
东高村兴业路路东新底商南第四门,平谷区,北京市,117.114844,40.107392,爱玛电动车,北京市
仁和镇河南村安定路4号,顺义区,北京市,116.701080,40.101120,爱玛电动车(东大街店),北京市
丰台东路103附近,丰台区,北京市,116.323089,39.847672,爱玛电动车,北京市
马家堡街道角门北路晨光小区,丰台区,北京市,116.374938,39.850405,爱玛电动车,北京市
西十里居67号,朝阳区,北京市,116.490594,39.959134,爱玛,北京市
鸭子桥路45号院底商,西城区,北京市,116.345522,39.873900,爱玛电动车(白纸坊店),北京市
北清路与白庙村中街交叉口西50米,昌平区,北京市,116.388159,40.102592,爱玛电动车(白庙村中街店),北京市
龙锦二街44-2号附近,昌平区,北京市,116.368502,40.087214,爱玛电动车,北京市
庙城镇高两河娱乐园庙高路,怀柔区,北京市,116.654423,40.288292,爱玛电动车,北京市
朝阳路甘露园西里1号楼西侧,朝阳区,北京市,116.509426,39.915658,爱玛电动车(甘露园店),北京市
成寿寺中路18号福臻家园(南园),丰台区,北京市,116.433560,39.853624,爱玛电动车,北京市
木北路与顺平路交叉口西南50米,顺义区,北京市,116.822110,40.149279,爱玛电动车,北京市
幸福家园15-10号,东城区,北京市,116.429276,39.891471,爱玛电动车(幸福家园店),北京市
金顶北路19号附近,石景山区,北京市,116.164649,39.930001,爱玛电动车,北京市
南横东街四平园小区8号楼,西城区,北京市,116.378904,39.882690,爱玛电动车(4平园小区店),北京市
酒仙桥路1号,朝阳区,北京市,116.489247,39.987359,爱玛电动车(798车行),北京市
温泉路37号,海淀区,北京市,116.159769,40.052792,爱玛电动车,北京市
黑山扈路与黑龙潭路交叉口西北150米,海淀区,北京市,116.256749,40.043015,爱玛电动车,北京市
无,丰台区,北京市,116.148392,39.805562,爱玛电动车(南宫路),北京市
新和街与黄良路交叉口西南100米,大兴区,北京市,116.279593,39.695657,爱玛电动车,北京市
兴隆商业街与文汇街交叉口南50米,延庆区,北京市,115.900965,40.375367,爱玛电动车,北京市
金马工业区中路南50米,顺义区,北京市,116.567088,40.134023,爱玛电动车,北京市
西马场路6号院怡然家园6号院低商,丰台区,北京市,116.384944,39.841909,爱玛电动车,北京市
青塔西路4号附近,丰台区,北京市,116.264899,39.895419,爱玛电动车,北京市
松榆北路3号,朝阳区,北京市,116.462220,39.876446,爱玛电动车(潘家园东路),北京市
新海东路2号院8号楼,通州区,北京市,116.547203,39.762963,爱玛电动车(莲水怡园北),北京市
密三路与峪口南街东路交叉口西北100米,平谷区,北京市,117.015156,40.187591,爱玛电动车,北京市
将台东路3号附近,朝阳区,北京市,116.504983,39.971901,爱玛电动车,北京市
大羊坊路与横街子村委会路交叉口北50米,朝阳区,北京市,116.501278,39.832553,爱玛,北京市
阜石路甲19号院11号楼1-101-1,海淀区,北京市,116.259719,39.926225,爱玛电动车(双槐树路),北京市
庞各庄镇众美城9-8,大兴区,北京市,116.322151,39.631443,爱玛专卖店,北京市
城子大街132-10号,门头沟区,北京市,116.100129,39.946519,爱玛电动车,北京市
东坝中路28号院3号楼108号,朝阳区,北京市,116.547689,39.958225,爱玛电动车(东坝中路),北京市
丰台东路与桥安路交叉口西150米,丰台区,北京市,116.308768,39.846065,爱玛电动车(丰台东路),北京市
永乐店镇永觅路永乐嘉园南200米,通州区,北京市,116.791320,39.709360,爱玛电动车,北京市
佟麟阁大街81号,通州区,北京市,116.657854,39.902789,爱玛电动车,北京市
圆明园西路梅园甲3,海淀区,北京市,116.273122,40.031164,爱玛电动车,北京市
永顺镇潞苑南大街81号院2号楼,通州区,北京市,116.677128,39.929866,京顺诚爱玛电动车,北京市
京深路北50米,房山区,北京市,116.026441,39.599799,爱玛车行(圣聚城大酒店西南),北京市
上庄镇望湖楼南秦浩车业爱玛专卖店上庄家园西路76号,海淀区,北京市,116.214743,40.100151,爱玛电动车,北京市
宁来公路附近,密云区,北京市,116.877872,40.350612,提辖庄爱玛电动车,北京市
回龙观西大街上北鑫座2号楼130号,昌平区,北京市,116.329918,40.078711,爱玛电动车(回龙观西大街),北京市
魏善庄镇邮局对面,大兴区,北京市,116.413377,39.664970,爱玛电动车,北京市
北太平路与永定路交叉口西北50米,海淀区,北京市,116.264329,39.904175,爱玛电动车(永定路店),北京市
玉泉路65号,石景山区,北京市,116.252539,39.899912,爱玛电动车(玉泉路店),北京市
北京西站南路106号,丰台区,北京市,116.321441,39.874815,爱玛电动车(北京三路居医院北),北京市
金盏路5号,朝阳区,北京市,116.576619,40.002437,爱玛电动车车工厂,北京市
原新东路与阎河路交叉口西北100米,房山区,北京市,116.059194,39.734102,爱玛电动车,北京市
圆明园西路马连洼梅园甲3号(圣芙源美容美体SPA馆北侧),海淀区,北京市,116.273126,40.031160,UCC运动自行车(梅园甲店),北京市
怀柔南大街6号,怀柔区,北京市,116.635329,40.312376,爱玛电动车(南大街),北京市
建新东路与顺平路交叉口东南50米,顺义区,北京市,116.949867,40.151234,爱玛电动车(张镇专卖店),北京市
立军路7号院附近,朝阳区,北京市,116.407528,40.047247,爱玛电动车,北京市
古兰东桥与良官公路交叉口西北100米,房山区,北京市,116.148562,39.700159,爱玛电动车(小营专卖店),北京市
西四环大井东里后街24号,丰台区,北京市,116.274249,39.871164,爱玛电动车(丰台区房屋普查办公室西),北京市
红庙北里20号楼北侧,朝阳区,北京市,116.478360,39.920819,爱玛电动车(红庙店),北京市
十里河村1601号,朝阳区,北京市,116.462970,39.859988,爱玛(吕营大街),北京市
采育镇育镇街32号院2号楼1层,大兴区,北京市,116.635950,39.650976,爱玛电动车(育镇街32号院店),北京市
南横西街92号-3,西城区,北京市,116.368971,39.883104,爱玛电动车(南横西街),北京市
中顺街与阳坊村西大街交叉口西100米,昌平区,北京市,116.144451,40.140700,爱玛电动车(阳坊村西大街),北京市
尚上路北50米,昌平区,北京市,116.321496,40.147736,爱玛电动车,北京市
广渠门外大街15号楼,朝阳区,北京市,116.454043,39.893873,爱玛电动车(广渠门外大街),北京市
马家堡路25-5号,丰台区,北京市,116.385420,39.864173,爱玛电动车(马家堡路店),北京市
赵公口桥北150路西,丰台区,北京市,116.413854,39.858444,爱玛(定安路),北京市
北下关街道北三环大钟寺车站南平房113号,海淀区,北京市,116.338645,39.967207,爱玛电动车(四道口路店),北京市
东直门外十字坡街8号楼111,东城区,北京市,116.439369,39.938623,爱玛电动车(新中街店),北京市
大运村西路与校园北路交叉口西北100米,海淀区,北京市,116.340205,39.985194,爱玛电动车(大运村西路店),北京市
滨河路与石龙北路交叉口南150米,门头沟区,北京市,116.115742,39.924523,爱玛电动车(门头沟区妇幼保健院北),北京市
牛栏山红菜坊西50米路口内牛山车棚厂,顺义区,北京市,116.657241,40.212730,爱玛电动车,北京市
黄村桥农贸市场南门,大兴区,北京市,116.344789,39.711448,爱玛电动车(林海园西),北京市
东四北大街262号,东城区,北京市,116.417442,39.930991,爱玛电动车(东四北大街店),北京市
顺沙路高丽营段7号西南90米,顺义区,北京市,116.505520,40.168144,爱玛电动车(高丽营专卖店),北京市
农林路4号院8号,房山区,北京市,115.984827,39.688822,爱玛电动车(永兴家园北),北京市
新发地风格与林苑甲9号楼1层,丰台区,北京市,116.337236,39.823199,爱玛电动车(丰台南路店),北京市
三里河东路9号(中商大厦南侧),西城区,北京市,116.344445,39.910416,爱玛电动车(三里河店),北京市
北苑东路东200米,昌平区,北京市,116.443947,40.068937,爱玛电动车,北京市
中关村北大街与清华西路交叉口北侧200米,海淀区,北京市,116.314771,40.002552,爱玛电动车(清华西门店),北京市
城北街道建明里25号楼16号低商,昌平区,北京市,116.222256,40.223764,爱玛电动车(西关路),北京市
翠微路6号120室,海淀区,北京市,116.302433,39.914726,爱玛电动车(翠微路),北京市
良乡房山良乡南关洪振南街罗府家园3-11号,房山区,北京市,116.141870,39.727643,爱玛电动车(拱辰南大街),北京市
306省道南50米,顺义区,北京市,116.752858,40.136402,爱玛电动车(顺义区南彩电信局东),北京市
中关村东路金谷园小区4号楼,海淀区,北京市,116.334203,39.974621,爱玛电动车(中关村东路),北京市
兴安大街与黄徐路交叉口西50米,大兴区,北京市,116.492882,39.617683,爱玛电动车(汤东路),北京市
管庄西里78号楼,朝阳区,北京市,116.583422,39.914206,爱玛电动车(管庄店),北京市
杨镇三街南门外大街一号(三街红绿灯),顺义区,北京市,116.826291,40.149743,爱玛电动车(大辛庄街店),北京市
周口店路与长安店十中路交叉口西南100米,丰台区,北京市,116.206873,39.814839,爱玛电动车(长辛店大街店),北京市
府西路与顺密路交叉口东北150米,顺义区,北京市,116.729245,40.202680,爱玛电动车(府西路),北京市
建材城西路87号上奥世纪永星商城,昌平区,北京市,116.331241,40.057250,爱玛电动车(建材城西路店),北京市
双峪路与裕安路交叉口北150米,顺义区,北京市,116.543096,40.109883,爱玛电动车(后沙峪大胡子专卖店),北京市
新平东路13号,平谷区,北京市,117.123574,40.139488,爱玛电动车(新平东路),北京市
双兴南区48号楼1层,顺义区,北京市,116.652574,40.137343,爱玛电动车(中山北大街店),北京市
东南路与平夏路交叉口东100米,平谷区,北京市,117.168034,40.124419,爱玛电动车(东南路店),北京市
顺密路44号附近,顺义区,北京市,116.781464,40.245729,爱玛电动车(木林小韩店),北京市
密平路附近(社区卫生服务站东)(平谷区社区卫生服务站东),平谷区,北京市,117.014659,40.190239,爱玛电动车(峪口一街),北京市
杨宋镇兴杨路15号,怀柔区,北京市,116.684101,40.290717,爱玛电动车(杨宋镇杨宋庄社区卫生服务站北),北京市
中国农业机械化科学研究院(北沙滩桥东北),朝阳区,北京市,116.372917,40.001887,爱玛电动车,北京市
手帕口北街9号楼,西城区,北京市,116.342503,39.891795,爱玛电动车(手帕口北街),北京市
龙岗路清景园小区4号楼底商11-2,海淀区,北京市,116.351766,40.030264,爱玛电动车(龙岗路店),北京市
青年沟路和平里七区31号,东城区,北京市,116.420454,39.961933,爱玛电动车(和平里店),北京市
京密路与新南路交叉口西南50米,密云区,北京市,116.843884,40.368901,邦德小飞马:1,北京市
正阳大街正阳北里16号楼(柏强家电维修中心),丰台区,北京市,116.287554,39.848580,爱玛电动车(正阳大街),北京市
新街口外大街27号(近小西天),海淀区,北京市,116.371282,39.952531,爱玛电动车(小西天店),北京市
南磨房路25号附近,朝阳区,北京市,116.479091,39.884678,爱玛电动车(南磨房路),北京市
西红门北二街298号附近,大兴区,北京市,116.333292,39.794372,爱玛电动车,北京市
交道口南大街98一1号,东城区,北京市,116.408943,39.937446,爱玛电动车(交道口店),北京市
林中路西50米附近,宝坻区,天津市,117.571018,39.691620,爱玛电动车(大钟专卖店),天津市
林中路附近,宝坻区,天津市,117.509966,39.637304,爱玛电动车,天津市
通唐公路2号附近,宝坻区,天津市,117.448777,39.687263,爱玛电动车,天津市
京西路与双兴街交叉口东100米,静海区,天津市,116.919971,38.871755,爱玛电动车,天津市
葛万公路东50米,津南区,天津市,117.504199,38.987003,爱玛电动车,天津市
建鑫城10号楼151号,津南区,天津市,117.324836,38.943112,爱玛电动车(八里台专卖上门服务),天津市
商业道6号,宁河区,天津市,117.831098,39.334580,爱玛,天津市
营雅路31号,西青区,天津市,117.124604,39.159466,爱玛电动车(营雅路店),天津市
杨柳青新华道龙华里底商1号楼8门,西青区,天津市,117.021041,39.140810,爱玛,天津市
九园公路东150米,宝坻区,天津市,117.364788,39.398360,爱玛电动车,天津市
京福公路附近,武清区,天津市,116.849891,39.443072,爱玛电动车,天津市
千禧园30号楼底商,红桥区,天津市,117.139006,39.156031,爱玛电动车,天津市
裕和路旭园20号楼2-101,东丽区,天津市,117.389824,39.176898,爱玛电动车(裕和路店),天津市
花城中路与花城中路南段交叉口东100米,武清区,天津市,117.137813,39.415699,爱玛电动车,天津市
建昌道与泗阳路交叉口西北50米,河北区,天津市,117.223563,39.173555,爱玛建昌道旗舰店,天津市
黄河道479-增2号,南开区,天津市,117.141279,39.137518,爱玛电动车,天津市
金钟公路中国北方五金城G区1栋1层,东丽区,天津市,117.275716,39.194347,爱玛电动车大毕庄五金城专卖店,天津市
林黑路与梁胡路交叉口东南100米,宝坻区,天津市,117.372781,39.678102,爱玛电动车,天津市
津围公路东50米,宝坻区,天津市,117.378544,39.751178,爱玛电动车,天津市
静湖花园静湖菜市场016号门脸,武清区,天津市,117.094588,39.339204,爱玛专卖,天津市
京津路顺义里底商,北辰区,天津市,117.152791,39.198583,爱玛电动车天穆专卖店,天津市
渔坝口四大队支路西50米,武清区,天津市,116.998571,39.263004,爱玛电动车,天津市
天琴里11号楼,河东区,天津市,117.255261,39.088733,爱玛电动车,天津市
大黑路西150米,宝坻区,天津市,117.239919,39.585020,爱玛电动车,天津市
黄花店镇南大街农业银行北20米路东,武清区,天津市,116.901523,39.366654,爱玛电动车(黄花店),天津市
南城路与纪家园路交叉口东北50米,宝坻区,天津市,117.304909,39.723709,爱玛电动车(西城路),天津市
蓟州区九别路与岗保路交叉口西150米,蓟州区,天津市,117.507381,39.953867,爱玛电动车,天津市
东方红路与东安路交叉口,静海区,天津市,116.950473,38.933449,爱玛自行车(东方红路),天津市
造甲城镇,宁河区,天津市,117.443004,39.282838,爱玛电动车(造甲路),天津市
东金路与银行路交叉口北150米,东丽区,天津市,117.458700,39.062142,爱玛电动车(明丰店),天津市
二街路与陈大公路交叉口东北100米,静海区,天津市,116.915606,38.820736,爱玛电动车(御河园小区东北),天津市
唐烧路与清真寺大街交叉口西50米,静海区,天津市,116.924707,38.713325,爱玛电动车,天津市
利达路与幸福路交叉口东50米,西青区,天津市,117.210432,39.007327,爱玛电动车,天津市
双井村乾坤车城,蓟州区,天津市,117.256701,39.991750,爱玛电动车,天津市
咸阳北路30号附近,红桥区,天津市,117.146992,39.180907,爱玛电动车(咸阳北路店),天津市
津塘路中山门西里3号楼底商,河东区,天津市,117.258215,39.104190,爱玛电动车,天津市
体育场路20号,津南区,天津市,117.384157,38.987120,爱玛电动车(大件路),天津市
新民胡同与荣华道交叉口东北50米,西青区,天津市,117.098028,39.034101,爱玛电动车,天津市
津塘路振华里东丽商场-验光配镜中心东侧,东丽区,天津市,117.316950,39.090451,爱玛电动车-新立综合经营部,天津市
林黑路东50米,宝坻区,天津市,117.405735,39.621547,爱玛电动车,天津市
津围公路与郭罗庄路交叉口北150米,武清区,天津市,117.200601,39.365455,爱玛电动车(梅厂社区卫生服务站东北),天津市
廉庄镇孟庄村卫星路与宝芦公路交叉口东北100米,宁河区,天津市,117.768619,39.423775,爱玛电动车(廉庄镇孟庄村店),天津市
昆仑路铁城公寓16号,东丽区,天津市,117.273806,39.124521,爱玛电动车(昆仑路辅路),天津市
赵沽里大街19号附近,河北区,天津市,117.244972,39.171156,爱玛电动车,天津市
