address,city,districd,lat,lon,name,province,street,town
太原市杏花岭区凯旋街口东峰碳素有限公司院内,太原市,杏花岭区,37.90018624684476,112.57638301130496,太原市杏花岭区宏大诚福商行,山西省,,
山西省吕梁市文水县城东大街17号,吕梁市,文水县,37.44430008265076,112.03559869260123,文水县凌志家电经营部,山西省,,
山西省吕梁市临县城内太和北路（工农街）,吕梁市,临县,37.95721067232133,110.99841488128904,临县福瑞商行,山西省,,
山西省吕梁市孝义市新义西街,吕梁市,孝义市,37.15106331910215,111.78560601832963,孝义市利军车行,山西省,,
山西省吕梁市交城县新开北路,吕梁市,交城县,37.55777223625885,112.16256770863693,交城县天宁凯达自行车经销部,山西省,,
汾阳市南关南薰街爱玛电动车专卖店,吕梁市,汾阳市,37.271291794517566,111.79459661919569,汾阳市隆昌自行车家俱店,山西省,,
山西省离石区众爱电动车商行,吕梁市,离石区,37.52357747590664,111.15749077354018,吕梁市离石区众爱电动车商行,山西省,,
山西省吕梁市兴县西关爱玛专卖店,吕梁市,兴县,38.468803780990854,111.1343921049788,兴县爱玛门市部,山西省,,
山西省吕梁市中阳县凤城南街,吕梁市,中阳县,37.362872792380124,111.18562956482637,中阳县彦文摩托配件门市部,山西省,,
山西省吕梁市柳林县柳林镇青龙银源对面,吕梁市,柳林县,37.43549296493386,110.89538983929958,柳林县鸿运车行,山西省,,
山西省吕梁市岚县县城民觉社区秀容街运管所对面,吕梁市,岚县,38.285028788850155,111.67859223038421,岚县爱玛电动专卖店,山西省,,
山西省晋中市太谷县新建路35号爱玛电动车,晋中市,太谷县,37.42739557731329,112.55738411926058,太谷县荣军车行,山西省,,
山西省晋中市平遥县顺城路85号,晋中市,平遥县,37.20473488269258,112.17793031297695,平遥县顺城路瑜晨捷电动车经销部,山西省,,
山西省晋中市和顺县新和路61号,晋中市,和顺县,37.33480773868841,113.57660568308691,和顺县李卫东车行,山西省,,
山西省晋中市榆社县迎春北路42号,晋中市,榆社县,37.07636966870016,112.98159856583429,榆社县爱美电动车,山西省,,
山西省晋中市寿阳县朝阳街（日光大道）,晋中市,寿阳县,37.904495982442484,113.17447221476229,寿阳县立新摩托车行,山西省,,
山西省晋中市左权县辽山路彩印商厦院内,晋中市,左权县,37.088555147170815,113.38545184005775,左权县海燕电动车经销部,山西省,,
山西省晋中市灵石县翠峰镇百隆商城后院,晋中市,灵石县,36.856143092267466,111.79664548877574,灵石县翠峰镇卫红自行车销售部,山西省,,
山西省晋中市昔阳县城外环路（留庄村沿街商铺A段）,晋中市,昔阳县,37.61788404299596,113.71361290387442,昔阳县亨通车行,山西省,,
山西省晋中市祁县新建南路162号五交化公司,晋中市,祁县,37.36413128347519,112.34244242768281,祁县飞龙车行,山西省,,
山西省晋中市介休市新建西路火车站东88米,晋中市,介休市,37.03268640360337,111.92356319719394,介休市城区恩泰车行,山西省,,
山西省晋中市榆次县花园路19-21号,晋中市,榆次区,37.703940486801216,112.71450350211099,榆次聚鑫五交化经销部,山西省,,
山西省长治市英雄南路42号,长治市,潞州区,36.18451119211299,113.1231693582736,长治市城区效方阳光自行车店,山西省,,
山西省长治市沁源县沁河镇齐泉街常青市场东5排5号,长治市,沁源县,36.50121375565836,112.34894144975927,沁源县沁河镇利民电动车门市,山西省,,
山西省长治市襄垣县西街188号爱玛专卖店,长治市,襄垣县,36.54168582115512,113.05741258646825,襄垣县爱玛电动车专卖店,山西省,,
山西省长治市沁县定昌镇人民路105号,长治市,沁县,36.7621899385521,112.70545801477827,沁县二飞电动车专卖店,山西省,,
山西省长治市长子县丹朱街鑫威超市对面,长治市,长子县,36.128001557793574,112.88456585041024,长子县双慧电动车经销部,山西省,,
山西省晋城市新市西街爱玛专卖,晋城市,城区,35.50727892458355,112.85958379451667,晋城市城区必祥爱玛大阳电动车店,山西省,,
山西省晋城市沁水县新街西路地税局对面爱玛专卖店,晋城市,沁水县,35.689505856943704,112.17954451497836,沁水县龙港镇江红电动自行车门市部,山西省,,
山西省临汾市翼城县八一区路口,临汾市,翼城县,35.744429075038624,111.72537553219112,翼城县牡丹自行车经销部,山西省,,
山西省侯马市侯马经济开发区天河电子城D区,临汾市,侯马市,35.625364816257864,111.37839658489034,侯马经济开发区随利电动车经销部,山西省,,
山西省临汾市广宣街五交化中心市场爱玛专卖店（收货地址：山西临汾尧都区屯里镇西芦村口塞克库房）,临汾市,尧都区,36.084562230191636,111.58643021726583,临汾市尧都区军洁自行车经销部,山西省,,
山西省运城市盐湖区红旗西街610号(烈士陵园对面）,朔州市,朔城区,39.35109631351998,112.46137601110121,山西隆得利商贸有限公司 ,山西省,,
山西省运城市永济市迎新路家电市场爱玛专卖,运城市,永济市,34.87282971471371,110.45457767130965,永济市城区鑫兴商场,山西省,,
山西省运城市绛县县城振兴街爱玛专卖店,运城市,绛县,35.503486043478254,111.56725578734174,绛县古绛镇天地电动车超市,山西省,,
山西省临猗县双塔南路交通局楼下,运城市,临猗县,35.149542242621784,110.78040700351404,临猗县东城钱波电动车销售店,山西省,,
山西省运城市新绛县职工医院对面,运城市,新绛县,35.62263010308172,111.23140649497044,新绛县城镇建会电动车经销部,山西省,,
山西省运城市河津市莲池路爱玛专卖店,运城市,河津市,35.60192657532228,110.71857214373472,河津市思必得贸易有限责任公司,山西省,,
山西省运城市稷山县县城爱玛专卖,运城市,稷山县,35.61040356961574,110.98941457872347,稷山县稷峰福英电动车门市部,山西省,,
山西省运城市万荣县农民街爱玛专卖,运城市,万荣县,35.42110880053557,110.84457611016106,万荣县城镇飞龙摩托经销部,山西省,,
山西省沂州市定襄县晋昌镇城内村,忻州市,定襄县,38.4799743058469,112.96352861151779,定襄县美华电动自行车经销部,山西省,,
山西省忻州市河曲县文笔镇同德商城院内,忻州市,河曲县,39.39070248871515,111.14444863516302,河曲县利达电动车经销店,山西省,,
山西省忻州市五寨县迎宾西街,忻州市,五寨县,38.917019909691845,111.85340993856165,五寨县爱玛电动车,山西省,,
山西省忻州市保德县东关镇滨河路,忻州市,保德县,39.02833693239553,111.09254175804939,保德县韩新存摩托经销部,山西省,,
山西省忻州市五台县城供销街,忻州市,五台县,38.72783395738505,113.26213871904078,五台县城爱玛电动车销售部,山西省,,
山西省忻州市新建南路邦德电动车大世界,忻州市,忻府区,38.409879817619995,112.75261366421904,忻州市忻府区邦德电动车大世界,山西省,,
山西省阳泉市平定县东大街体育场斜对面爱玛专卖店,阳泉市,平定县,37.792796383591316,113.66442115516472,平定县恒捷电动车行,山西省,,
山西省阳泉市盂县秀水东街,阳泉市,盂县,38.08885584827252,113.42766442329423,盂县秀水东街万金电动车经销部,山西省,,
山西省阳泉市城区南庄路五号桥爱玛专卖店,阳泉市,城区,37.85786536146987,113.61283811718747,阳泉市城区城承车行,山西省,,
山西省大同市大北街北泰楼7号,大同市,平城区,40.10254286655904,113.2969658727473,大同市城区泰达祥电动车行,山西省,,
山西省大同市广灵县新建路中段爱玛专卖,大同市,广灵县,39.76600421713898,114.2885863709657,广灵县百顺车行,山西省,,
山西省大同市阳高县大西街南口1号爱玛专卖店,大同市,阳高县,40.36739184247229,113.75541420332299,阳高县雲华电动车门市,山西省,,
山西省大同市灵丘县新华东街,大同市,灵丘县,39.44614949898016,114.2504280605806,灵丘县兄弟车行,山西省,,
大同市山西省大同市左云县云兴镇南街钱家巷口南,大同市,左云县,40.01962344901451,112.7094632895556,左云县强劲电动车经销部,山西省,,
山西省大同市浑源县西大街爱玛专卖,大同市,浑源县,39.70330627990228,113.69381607219809,浑源县爱玛电动车经销部,山西省,,
山西省大同市天镇县南街,大同市,天镇县,40.42271124847695,114.09634319147173,天镇县玉泉镇鑫飞车城,山西省,,
山西省朔州市开发南路,朔州市,朔城区,39.325302712534004,112.43837642563759,朔州市朔城区天亿自行车经销部,山西省,,
山西省朔州市怀仁县仁里路,朔州市,怀仁市,39.79357083603243,113.11230462343235,怀仁县宝马电器超市,山西省,,
山西省朔州市右玉县新城镇玉林东街柳影巷口,朔州市,右玉县,39.99485955543098,112.47350008124718,右玉县鑫誉摩托车销售部,山西省,,
山西省朔州市山阴县火车站立交桥下闫家巷口,朔州市,山阴县,39.526655729476694,112.8353790154317,山阴县爱玛电动车销售部,山西省,,
山西省朔州市平鲁区西二环路爱玛专卖店,朔州市,平鲁区,39.517389104237175,112.29552500886327,朔州市平鲁区爱玛电动车经销部,山西省,,
山西省朔州市应县新建西路3号,朔州市,应县,39.57071986650439,113.185068626558,应县仁跃家电有限公司,山西省,,
山西省忻州原平市京原南路,忻州市,原平市,38.73647589760487,112.71748713403183,原平市原平瑞强电动车经销部,山西省,,
山西省忻州市繁峙县一道街鼓楼东150米,忻州市,繁峙县,39.23495855635217,113.27529960083008,繁峙县繁城镇步阳电动车门市,山西省,,
山西省忻州市繁峙县砂河镇富民路,忻州市,繁峙县,39.26889059232662,113.57378518344667,繁峙县砂河镇鸿源车行,山西省,,
山西省忻州市代县世纪春超市,忻州市,代县,39.07272834638067,112.96655194854216,代县爱玛电动车,山西省,,
