address,city,districd,lat,lon,name,province,street,town
江苏省南京市高淳区宝塔路158-2-3号,南京市,高淳区,31.33363912390532,118.89849765147122,高淳区台铃,江苏省,,
江苏省南京市高淳区淳溪镇南塘村南-77号,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
江苏省南京市高淳区桠溪镇永宁东街,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
江苏省南京市高淳区东坝镇付家坛林场,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
江苏省南京市龙蟠路长乐路交叉口台铃电动车,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
江苏省南京市高淳区东坝镇欧兰特大道西侧,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
南京市高淳区固城镇固城集镇,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
江苏省南京市高淳区阳江镇丁家,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
江苏省南京市高淳区阳江镇苍溪集镇,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
江苏省南京市浦口区文德路,南京市,浦口区,32.06467927792303,118.63460405875492,浦口区台铃,江苏省,,
江苏省南京六合区沿江开发区晓山路136号台铃专卖店,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
