address,city,districd,lat,lon,name,province,street,town
陕西礼泉县西张堡街道,咸阳市,礼泉县,34.48739076850446,108.4316154916632,礼泉县台铃,陕西省,,
陕西泾阳三渠镇街道,咸阳市,泾阳县,34.53331653276832,108.84937884704755,泾阳县台铃,陕西省,,
陕西泾阳永乐镇街道,咸阳市,泾阳县,34.53331653276832,108.84937884704755,泾阳县台铃,陕西省,,
陕西省咸阳市泾阳县王桥镇街道,咸阳市,泾阳县,34.53331653276832,108.84937884704755,泾阳县台铃,陕西省,,
陕西咸阳乾县东环北路,咸阳市,乾县,34.53401826614159,108.24537762553739,乾县台铃,陕西省,,
陕西省咸阳市武功县长宁镇街道,咸阳市,武功县,34.26613766763324,108.20655106478513,武功县台铃,陕西省,,
陕西省西咸新区周陵镇陵召村,咸阳市,秦都区,34.331138243525466,108.710581033887,西咸新区台铃,陕西省,,
陕西省西咸新区秦汉新城正阳街办兴隆街道兴隆十字东150米,咸阳市,兴平市,34.30547652029205,108.49639400876816,兴平市台铃,陕西省,,
陕西省咸阳市礼泉县史德镇八一路口台铃店,咸阳市,礼泉县,34.48739076850446,108.4316154916632,礼泉县台铃,陕西省,,
陕西省咸阳市武功县大庄镇街道,咸阳市,武功县,34.26613766763324,108.20655106478513,武功县台铃,陕西省,,
三原大程荆中路口,咸阳市,三原县,34.623078955251955,108.94744650024964,三原县台铃,陕西省,,
彬县北极镇台铃电动车专卖,咸阳市,彬州市,35.04961057182844,108.08456557822713,彬州市台铃,陕西省,,
陕西省咸阳市三原县独李镇黄李村一组,咸阳市,三原县,34.623078955251955,108.94744650024964,三原县台铃,陕西省,,
陕西省咸阳市彬县底庙镇街道,咸阳市,彬州市,35.05183497490588,108.06798630717157,彬县台铃,陕西省,,
陕西省咸阳市武功县苏坊镇街道,咸阳市,武功县,34.26613766763324,108.20655106478513,武功县台铃,陕西省,,
陕西省咸阳市旬邑县中山街供销商城院内,咸阳市,旬邑县,35.11796391971861,108.3404670366517,旬邑县台铃,陕西省,,
陕西省咸阳市永寿县常宁镇街道,咸阳市,永寿县,34.69803553561666,108.14846878644317,永寿县台铃,陕西省,,
陕西省咸阳市三原县新兴镇街道,咸阳市,三原县,34.623078955251955,108.94744650024964,三原县台铃,陕西省,,
陕西省咸阳市兴平市赵村镇街道,咸阳市,兴平市,34.30547652029205,108.49639400876816,兴平县台铃,陕西省,,
陕西省咸阳市兴平市店张镇街道,咸阳市,兴平市,34.30547652029205,108.49639400876816,兴平县台铃,陕西省,,
陕西省咸阳市武功县游凤镇街道,咸阳市,武功县,34.26613766763324,108.20655106478513,武功县台铃,陕西省,,
陕西省咸阳市旬邑县张洪镇街道,咸阳市,旬邑县,35.11796391971861,108.3404670366517,旬邑县台铃,陕西省,,
陕西省咸阳市旬邑县土桥镇街道,咸阳市,旬邑县,35.11796391971861,108.3404670366517,旬邑县台铃,陕西省,,
陕西省咸阳市乾县梁村镇街道,咸阳市,乾县,34.53401826614159,108.24537762553739,乾县台铃,陕西省,,
陕西省咸阳市武功县戴家镇街道,咸阳市,武功县,34.26613766763324,108.20655106478513,武功县台铃,陕西省,,
陕西省咸阳市秦都区钓台镇王道村,咸阳市,秦都区,34.33514511609957,108.71243199239031,秦都区台铃,陕西省,,
陕西省咸阳市三原县渠岸镇街道,咸阳市,三原县,34.623078955251955,108.94744650024964,三原县台铃,陕西省,,
陕西省咸阳市乾县临平镇街道,咸阳市,乾县,34.53401826614159,108.24537762553739,乾县台铃,陕西省,,
陕西省咸阳市秦都区西橡镇街道,咸阳市,秦都区,34.33514511609957,108.71243199239031,秦都区台铃,陕西省,,
陕西省咸阳市旬邑县太村镇街道,咸阳市,旬邑县,35.11796391971861,108.3404670366517,旬邑县台铃,陕西省,,
陕西省咸阳市三原县陵前镇街道,咸阳市,三原县,34.623078955251955,108.94744650024964,三原县台铃,陕西省,,
陕西省咸阳市兴平市桑镇老街,咸阳市,兴平市,34.30547652029205,108.49639400876816,兴平县台铃,陕西省,,
陕西省咸阳市武功县贞元镇街道,咸阳市,武功县,34.26613766763324,108.20655106478513,武功县台铃,陕西省,,
陕西省咸阳市三原县安乐镇街道,咸阳市,三原县,34.623078955251955,108.94744650024964,三原县台铃,陕西省,,
陕西省咸阳市泾阳县桥底镇街道,咸阳市,泾阳县,34.53331653276832,108.84937884704755,泾阳县台铃,陕西省,,
陕西省咸阳市秦都区马庄镇街道,咸阳市,秦都区,34.33514511609957,108.71243199239031,秦都区台铃,陕西省,,
陕西省咸阳市三原县陂西镇街道东口,咸阳市,三原县,34.623078955251955,108.94744650024964,三原县台铃,陕西省,,
陕西省咸阳市彬县创新西路,咸阳市,彬州市,35.05183497490588,108.06798630717157,彬县台铃,陕西省,,
陕西省咸阳市泾阳县云阳镇云阳西街,咸阳市,泾阳县,34.53331653276832,108.84937884704755,泾阳县台铃,陕西省,,
陕西省咸阳市武功县东闸口西100米,咸阳市,武功县,34.26613766763324,108.20655106478513,武功县台铃,陕西省,,
陕西省咸阳市长武县宜禄街国土局楼下,咸阳市,长武县,35.21165733871549,107.80556078005252,长武县台铃,陕西省,,
陕西省咸阳市礼泉县劳动东路,咸阳市,礼泉县,34.48739076850446,108.4316154916632,礼泉县台铃,陕西省,,
陕西省咸阳市永寿县西南路老物资局对面,咸阳市,永寿县,34.69803553561666,108.14846878644317,永寿县台铃,陕西省,,
陕西省咸阳市兴平市北十字,咸阳市,兴平市,34.30547652029205,108.49639400876816,兴平县台铃,陕西省,,
陕西省咸阳市乾县薛录镇街道,咸阳市,乾县,34.53401826614159,108.24537762553739,乾县台铃,陕西省,,
陕西省咸阳市乾县姜村镇街道,咸阳市,乾县,34.53401826614159,108.24537762553739,乾县台铃,陕西省,,
陕西省咸阳市淳化县胡家庙镇街道,咸阳市,淳化县,34.80477691129529,108.58744176373197,淳化县台铃,陕西省,,
陕西省咸阳市兴平市西吴镇街道,咸阳市,兴平市,34.30547652029205,108.49639400876816,兴平县台铃,陕西省,,
陕西省咸阳市渭城区韩家湾镇街道,咸阳市,秦都区,34.3481231056194,108.72203701176757,渭城区台铃,陕西省,,
