address,city,districd,lat,lon,name,province,street,town
陕西省西安市长安区子午大道黄良村,石家庄市,长安区,38.04325613649811,114.54561160958328,长安区台铃,河北省,,
陕西省西安市高陵区耿镇街道金彭电动车,西安市,高陵区,34.541093106058156,109.09438691387484,高陵区台铃,陕西省,,
陕西省西安市临潼区新丰镇庆山路中段,西安市,临潼区,34.372747432848406,109.22043579557668,临潼区台铃,陕西省,,
陕西省西安市长安区鸣犊镇街道,石家庄市,长安区,38.04325613649811,114.54561160958328,长安区台铃,河北省,,
蓝田县焦岱镇焦岱街道信远电动车专卖店,西安市,蓝田县,34.157620654732256,109.32938812681262,蓝田县台铃,陕西省,,
西安市长安区王莽乡王家村231号,石家庄市,长安区,38.04325613649811,114.54561160958328,长安区台铃,河北省,,
陕西省西安市杨凌区后稷路金辉小区门面,咸阳市,杨陵区,34.259456212132754,108.1006080570076,杨凌区台铃,陕西省,,
高陵区通远镇湾子西张市迎辉车行,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
陕西西安扈邑余下镇罗什什字西北角向北50米,临汾市,曲沃县,35.64886511028392,111.48666559848078,扈邑县台铃,山西省,,
陕西西安周至尚村镇六中对面,西安市,周至县,34.16938526961624,108.22842183954491,周至县台铃,陕西省,,
陕西西安高陵区西韩路中段,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
陕西西安临潼区新丰镇街道,西安市,临潼区,34.372747432848406,109.22043579557668,临潼区台铃,陕西省,,
陕西西安长安区引镇街道,石家庄市,长安区,38.04325613649811,114.54561160958328,长安区台铃,河北省,,
陕西西安临潼区斜口镇街道,西安市,临潼区,34.372747432848406,109.22043579557668,临潼区台铃,陕西省,,
陕西西安长安区斗门镇街道,石家庄市,长安区,38.04325613649811,114.54561160958328,长安区台铃,河北省,,
陕西西安阎良区武屯镇街道,西安市,阎良区,34.66836327469908,109.23246311821923,阎良县台铃,陕西省,,
陕西西安高陵区马家湾街道,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
陕西西安临潼区交口镇街道,西安市,临潼区,34.372747432848406,109.22043579557668,临潼区台铃,陕西省,,
陕西西安阎良区康桥镇街道,西安市,阎良区,34.66836327469908,109.23246311821923,阎良县台铃,陕西省,,
陕西西安临潼区新市镇街道,西安市,临潼区,34.372747432848406,109.22043579557668,临潼区台铃,陕西省,,
陕西西安周至县集贤镇街道,西安市,周至县,34.16938526961624,108.22842183954491,周至县台铃,陕西省,,
陕西西安长安区滦镇街道,石家庄市,长安区,38.04325613649811,114.54561160958328,长安区台铃,河北省,,
陕西西安长安区东大镇信合对面,石家庄市,长安区,38.04325613649811,114.54561160958328,长安区台铃,河北省,,
陕西西安临潼区西泉街道椿树村,西安市,临潼区,34.372747432848406,109.22043579557668,临潼区台铃,陕西省,,
陕西西安长安区杜曲街道,石家庄市,长安区,38.04325613649811,114.54561160958328,长安区台铃,河北省,,
陕西西安周至县终南镇街道,西安市,周至县,34.16938526961624,108.22842183954491,周至县台铃,陕西省,,
陕西西安扈邑区甘河镇街道,西安市,鄠邑区,34.003833651329984,108.59248134191748,户县台铃,陕西省,,
陕西西安灞桥区新筑街道,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
陕西西安灞桥区狄寨塬街道,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
陕西西安高陵区张卜镇街道,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
陕西西安临潼区相桥镇铁路东50米,西安市,临潼区,34.372747432848406,109.22043579557668,临潼区台铃,陕西省,,
陕西西安阎良区关山镇街道,西安市,阎良区,34.66836327469908,109.23246311821923,阎良县台铃,陕西省,,
陕西西安临潼栎阳镇电管站隔壁,西安市,临潼区,34.372747432848406,109.22043579557668,临潼区台铃,陕西省,,
陕西西安扈邑区大王镇街道,西安市,鄠邑区,34.003833651329984,108.59248134191748,户县台铃,陕西省,,
陕西西安蓝田县好又多隔壁,西安市,蓝田县,34.157620654732256,109.32938812681262,蓝田县台铃,陕西省,,
陕西西安高陵区姬家十字北150米,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
陕西西安市鄠邑区庞光镇政府对面,西安市,鄠邑区,34.003833651329984,108.59248134191748,户县台铃,陕西省,,
陕西西安扈邑区秦镇街道,西安市,鄠邑区,34.003833651329984,108.59248134191748,户县台铃,陕西省,,
陕西西安长安区细柳镇街道,石家庄市,长安区,38.04325613649811,114.54561160958328,长安区台铃,河北省,,
陕西西安周至县王婆寺残联对面,西安市,周至县,34.16938526961624,108.22842183954491,周至县台铃,陕西省,,
陕西西安长安区郭杜镇郭杜十字西,石家庄市,长安区,38.04325613649811,114.54561160958328,长安区台铃,河北省,,
陕西省西安市咸宁东路418号东旭工业公司,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
陕西西安户县草堂镇延长加油站对面,西安市,鄠邑区,34.003833651329984,108.59248134191748,户县台铃,陕西省,,
陕西西安沣东新城王寺东街,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
陕西西安高陵县崇皇镇街道十字南50米,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
陕西西安阎良区镇兴街办官刘村桥西100米,西安市,阎良区,34.66836327469908,109.23246311821923,阎良县台铃,陕西省,,
