address,city,districd,lat,lon,name,province,street,town
云南省丽江市古城区香格里大道1150号,丽江市,玉龙纳西族自治县,100.223244,26.866136,丽江超越摩托车商贸有限公司,云南省,,
云南省大理市下关镇建设东路37号森工局电动车一条街,大理白族自治州,大理市,100.231178,25.585928,大理市追风电动车行,云南省,,
云南省大理州弥渡县文笔北路新日电动车专卖店,大理白族自治州,弥渡县,100.489558,25.34831,弥渡县春华电动车经营部,云南省,,
云南省保山市玉泉路96号电动车一条街,保山市,隆阳区,99.171861,25.117111,隆阳区久顺电动车经营部,云南省,,
云南省德宏州芒市北新日总代理,德宏傣族景颇族自治州,芒市,98.588086,24.43369,芒市华南阳光车行,云南省,,
云南省大理州鹤庆县东环路新日电动车（钱江摩托）,大理白族自治州,鹤庆县,100.16903,26.560835,鹤庆县武林车行,云南省,,
楚雄市元谋县元马镇发祥路171号,楚雄彝族自治州,元谋县,101.86533,25.708328,元谋县元马新日电动车经营部,云南省,,
玉溪市红塔区春和街道马井街（九龙路）,玉溪市,红塔区,102.530512,24.400787,红塔区欣荣摩托车修理部,云南省,,
蒙自滇浙电动车有限公司,红河哈尼族彝族自治州,蒙自市,103.388601,23.367713,蒙自祥顺源商贸有限责任公司,云南省,,
弥勒市温泉路164号,红河哈尼族彝族自治州,弥勒市,103.434361,24.405751,弥勒市华丰山河摩托车销售有限公司,云南省,,
云南省文山市环北路华泰园（凯路仕车店）,文山壮族苗族自治州,文山市,104.235382,23.373979,文山市翔升车行,云南省,,
云南省普洱市宁洱县宁洱镇东山路216号,普洱市,宁洱哈尼族彝族自治县,101.049529,23.058522,宁洱茶乡摩托城,云南省,,
云南省昭通市昭阳区爱民路裕康商业广场242号内,昭通市,昭阳区,103.710144,27.337305,昭通市昭阳区安辉电动车销售部,云南省,,
云南省西双版纳景洪市铂金广场124号,西双版纳傣族自治州,景洪市,100.794752,22.009191,景洪王派电动车店,云南省,,
云南省勐腊县城南路高中坡辉煌广场1-1,西双版纳傣族自治州,勐腊县,101.56782,21.468633,勐腊县红兴车行,云南省,,
云南省红河州河口县人民路141号,Lao Cai,,103.964314,22.506677,河口安驰车行,Lao Cai,,
云南省玉溪市易门县龙泉东路泰坤汽车城2-4号,玉溪市,易门县,102.1736,24.674644,易门荣兴摩托车销售有限公司,云南省,,
云南省昭通市镇雄县南大街统计局家属3号,昭通市,镇雄县,104.872464,27.432525,镇雄县云长商贸中心,云南省,,
