address,city,districd,lat,lon,name,province,street,town
内蒙古阿拉善左旗西北车行新日专卖店,阿拉善盟,阿拉善左旗,105.666293,38.833411,阿拉善左旗巴彦浩特镇恒力车行,内蒙古自治区,,
内蒙鄂尔多斯市乌审旗农电对面新日电动车专卖店,鄂尔多斯市,乌审旗,108.842004,38.60244,乌审旗新日电动车维修部,内蒙古自治区,,
内蒙古呼和浩特市中山路东寺巷新月家园食品街4号自13961856713,呼和浩特市,玉泉区,111.65965,40.807941,新城区诚达电动车经销部,内蒙古自治区,,
内蒙古乌海市海勃湾人民南路五一小区楼下,乌海市,海勃湾区,106.823936,39.664246,海勃湾区王俊梅电动车经销部,内蒙古自治区,,
内蒙古乌海市乌达区幸福小区门口,乌海市,乌达区,106.724111,39.499043,乌达区姐弟电动车经销部,内蒙古自治区,,
内蒙古集宁市三马路财产保险公司路北200米处新日专卖,乌兰察布市,集宁区,113.118626,41.0328,集宁区新日电动车门市部,内蒙古自治区,,
内蒙古集宁市兴和县城关新日专卖店,乌兰察布市,集宁区,113.123779,40.990689,兴和县李锡花新日电动车经销部,内蒙古自治区,,
内蒙古鄂尔多斯东胜区鄂托克西街粮食局底商8号新日电动车,鄂尔多斯市,东胜区,110.002582,39.822278,东胜区新日电动车行,内蒙古自治区,,
鄂尔多斯康巴什新区旗顺家园步行街新日电动车专卖店,鄂尔多斯市,康巴什区,109.791115,39.603336,鄂尔多斯市康巴什新区新日电动车专卖店,内蒙古自治区,,
内蒙古鄂尔多斯达拉特旗体育场北门新日电动车专卖店,鄂尔多斯市,达拉特旗,110.007868,40.408721,达拉特旗新日电动车专卖店,内蒙古自治区,,
内蒙古临河市杭锦后旗陕坝镇大千市场南门东41号,巴彦淖尔市,杭锦后旗,107.146026,40.88367,杭锦后旗陕坝镇新日电动车经销部,内蒙古自治区,,
内蒙古乌拉特前旗红卫北路巨凤自行车大世界,巴彦淖尔市,乌拉特前旗,108.652793,40.731544,乌拉特前旗乌拉山巨凤自行车大世界,内蒙古自治区,,
内蒙古磴口县巴彦高勒镇和平路新日电动车,巴彦淖尔市,磴口县,107.011921,40.331401,磴口县江文新日电动车,内蒙古自治区,,
内蒙临河解放西街新日电动车行,巴彦淖尔市,临河区,107.40612,40.767066,巴彦淖尔市临河区李霞大名电动车行,内蒙古自治区,,
内蒙古伊金霍洛旗阿勒腾席热镇工业路,鄂尔多斯市,伊金霍洛旗,109.755318,39.582256,伊金霍洛旗新日电动车(直营),内蒙古自治区,,
内蒙古自治区乌兰察布市凉城县岱海镇水电巷小刀电动车,乌兰察布市,凉城县,112.49165,40.529736,凉城县永祥摩托修配门市部,内蒙古自治区,,
内蒙古包头市东河区南门外大街10号F16,包头市,东河区,110.028852,40.579256,东河区孝恒电动车经销部,内蒙古自治区,,
包头市昆区友谊26街坊30栋16号,包头市,昆都仑区,109.810464,40.649506,昆区速时达车行,内蒙古自治区,,
土默特右旗萨拉齐忠应车行,包头市,土默特右旗,110.519393,40.550333,土默特右旗萨拉齐忠应车行,内蒙古自治区,,
内蒙古呼和浩特市和林格尔县城关镇红卫街路北武装部楼底,呼和浩特市,和林格尔县,111.837801,40.378927,和林格尔县王彩琴摩托配件门市部,内蒙古自治区,,
内蒙古察哈尔右翼前旗土贵乌拉镇解放,乌兰察布市,察哈尔右翼前旗,113.21766,40.782976,察哈尔右翼前旗新日电动车,内蒙古自治区,,
内蒙古乌兰察布市商都县七台镇四街,乌兰察布市,商都县,113.58628,41.543768,商都县立马电动车经销部(直营),内蒙古自治区,,
内蒙古丰镇市温州街西口路北,乌兰察布市,丰镇市,113.159589,40.439174,丰镇建清电动车,内蒙古自治区,,
内蒙古锡林郭勒盟镶黄旗新宝拉格镇白音街3组32号,锡林郭勒盟,镶黄旗,113.839436,42.240106,镶黄旗北方摩托经销总汇,内蒙古自治区,,
内蒙古赤峰市红山区三中街路南新日电动车专卖店,赤峰市,红山区,118.95954,42.278083,赤峰市尚昊电动车城,内蒙古自治区,,
内蒙古锡林浩特市锡林大街66号盟图书馆楼西侧,锡林郭勒盟,锡林浩特市,116.087311,43.951323,锡林浩特市新日电动车经销部,内蒙古自治区,,
内蒙古二连浩特团结路新日电动车,锡林郭勒盟,二连浩特市,111.986916,43.649781,二连浩特市华远新日二连旗舰店,内蒙古自治区,,
内蒙古锡盟正兰旗新日电动车专卖店,呼和浩特市,赛罕区,111.765617,40.817498,正蓝旗上都镇新日电动车,内蒙古自治区,,
内蒙古苏尼特右旗乌日根街锡林街112号,锡林郭勒盟,苏尼特右旗,112.663003,42.748502,苏尼特右旗新日电动车旗舰店,内蒙古自治区,,
内蒙古通辽市明仁大街中段科区公安局斜对面新日专卖892250,通辽市,科尔沁区,122.261157,43.614097,通辽市新日电动车有限公司,内蒙古自治区,,
内蒙古开鲁县顺达摩托车销售有限责任公司,通辽市,开鲁县,121.636397,43.393305,开鲁县开鲁镇顺达摩托车经销处,内蒙古自治区,,
内蒙古呼伦贝尔盟满洲里市扎赉诺尔邮政街6号,呼伦贝尔市,扎赉诺尔区,117.725639,49.459995,满洲里市扎区庆江商场,内蒙古自治区,,
内蒙古呼伦贝尔盟满洲里市富华家园3号楼16号门市,呼伦贝尔市,满洲里市,117.463632,49.587227,满洲里市新陵电动车专营店,内蒙古自治区,,
内蒙古呼伦贝尔盟鄂伦春自治旗阿里河镇站东路,呼伦贝尔市,鄂伦春自治旗,123.722511,50.596149,鄂伦春自治旗阿里河镇小白摩托车修理部,内蒙古自治区,,
内蒙古牙克石市林城路25号隆盛摩托车家电商场,呼伦贝尔市,牙克石市,120.737827,49.284031,牙克石龙腾摩托车家电商场,内蒙古自治区,,
内蒙古扎兰屯市中央街土产日杂综合楼新日电动车专卖店,呼伦贝尔市,扎兰屯市,122.74786,48.000457,扎兰屯市月星电动车大全商店,内蒙古自治区,,
内蒙古阿荣旗福利路碧水华庭门市1号楼7号门市,呼伦贝尔市,阿荣旗,123.464185,48.118239,阿荣旗那吉镇新日电动车商店,内蒙古自治区,,
兴安盟科右中旗巴彦呼舒大街北侧金润小区,兴安盟,科尔沁右翼中旗,121.472885,45.060864,科右中旗新动力电动车经销部,内蒙古自治区,,
内蒙古额尔古纳市迎春路101号,呼伦贝尔市,额尔古纳市,120.178773,50.248781,额尔古纳市拉布大林雅马哈摩托车专卖店,内蒙古自治区,,
内蒙古扎赉特旗财智小区门市,兴安盟,扎赉特旗,122.911773,46.724208,扎赉特旗玮杰电动车商店,内蒙古自治区,,
内蒙古兴安盟乌兰浩特市和平街二中路北,兴安盟,乌兰浩特市,122.028748,46.103857,内蒙古乌兰浩特市百福电动车商行(直营),内蒙古自治区,,
内蒙古呼伦贝尔市鄂伦春自治旗大杨树镇冯津岭,呼伦贝尔市,鄂伦春自治旗,124.587862,49.753611,鄂伦春自治旗大杨树志远摩托车经销有限责任公司,内蒙古自治区,,
内蒙古呼伦贝尔盟莫力达瓦旗和平路61号,呼伦贝尔市,莫力达瓦达斡尔族自治旗,124.490695,48.474545,莫力达瓦旗新日电动车经销处(直营),内蒙古自治区,,
内蒙古呼伦贝尔市海拉尔开发区109大厦一楼,呼伦贝尔市,海拉尔区,119.74839,49.21534,呼伦贝尔市佳音经贸有限责任公司,内蒙古自治区,,
内蒙古兴安盟扎赉特旗新日电动车专卖店,兴安盟,扎赉特旗,122.912271,46.724014,内蒙古扎赉特旗新日专卖店,内蒙古自治区,,
兴安盟突泉县华丰街99号,兴安盟,突泉县,121.570321,45.381763,突泉县突泉镇新日电动车店,内蒙古自治区,,
