address,city,districd,lat,lon,name,province,street,town
吉林省敦化市翰章大街建筑公司楼下,延边朝鲜族自治州,敦化市,128.233047,43.366447,敦化市老五摩托车经销处,吉林省,,
吉林省榆树市榆树大街北段新日电动车专卖店,长春市,榆树市,126.560891,44.828229,榆树市新日电动车行,吉林省,,
吉林省德惠市东五道街（新日专卖店）,长春市,德惠市,125.712617,44.548708,德惠市东盛新能源汽车销售服务有限公司,吉林省,,
吉林省东丰县林业局对面新日电动车,辽源市,东丰县,125.540905,42.674994,东丰镇小龙摩托车行,吉林省,,
松原市江南国贸西行100米,松原市,宁江区,124.825117,45.141789,松原市宁江区美日电动车商店,吉林省,,
"吉林省白城市幸福南大街42号新日专卖店自提：88086641\n', '自提：13812027778",白城市,洮北区,122.827772,45.611897,白城市新日电动车专卖店,吉林省,,
吉林省白城市通榆县商业城北30米路西新日专卖店(自提)司机:8385206,白城市,通榆县,123.088239,44.812911,通榆县大利电动车商行,吉林省,,
吉林镇赉县团结东路新日专卖店,白城市,镇赉县,123.205635,45.851913,镇赉县镇赉镇大陆鸽电动车行,吉林省,,
吉林省大安市安泰市场西数3门,白城市,大安市,124.291406,45.511225,大安市大阳电瓶车商店一分店,吉林省,,
吉林市船营区南京街吉林大街224号,吉林市,船营区,126.565799,43.846867,吉林市船营区吉利电动车经销部,吉林省,,
吉林省梅河口市梅河大街2202号,通化市,梅河口市,125.682428,42.526096,梅河口市文斌车行,吉林省,,
吉林省洮南市富文东路,白城市,洮南市,122.800402,45.345149,洮南市顺发电动车商店,吉林省,,
长春市南关区大马路643号,长春市,南关区,125.341363,43.891256,吉林省大方向电动自行车有限公司,吉林省,,
吉林省辽源市龙山区实验小学后侧,辽源市,龙山区,125.13896,42.899733,辽源市龙山区英子车行(直营),吉林省,,
吉林省长春市南关区大马路582号,长春市,南关区,125.340284,43.89766,南关区新日电动车专卖店(直营),吉林省,,
吉林省通化市建设大街纺织配件1号楼4号门市下,通化市,东昌区,125.965866,41.738486,通化辛升摩托车销售有限公司(直营),吉林省,,
吉林省珲春市站前西大街1426号,延边朝鲜族自治州,珲春市,130.353536,42.876625,珲春立信贸易有限公司(直营),吉林省,,
吉林省四平市伊通县西门道北,四平市,伊通满族自治县,125.305394,43.345754,伊通满族自治县伊通镇伟东凤凰电动车专卖店(直营),吉林省,,
吉林省蛟河市蛟河大街泰林综合楼3号门市,吉林市,蛟河市,127.346683,43.723093,蛟河市新日电动车行,吉林省,,
