address,city,districd,lat,lon,name,province,street,town
四川省名山县红星镇百马街197号,成都市,武侯区,104.075931,30.651651,雅安市名山区星达车行,四川省,,
四川省泸州市龙马潭区金山路六和苑四号楼2号门市,泸州市,龙马潭区,105.438865,28.896478,李吉,四川省,,
乐山市市中区柏杨中路556号,乐山市,市中区,103.741007,29.591837,乐山市中心城区嘉乐摩托车行,四川省,,
四川省荥经县严道派出所旁,雅安市,荥经县,102.83575,29.794641,荥经县宏运摩托车销售点,四川省,,
四川省天全县电动车一条街门市,雅安市,天全县,102.767599,30.055918,天全县华龙车行,四川省,,
四川省攀枝花市米易县攀莲镇大坪北路,攀枝花市,米易县,102.102363,26.890067,米易县何氏商贸有限公司,四川省,,
四川省泸州市纳溪城区柏林小区2号楼第一层35号门市,泸州市,纳溪区,105.365974,28.766428,张诗权,四川省,,
四川省宜宾市商业街2号楼8号“北京新日专卖”发货地址:四川宜宾市难岩长江大道19-10号,宜宾市,翠屏区,104.626583,28.756438,宜宾奕星商贸有限公司,四川省,,
四川省南溪县北大街163号,成都市,彭州市,103.942072,30.987527,宜宾市南溪区唐泽均车行,四川省,,
四川省长宁县长宁镇竹都大道二段43号,宜宾市,长宁县,104.915553,28.579791,长宁县建国电动车行,四川省,,
四川省宜宾市珙县巡场镇芙蓉路大道75号,宜宾市,珙县,104.709291,28.458505,孙希兵,四川省,,
四川省内江市中区交通路166号,成都市,简阳市,104.520957,30.419353,内江市中区远大车行,四川省,,
四川荣县环城南路169号,自贡市,荣县,104.413752,29.454827,荣县环城三哥车行,四川省,,
四川省邻水县交警大队对面下50米,广安市,邻水县,106.93038,30.334769,邻水县万鑫电动车行,四川省,,
四川省武胜县下东街,广安市,武胜县,106.297055,30.344998,武胜县沿口胜仔电动车店,四川省,,
大竹县竹阳北路,达州市,大竹县,107.213055,30.736949,大竹县馨飞电动车销售门市,四川省,,
达州市达川区翠屏街通达西路389号,达州市,达川区,107.50382,31.20121,达州市达川区振男车行,四川省,,
四川省华蓥市双河镇明光路284号,广安市,华蓥市,106.773792,30.367604,刘建平,四川省,,
四川省营山县翠屏路金穗门口,南充市,营山县,106.562643,31.072064,营山县钟文车行,四川省,,
四川省遂宁市射洪县太和镇新阳街488号雅迪电动车专卖店,遂宁市,射洪县,105.380744,30.871051,任勇,四川省,,
四川省泸州泸县二中学府路34号,泸州市,泸县,105.373297,29.141478,泸县福集镇好弟兄电动车销售部,四川省,,
四川省凉山州西昌市长安中路安宁小区292号（北京新日专卖）,凉山彝族自治州,西昌市,102.248767,27.887948,西昌志彬电动车销售有限公司,四川省,,
四川省内江市威远县严陵镇杉树坳街中段320号,内江市,威远县,104.664391,29.519834,威远县恒瑞祥商贸有限公司,四川省,,
四川省峨眉山市符溪镇乐峨路符溪段26号1-7号,乐山市,峨眉山市,103.560945,29.599729,峨眉山市志春摩托车销售经营部,四川省,,
四川省自贡市自流井区汇东路市图书馆360号,自贡市,自流井区,104.770279,29.343876,自贡市继翔商贸有限公司,四川省,,
四川省自贡市富顺县斧江大道中段五羊本田,自贡市,富顺县,104.9708,29.18051,富顺县宏达摩托车经营部,四川省,,
会理县顺城路891号,凉山彝族自治州,会理县,102.248886,26.653898,会理县新能源电动车行,四川省,,
四川省乐山市五通桥区牛华镇豪爵铃木专卖店,乐山市,五通桥区,103.802914,29.464398,乐山市五通桥区驰骋车行,四川省,,
资中县前西街嘉陵摩托车行,内江市,资中县,104.853399,29.788898,资中县飞跃摩托车行,四川省,,
四川省南充市人民南路300-304号,南充市,顺庆区,106.080963,30.785046,南充金夫人电动车城,四川省,,
广安市广安区兴安东街22-24号,广安市,广安区,106.641608,30.474003,广安市城南兴安中街凯达自行车经营部,四川省,,
四川省广安市岳池县九龙镇九龙大街千禧家园门市（新日电动车专卖店）,广安市,岳池县,106.445699,30.531469,岳池县新日电动车经营部,四川省,,
四川省绵阳市长虹大道中段39号大兴达摩托车公司“北京新日专卖”,绵阳市,涪城区,104.737816,31.476933,四川大兴达摩托车有限责任公司,四川省,,
四川省广元市文化路,广元市,利州区,105.857438,32.429992,广元市城区宽宏摩托车经营部东坝店,四川省,,
四川省眉山市丹棱县西门大道,眉山市,丹棱县,103.512733,30.014448,丹棱县平安车行,四川省,,
四川省青神县青城镇福家小区22-23号,眉山市,青神县,103.841839,29.83118,青神县邓氏车业销售部一门市,四川省,,
四川省安岳县北大街279号,资阳市,安岳县,105.347711,30.108797,阳运建,四川省,,
四川巴中市巴州区南池南路540号,巴中市,巴州区,106.755631,31.848914,巴中市巴州区锦程电动车行,四川省,,
中江县凯江镇朝阳中路215号,德阳市,中江县,104.679474,31.030735,唐海芳,四川省,,
四川省资阳市雁江区松涛路一段213号,资阳市,雁江区,104.630679,30.148071,资阳市大地四海商贸有限责任公司,四川省,,
四川简阳市五友路二段新日电动车专卖店,成都市,简阳市,104.549422,30.394245,简阳市简城镇新新日电动车行,四川省,,
