address,city,districd,lat,lon,name,province,street,town
天津市宝坻区新开口镇农行东侧200米,天津市,宝坻区,117.205392,39.680552,天津市宝坻区新石自行车经营部,天津市,,
天津市武清区黄花店镇,天津市,武清区,116.908283,39.352134,天津市武清区茂隆电动自行车销售部,天津市,,
天津市滨海新区胡家园街欣美园农产品交易市场,天津市,滨海新区,117.580422,39.02728,天津市滨海新区自由行自行车经营部,天津市,,
天津蓟县四正街,天津市,蓟州区,117.413677,40.036579,天津市蓟县鑫旺顺电动车行,天津市,,
天津市滨海新区大港油田阳光佳园五里东门,天津市,南开区,117.18008,39.135294,天津市滨海新区大港雷雅车行,天津市,,
天津市东丽区军粮城镇,天津市,东丽区,117.314324,39.086569,天津市润玉商贸有限公司,天津市,,
天津市塘沽区向阳西支路51号,天津市,滨海新区,117.663167,39.026172,天津市滨海新区塘沽雅福达电动车经销部,天津市,,
天津市宁河县小海北镇,天津市,宁河区,117.828569,39.326238,唐山芦台经济开发区景禄车行,天津市,,
天津市东丽区丰年村街丰年北里6号楼4,天津市,东丽区,117.340267,39.084195,天津市东丽区朱立国自行车修理部,天津市,,
天津市宁河县造甲城镇造家城村二区3排17号,天津市,宁河区,117.432007,39.283086,天津市宁河县冯跃强电动车经营部,天津市,,
武清区梅厂镇津围公路西侧,天津市,武清区,117.200734,39.370178,天津市武清区冯利电动自行车销售部,天津市,,
"""大港小王庄镇",天津市,滨海新区,117.160667,38.751179,天津大港小王庄新日专卖(直营),天津市,,
蓟县四正街,天津市,蓟州区,117.413677,40.036579,天津蓟县新日专卖店(直营),天津市,,
天津宁河北淮淀乡,天津市,宁河区,117.580995,39.263105,天津宁河北淮淀新日专卖店,天津市,,
天津南开黄河道不锈钢城西侧底商,天津市,南开区,117.140571,39.137309,天津南开黄河道刘海明电动车经营部,天津市,,
天津市滨海新区大港区街道永明路,天津市,滨海新区,117.453893,38.837789,天津市飞云腾电动自行车商行,天津市,,
天津市东丽区军粮城镇电动车一条街,天津市,东丽区,117.25893,39.182384,天津市东丽区军粮城镇三亚专卖店(直营),天津市,,
天津西青区中化镇密云一支路,天津市,西青区,117.120652,39.130745,天津市西青区邹小华电动车经营部,天津市,,
天津汉沽文化街大楼超市旁,天津市,滨海新区,117.80869,39.253876,天津汉沽百货大楼有限责任公司(直营),天津市,,
天津静海东方红路东兴菜市场往东50米,天津市,静海区,116.947378,38.933261,天津静海刘勐电动车经销部(直营),天津市,,
天津市大港油田一中东店面底商,天津市,滨海新区,117.50211,38.733153,天津大港油田郭伟电动车经营部(直营),天津市,,
天津市宁河县芦台镇津榆支路79号,天津市,宁河区,117.827839,39.341264,天津市宁河县锐星自行车商行(直营),天津市,,
天津市宁河县潘庄镇大贾村村委会,天津市,宁河区,117.3858,39.3192,天津市宁河县庆利电动自行车经营部(直营),天津市,,
天津市宁河县岳龙镇,天津市,宁河区,117.86195,39.573029,天津市宁河县志泉摩托车行(直营),天津市,,
天津大港太平镇,天津市,滨海新区,117.336752,38.617698,大港太平腾飞自行车商行(直营),天津市,,
天津大港中塘张港子十字路口,天津市,滨海新区,117.397853,38.850686,天津大港中塘新日专卖店(直营),天津市,,
