address,city,districd,lat,lon,name,province,street,town
宁夏同心县长征东街032号（县医院东侧）,吴忠市,同心县,105.918147,36.980348,同心县新日电动车专卖店,宁夏回族自治区,,
宁夏盐池县西环路,吴忠市,盐池县,107.369367,37.796589,盐池县福泞电动车经销部,宁夏回族自治区,,
宁夏吴忠市西环路五星宾馆院内3号厅,吴忠市,利通区,106.193046,37.98553,吴忠市利通区龙辉电动车商行,宁夏回族自治区,,
宁夏省固原市彭阳县信合路百货大楼一楼,固原市,彭阳县,106.641952,35.849697,彭阳县俊来电动车自行车销售中心,宁夏回族自治区,,
宁夏回族自治区海原县政府街新日专卖店,中卫市,海原县,105.643487,36.565033,海原县新日电动车专卖店,宁夏回族自治区,,
中卫市沙坡头区鼓楼东街152号（新日电动车）,中卫市,沙坡头区,105.196189,37.515037,中卫市阳光电动车行,宁夏回族自治区,,
宁夏灵武市振兴路商贸广场对面,银川市,灵武市,106.332078,38.098226,灵武市新日电动车行,宁夏回族自治区,,
石嘴山市大武口区文明北路隆兴商业广场A区5号,石嘴山市,大武口区,106.381771,39.013481,大武口区新日电动车行,宁夏回族自治区,,
银川市兴庆区建发商业广场4-1-1,银川市,兴庆区,106.290834,38.459459,银川市兴庆区赵宁和车行,宁夏回族自治区,,
宁夏西吉县兴隆镇,固原市,西吉县,105.813239,35.705371,西吉县兴隆新日电动车经销部,宁夏回族自治区,,
宁夏青铜峡市,吴忠市,青铜峡市,106.078818,38.021302,青铜峡市胜龙车行,宁夏回族自治区,,
宁夏中卫市中宁县新日电动车专卖店,中卫市,中宁县,105.673158,37.489434,中宁县新阳光电动车行,宁夏回族自治区,,
固原市泾源县东平北路,固原市,泾源县,106.330646,35.49816,泾源县金师傅车行,宁夏回族自治区,,
宁夏石嘴山市惠农区北大街清真寺小区商业房8-9号,石嘴山市,惠农区,106.779212,39.23524,宁夏惠农区新日电动车专卖店(直营),宁夏回族自治区,,
宁夏银川市兴庆区新华东街建发家世界4-1,银川市,兴庆区,106.290918,38.459489,银川市兴庆区宁博通车行,宁夏回族自治区,,
平罗县北门外贸宾馆楼下,石嘴山市,平罗县,106.544292,38.913659,平罗县北门马瑞电动车经销部,宁夏回族自治区,,
