address,city,districd,lat,lon,name,province,street,town
文化路与凯旋路交叉口北150米路西新日专卖店,济南市,章丘区,117.455811,36.728695,商丘市梁园区恒发电动车经营部,山东省,,
潍坊市胜利西街229号,潍坊市,潍城区,119.107377,36.708136,奎文区东关百益欣电动车超市,山东省,,
山东省东营市河口区海盛路202号,东营市,河口区,118.542262,37.878153,河口区海盛路新日电动车专卖,山东省,,
邹城市铁山路中段271号,济宁市,邹城市,116.965322,35.402966,邹城市欣泰电动车行,山东省,,
济宁市兖州区龙桥南路,济宁市,兖州区,116.816197,35.538727,济宁市兖州区王雷阳光车行,山东省,,
曲阜市静轩西路49号,济宁市,曲阜市,116.986828,35.589349,曲阜市欣泰车行,山东省,,
山东省鄄城县汽车站东50米路南,菏泽市,鄄城县,115.514118,35.554629,鄄城鲁西车行,山东省,,
山东省东营市西三路光彩大厦,东营市,东营区,118.506113,37.459123,东营区奥斯电动车专卖店,山东省,,
山东省菏泽市巨野县前进路中段路东,菏泽市,巨野县,116.100458,35.404123,山东巨野尧舜车业有限公司,山东省,,
山东省滨州市惠民县东门大街,滨州市,惠民县,117.513881,37.487964,惠民县孙武镇奥斯电动车专卖店,山东省,,
山东省菏泽市牡丹区八一街新日专卖店,菏泽市,牡丹区,115.463607,35.249332,菏泽市牡丹区长久电器销售有限公司,山东省,,
山东省滨州市沾化县富电路,滨州市,沾化区,118.132059,37.695325,沾化县平安人家电动车行,山东省,,
广饶县大王镇大王南村156号,东营市,广饶县,118.516337,36.976273,广饶县大王镇翔鹰电动车销售中心,山东省,,
山东临朐沂山镇蒲沟村,潍坊市,临朐县,118.705119,36.219195,临朐县明磊摩托车销售部,山东省,,
高密市立新街华联东新日专卖,潍坊市,高密市,119.764067,36.378441,高密市宏伟电动车商行,山东省,,
诸城市市场街中段新日专卖,潍坊市,诸城市,119.40309,36.002032,诸城市远晖车行,山东省,,
潍坊滨海开发区华彤电动车经销店一店,潍坊市,寒亭区,119.150726,37.020399,滨海开发区华彤电动车经销店一店,山东省,,
山东省寿光市金光街全福元电动车城（百大家电城旁）,潍坊市,寿光市,118.739903,36.881555,山东全福元商业集团有限责任公司,山东省,,
山东省昌乐县新昌路242号,潍坊市,昌乐县,118.836553,36.699888,昌乐县心诚电动车销售中心,山东省,,
安丘市一马路新日专卖店,潍坊市,安丘市,119.197908,36.43394,安丘市利达电动车门市,山东省,,
青州市大润发商场专卖店,潍坊市,青州市,118.48716,36.685515,青州市永拓商贸有限公司,山东省,,
山东省汶上县中都大街258号,济宁市,汶上县,116.494195,35.720398,汶上县兴业车行,山东省,,
利津县凤凰街道新日电动车经销店,东营市,利津县,118.21783,37.490969,利津县凤凰街道新日电动车经销店,山东省,,
山东省滨州市现代电动车销售中心王强:13854365967,滨州市,滨城区,117.970703,37.38199,滨州市滨城区新世纪电动车销售中心,山东省,,
山东省无棣县新一路280号经贸委楼下,滨州市,无棣县,117.610072,37.744189,无棣县方圆车业销售中心,山东省,,
山东定陶县兴华路西段农机公司大门东侧,济南市,长清区,116.747759,36.559919,葛真芝,山东省,,
山东省济宁市琵琶山路37号 汇众商贸有限公司,济宁市,任城区,116.60577,35.409484,济宁市新众商贸有限公司,山东省,,
山东省淄博市临淄区大顺路北首曙光大酒店南邻,淄博市,临淄区,118.296009,36.817635,淄博市临淄金爵摩托商行,山东省,,
山东省淄博市张店区共青团西路11号（淄博饭店路口向西200米路南）,淄博市,张店区,118.057585,36.805265,淄博海陆贸易有限公司,山东省,,
山东省淄博市周村区站北路25-7号,淄博市,周村区,117.85016,36.794946,周村顺鑫车行,山东省,,
山东省淄博市高青县鲁中摩托城3号飞马车行,淄博市,高青县,117.826916,37.171063,高青晓燕商贸有限公司,山东省,,
山东省淄博市桓台县索镇商业街,淄博市,桓台县,118.111563,36.957522,桓台琪恒电动车销售有限公司,山东省,,
山东省曹县中兴路路西6号,菏泽市,曹县,115.537537,34.885737,山东省曹县燕博摩托车销售有限公司,山东省,,
莱芜市莱城区秀水佳苑3号沿街楼新日电动车专卖店,济南市,莱芜区,117.686486,36.19691,莱芜市宏轩商贸有限公司,山东省,,
山东济阳县老汽车站西68米路南（纬二路68号）,济南市,济阳区,117.194438,36.975626,济阳县爱鑫电动车销售中心,山东省,,
