address,city,districd,lat,lon,name,province,street,town
朔州市山阴县旧城闫家巷路北新日电动车专卖店,朔州市,山阴县,112.829006,39.521214,山阴县全成电动车经销部,山西省,,
山西保德府前西街88号新日电动车专卖店,忻州市,保德县,111.080217,39.021453,保德县王俊如摩托车配件门市,山西省,,
山西省阳泉市南庄路5号桥新日电动车专卖店,阳泉市,郊区,113.589461,37.845721,阳泉市城区意达隆车行,山西省,,
山西省盂县金龙街北关2号楼西侧新日电动车,阳泉市,盂县,113.412029,38.091917,盂县金龙街永新电动车经销部,山西省,,
山西省阳泉市平定县东关中行对面,阳泉市,平定县,113.625942,37.793085,平定县新万成车行,山西省,,
山西省定襄县晋昌镇新开路9号,忻州市,定襄县,112.960368,38.483191,定襄县恒大车业,山西省,,
山西省忻州市繁峙县砂河镇富民街邮电局南10米处新日专卖,忻州市,繁峙县,113.567161,39.255524,繁峙县砂河镇鸿源车行,山西省,,
灵丘县新华东街,大同市,灵丘县,114.247381,39.440408,灵丘县永兴车行,山西省,,
大同市矿区勘探街小区底层6号商铺,大同市,云冈区,113.183551,40.041233,大同市矿区新通达电动车经销部,山西省,,
阳高县大西街红旗楼下,大同市,阳高县,113.749197,40.364474,阳高县顺玉车业经销店,山西省,,
大同市城区大北街83号,大同市,平城区,113.302015,40.095215,大同市城区金正车行,山西省,,
山西省广灵县永安西街县政府对过,大同市,广灵县,114.292873,39.761911,广灵县云亮电动自行车行,山西省,,
代县上馆镇东关同心路,忻州市,代县,112.971055,39.067845,代县国俊摩托车电动车商行,山西省,,
五台县城供销一条街（信阳街20号）,忻州市,五台县,113.261493,38.72139,五台县台城镇宇翔摩托经销部(直营),山西省,,
山西省原平市京原南路,忻州市,原平市,112.716606,38.716086,原平市原平飞达摩托经销部,山西省,,
山西省朔州市朔城区开发南路,朔州市,朔城区,112.436134,39.327255,朔州市朔城区雪峰电动车经销部,山西省,,
山西省忻州市忻府区新建南路14号,忻州市,五寨县,111.844226,38.909159,忻州市忻府区红星车行,山西省,,
山西大同左云县东延路马道头乡家属楼底层(西)老板娘:13835265679,大同市,左云县,112.703008,40.013442,左云县新日电动车经销部,山西省,,
山西省大同市浑源县京都对面,大同市,浑源县,113.699475,39.693407,浑源县二娃车行,山西省,,
山西省孝义市新义街华仙大酒店对面,吕梁市,孝义市,111.777038,37.142333,孝义市新义街新日电动车销售店,山西省,,
汾阳市富民路北口,吕梁市,汾阳市,111.80105,37.269766,汾阳市东一环建宇电动车车行,山西省,,
山西省侯马市天河电子城新日电动车店,临汾市,侯马市,111.383156,35.62227,侯马经济开发区新华明电动车销售有限公司,山西省,,
