address,city,districd,lat,lon,name,province,street,town
广东省新兴县新城镇时代广场东门口4栋18-19,云浮市,新兴县,112.234401,22.700823,新兴县新城镇昌华电动车行,广东省,,
广东湛江市遂溪县湛川路20号新日电动车专卖店,湛江市,遂溪县,110.255071,21.373472,遂溪县遂城创大摩托车行,广东省,,
广东省雷州市雷城镇西湖大道,湛江市,雷州市,110.094421,20.910866,雷州市上坡吴鸿达摩托车行,广东省,,
广东省信宜市南山路7号,茂名市,信宜市,110.93769,22.34457,信宜市东镇雅远摩托车行,广东省,,
广东省阳江市江城区西平路江南雅居135号商铺,阳江市,江城区,111.964538,21.857322,阳江市江城区新又新摩托车行,广东省,,
广东省阳西县宋康路21号,阳江市,阳西县,111.617645,21.744432,阳西县祥记电动车行,广东省,,
广东省湛江市麻章区东海岛东简东坑村112号内,湛江市,麻章区,110.496858,21.016362,湛江东海岛经济开发区爱惠摩托车商行,广东省,,
廉江市中山五路12号,中山市,,113.404893,22.511907,廉江市廉通贸易有限公司,广东省,,
电白县沙琅镇沙琅路15号,茂名市,电白区,111.221992,21.776255,电白县沙琅镇精英车行,广东省,,
广东省化州市桔城东路3号,茂名市,化州市,110.643049,21.651353,化州市桔城车行,广东省,,
湛江市霞山区解放西路7号,湛江市,霞山区,110.402611,21.192822,陈泽浓,广东省,,
广东省湛江市赤坎区九二一路43号,湛江市,赤坎区,110.359255,21.27649,湛江市赤坎区新麦电动自行车行,广东省,,
广东省湛江市坡头区南调路莫烟楼村商铺961号,湛江市,坡头区,110.43823,21.24865,湛江市航旭发展有限公司,广东省,,
广东高要市南岸南兴三路嘉庆楼底层11-12,广州市,荔湾区,113.23187,23.13595,高要市南岸鸿辉电动自行车行,广东省,,
广东省中山市沙溪镇隆都路隆都市场旁边＂新日专卖＂,中山市,,113.316012,22.510732,中山市沙溪镇泰和电动自行车商行,广东省,,
广东省佛山市狮山镇罗村街道城中路53号新日电动车,佛山市,南海区,113.046651,23.054733,佛山市南海区绿之宝电动车商行,广东省,,
广东中山市三乡镇文昌中路23号,中山市,,113.426702,22.352646,中山市三乡镇丰发电动自行车商行,广东省,,
