address,city,districd,lat,lon,name,province,street,town
吐鲁番市广汇路商业街南段（华泰宾馆斜对面）,吐鲁番市,高昌区,89.188206,42.943049,吐高昌区国华电动车销售店,新疆维吾尔自治区,,
库尔勒市团结北路30号栋1层5-9号门面,巴音郭楞蒙古自治州,库尔勒市,86.145344,41.755789,库尔勒市大朝电动车商行,新疆维吾尔自治区,,
新疆哈密市广东路东疆民贸1楼新日,哈密市,伊州区,93.50666,42.830321,哈密大朝机电有限公司,新疆维吾尔自治区,,
库车县步行街一期H座108号商铺,阿克苏地区,库车县,82.967572,41.7113,库车九方电动车销售部,新疆维吾尔自治区,,
乌鲁木齐头屯河区绿洲街88号惠邦小区13号楼4号,乌鲁木齐市,头屯河区,87.291698,43.862865,头屯河区绿洲街大朝电动车行,新疆维吾尔自治区,,
新疆阿图什市幸福小区广场4区28号,克孜勒苏柯尔克孜自治州,阿图什市,76.177033,39.71344,阿图什市雅迪电动车销售店,新疆维吾尔自治区,,
新疆巴楚县大智电动车市场1排9号,喀什地区,巴楚县,78.549297,39.785155,巴楚县小光电动车销售店,新疆维吾尔自治区,,
新疆哈密地区哈密市三道岭地区建安路188号（文化宫北侧）,哈密市,伊州区,92.671567,43.149481,哈密三道岭骑士摩托车配件行,新疆维吾尔自治区,,
新疆喀什地区叶城县解放北路建业小区旁,喀什地区,叶城县,77.416416,37.888966,叶城县鑫宏盛车行,新疆维吾尔自治区,,
新疆喀什地区疏勒县张骞路翰林世家小区1-7号商铺,喀什地区,疏勒县,76.079597,39.400114,疏勒县新日电动车经销店,新疆维吾尔自治区,,
呼图壁县曙光电动车城,昌吉回族自治州,呼图壁县,86.898902,44.191428,呼图壁县新日电动车店,新疆维吾尔自治区,,
新疆塔城地区额敏县朝阳区建安路,塔城地区,额敏县,83.859219,46.813825,额敏县宏士车行,新疆维吾尔自治区,,
