address,city,districd,lat,lon,name,province,street,town
江苏省无锡市惠山区长安金惠路820号,无锡市,惠山区,120.351018,31.66761,无锡车天下商贸有限公司-康成大润发,江苏省,,
江苏省苏州金阊区传化物流港D3号,苏州市,虎丘区,120.536042,31.352323,苏州诚易禾贸易有限公司—康城大润发,江苏省,,
江苏省江阴市君巫路47号,无锡市,江阴市,120.265452,31.917812,江阴市雄风电动车有限公司,江苏省,,
江苏省无锡市梅园十八弯13-123号,无锡市,滨湖区,120.21644,31.550385,滨湖区戴其军助动自行车商行-欧尚,江苏省,,
江苏省无锡市梅园十八弯13-123号,无锡市,滨湖区,120.21644,31.550385,滨湖区戴其军助动自行车商行-康城大润发,江苏省,,
成车地址：江苏常熟市花园滨路108号；,苏州市,常熟市,120.786169,31.601928,常熟市联顺商贸有限公司,江苏省,,
江苏省仪征市人民路53号（电影院斜对面）,扬州市,江都区,119.557782,32.419694,仪征市真州镇方新电动自行车商行,江苏省,,
江苏省泰兴市大庆西路17号,泰州市,泰兴市,120.016072,32.172566,泰兴市弘一百货商行,江苏省,,
常熟市虞山镇明晶村（2）新桥头63号,苏州市,常熟市,120.746112,31.707849,常熟市联顺商贸有限公司-康成大润发,江苏省,,
江苏无锡江阴市华士镇和平街848号,无锡市,江阴市,120.469398,31.837535,江阴市华士峰峰电动车商行,江苏省,,
苏州市唯亭镇夷亭路6号,苏州市,苏州工业园区,120.791114,31.358301,苏州工业园区唯亭镇晓亮车行,江苏省,,
江苏省江阴市环城东路41号,无锡市,江阴市,120.27761,31.900881,江阴市澄江镇澄南新世纪电动车商行,江苏省,,
苏州市相城区黄埭镇长旺路173号,苏州市,相城区,120.51713,31.433762,苏州市相城区黄埭镇东桥东新车行,江苏省,,
张家港妙桥镇永进路48号,苏州市,张家港市,120.680031,31.802684,张家港市塘桥镇妙桥新新日电动车专卖店,江苏省,,
江苏省扬中市三茅镇江州南路43号,镇江市,扬中市,119.83205,32.23412,扬中市志奇助动自行车销售有限公司,江苏省,,
昆山市白马泾路46号,苏州市,昆山市,120.941051,31.379602,欧尚（中国）投资有限公司,江苏省,,
张家港锦丰镇杨锦公路565号,苏州市,张家港市,120.612283,31.937725,无锡车天下贸易有限公司,江苏省,,
长泾镇花园路120号,苏州市,太仓市,121.075829,31.448275,江阴市长泾小罗摩托车服务部,江苏省,,
江苏省昆山市玉山镇昆北路80号,苏州市,昆山市,120.960122,31.391904,昆山市玉山镇鹏兴车行,江苏省,,
无锡梅园环湖路恒大发展大厦123号,无锡市,滨湖区,120.216386,31.550284,滨湖区戴其军助动自行车商行,江苏省,,
江苏省无锡市锡山区学前东路春江花园308号,无锡市,新吴区,120.347768,31.580738,无锡得而达商贸有限公司,江苏省,,
苏州市相城区东桥镇长旺路,苏州市,相城区,120.517196,31.434648,苏州市相城区黄埭镇东桥东新车行-康成大润发,江苏省,,
江苏省昆山市玉山镇昆北路80号,苏州市,昆山市,120.960122,31.391904,昆山市玉山镇鹏兴车行-欧尚,江苏省,,
江苏省昆山市玉山镇昆北路80号,苏州市,昆山市,120.960122,31.391904,昆山市玉山镇鹏兴车行-康成大润发,江苏省,,
江阴市周庄镇砂山大道237号,无锡市,江阴市,120.426936,31.870214,江阴市周庄福民电动自行车行,江苏省,,
江苏省昆山市朝阳中路516号,苏州市,昆山市,120.969468,31.37152,康成（中国）投资有限公司,江苏省,,
吴江市松陵镇笠泽路155号,苏州市,吴江区,120.647469,31.149246,康成投资（中国）有限公司（大润发吴江店）,江苏省,,
宜兴市宜城街道太滆东路22号,无锡市,宜兴市,119.82171,31.368532,宜兴市宜城街道银洋电动车商店,江苏省,,
无锡市南长区南长街110号新日专卖店,无锡市,梁溪区,120.309539,31.563199,无锡得而达商贸有限公司-康成大润发,江苏省,,
无锡市南长区南长街110号新日专卖店,无锡市,梁溪区,120.309539,31.563199,无锡得而达商贸有限公司-欧尚,江苏省,,
南京市浦口区北圩商城浦珠中路,南京市,浦口区,118.682375,32.108099,南京振吉车业有限公司,江苏省,,
南京市秦淮区中华路357号,南京市,秦淮区,118.783999,32.019331,南京沐风车业有限公司,江苏省,,
江都区长江路新日电动车专卖店,扬州市,江都区,119.805779,32.48101,扬州市探星电动车有限公司,江苏省,,
南京市江宁区天印大道716号新日电动车,南京市,江宁区,118.860471,31.944704,南京市江宁区骑士车辆经营部,江苏省,,
南京市江宁区东山街道天印大道718-5号209,南京市,江宁区,118.85819,31.9585,南京快枪车业有限公司,江苏省,,
江苏省南京市浦口区江浦街道南门大街,南京市,浦口区,118.62704,32.055733,南京市浦口区益中摩托车配件经营部,江苏省,,
扬州市江都区长江东路新日专卖店,扬州市,江都区,119.755441,32.435306,扬州市探星电动车有限公司-康成大润发,江苏省,,
泰州海陵区青年北路25号,泰州市,海陵区,119.912257,32.486019,海陵区胜浩电动车商行,江苏省,,
江苏省兴化市建设东路104#-106#（成车地址）,泰州市,兴化市,119.834142,32.91874,兴化市松柏电动车行,江苏省,,
江苏省镇江市黄山南路64号9栋新日电动车服务中心,镇江市,润州区,119.440127,32.192541,镇江大世界电动自行车有限公司,江苏省,,
江苏省镇江丹阳市云阳镇中山路88号中山大夏门面房5-8,镇江市,丹阳市,119.578025,31.996016,丹阳市云阳镇百盛电动车商行,江苏省,,
常州市新北区汉江西路118号,常州市,新北区,119.938033,31.840841,常州摩爵会动力机车有限公司,江苏省,,
江苏省靖江市新建路140号前进电动车商行,泰州市,靖江市,120.266184,32.021093,靖城天音音响电器商行,江苏省,,
江苏省姜堰市人民南路75号,南京市,高淳区,118.97275,31.307347,姜堰区城南电动车商行,江苏省,,
江苏省海安县海安镇人民西路26号,南通市,海安市,120.453652,32.541746,南通顺腾商贸有限公司,江苏省,,
江苏省盐城市区大庆中路156号-108A（新日电动车门市）,盐城市,盐都区,120.132808,33.36927,盐城市皇嘉贸易有限公司,江苏省,,
建湖县向阳东路28号,盐城市,阜宁县,119.806728,33.792631,建湖县近湖镇李磊电动车经营部,江苏省,,
江苏省射阳县振阳街13号楼新日电动车门市,盐城市,射阳县,120.25735,33.767602,射阳县合德镇新日电动车门市,江苏省,,
江苏省响水县长江路心连心大酒店对面,盐城市,响水县,119.578552,34.194884,响水县响水镇佳娣新日电动车门市,江苏省,,
东台市海陵北路11号,盐城市,东台市,120.320285,32.853744,东台市东台镇华旭电动自行车行-康成大润发,江苏省,,
阜宁县阜城镇都市家园1幢101室,盐城市,阜宁县,119.788004,33.783973,阜宁新日电动车销售有限公司,江苏省,,
南通市工农路457号绿能专卖店,南通市,崇川区,120.881745,32.022707,南通飞云贸易有限公司,江苏省,,
南通市崇川区东晖花园3幢101室,南通市,崇川区,120.914126,32.017444,崇川区万邦电动自行车商行,江苏省,,
汇龙镇豪门广场附房一层32号门面,南通市,启东市,121.657127,31.810966,启东市明星电动自行车维修服务部,江苏省,,
如皋市如城镇艺都大厦底层8号（6-7AE）,南通市,如皋市,120.561516,32.375911,如皋市晟行电动车经营部,江苏省,,
靖江市泰和国际地下一层,泰州市,靖江市,120.262367,32.005483,靖城天音音响电器商行-康成大润发,江苏省,,
海门市 江海路3号,南通市,海门市,121.165382,31.891154,海门市海门镇天润发电动车经营部,江苏省,,
江苏东台海陵北路11号,盐城市,东台市,120.320285,32.853744,东台市东台镇华旭电动自行车行,江苏省,,
江苏省滨海县东坎镇向阳大道BC-6号101-102室,盐城市,滨海县,119.836834,33.997017,滨海县佳衡电动车经营部,江苏省,,
江苏省盱眙县五墩西路1-42号,淮安市,盱眙县,118.515011,32.996738,盱眙新日电动车经销站,江苏省,,
江苏淮安洪泽县东风东路,淮安市,洪泽区,118.866421,33.286367,洪泽县高良涧镇锦盛电动车经营部,江苏省,,
江苏省高邮市通湖路96号,扬州市,高邮市,119.438039,32.787423,高邮市新日电动车车行,江苏省,,
涟水县渠北东路新日电动车专卖店69号,淮安市,涟水县,119.278307,33.773334,涟水县新新电动车经营部,江苏省,,
江苏省宿迁市宿城区黄运路148-5号,宿迁市,宿城区,118.297157,33.951325,宿迁市安华贸易有限公司,江苏省,,
泗洪县泗州中大街17号,宿迁市,泗洪县,118.221454,33.459466,泗洪县东盛电动自行车经营部,江苏省,,
江苏省赣榆青口镇镇海西一路857号,连云港市,赣榆区,119.137897,34.822681,赣榆区宋庄镇经爱电动自行车经营部,江苏省,,
东海县牛山郇圩村,连云港市,东海县,118.822029,34.48778,东海县瀚澜贸易有限公司,江苏省,,
江苏省宿迁市宿城区幸福南路绿洲豪庭门面4-105号 捷安特专卖,宿迁市,宿城区,118.301011,33.944558,宿迁市安华贸易有限公司-康成大润发,江苏省,,
江苏省宿迁市沭阳县北京路工商银行南首,宿迁市,沭阳县,118.766824,34.127874,沭阳县沭城远豪电动车经营部,江苏省,,
江苏省扬州市宝应县安宜东路69号,扬州市,宝应县,119.330476,33.236256,宝应县喜荣电动车商行,江苏省,,
县城人民北路128号,扬州市,仪征市,119.254456,32.576328,博白县城区惠美自行车商行,江苏省,,
淮安市清河区人民北路,淮安市,清江浦区,119.021936,33.593259,清河区盛泰电动车经营部,江苏省,,
江苏省淮安市金湖县金石农机农资机电城33幢,淮安市,金湖县,119.055656,33.010872,金湖万达车行,江苏省,,
江苏省连云港市新浦区青年西路新日电动车专卖店,连云港市,海州区,119.177937,34.597825,连云港市黑马商贸有限公司,江苏省,,
江苏省泗阳淮海中路16号,宿迁市,泗阳县,118.690667,33.725417,泗阳县起行电动车经营部,江苏省,,
江苏省连云港灌云县向阳路96号,连云港市,灌云县,119.256526,34.304623,连云港祥恒车业有限公司,江苏省,,
江苏省徐州市沛县金贸广场13号楼2号,徐州市,沛县,116.936211,34.732779,沛县天翔车业有限公司,江苏省,,
江苏省邳州市民主西路,徐州市,邳州市,118.012531,34.338888,邳州市新之金电动车经营部,江苏省,,
江苏省新沂市钟吾路新日电动车专卖店,徐州市,新沂市,118.352217,34.371749,新沂市通达电动自行车销售门市,江苏省,,
徐州市西三环九里山铁路立交桥江苏外贸仓库6号库,徐州市,鼓楼区,117.17004,34.299915,徐州龙湖车业有限公司,江苏省,,
江苏省徐州市丰县华山镇钢城7区29号,徐州市,丰县,116.740027,34.634674,丰县金方正电动车配件厂,江苏省,,
睢宁县政府前东街29号大门西侧底层,徐州市,睢宁县,117.941344,33.913643,徐州东泰车业有限公司,江苏省,,
江苏徐州三环路西铜山货场盟晖储运公司1号门,徐州市,泉山区,117.132807,34.278733,徐州新日专卖店(直营),江苏省,,
徐州市铜山县柳新镇镇中心,徐州市,泉山区,117.186291,34.26795,徐州市柳新镇新日专卖店(直营),江苏省,,
徐州市铜山县大许镇镇中心,徐州市,铜山区,117.556208,34.295979,徐州市大许镇新日专卖店(直营),江苏省,,
江苏徐州市张集镇,徐州市,铜山区,117.382399,34.145662,徐州张集镇新日专卖店(直营),江苏省,,
江苏省徐州市建国路解放桥西首,徐州市,泉山区,117.183975,34.258892,徐州青商商贸发展有限公司(直营),江苏省,,
江苏省徐州市铜山县利国镇鹏盛家电摩托商城,徐州市,铜山区,117.32924,34.53723,江苏铜山县新日专卖(直营),江苏省,,
江苏省睢宁市中山中路18号“戴氏车辆商城”,南京市,鼓楼区,118.763232,32.061707,睢宁县戴氏商贸有限公司(直营),江苏省,,
江苏省徐州市丰县解放中路新日专卖店,徐州市,丰县,116.602662,34.698926,丰县新日专卖(直营),江苏省,,
