address,city,districd,lat,lon,name,province,street,town
江西省赣州市赣县梅林镇赣新大道69号,赣州市,赣县区,115.0111,25.863346,赣县明强车行,江西省,,
江西省赣州市龙南县滨江大道新日电动车专卖店,赣州市,兴国县,115.356343,26.323815,龙南县环宇电动车行,江西省,,
江西省瑞金市绵水路（司法局前20米）,赣州市,瑞金市,116.032369,25.880654,瑞金市象湖镇新日电动车店,江西省,,
江西省安远县防疫站斜对面,赣州市,安远县,115.387306,25.135649,唐健,江西省,,
江西省赣州市会昌县财富广场206国道边新日电动车旗舰店,赣州市,会昌县,115.798723,25.600731,会昌县文武坝新日电动车专卖店,江西省,,
江西吉安遂川县川江南路供销大厦新日专卖店,吉安市,遂川县,114.521042,26.320744,遂川县泉江镇肖和生电动车行,江西省,,
万安县凤凰路352号,吉安市,万安县,114.778305,26.47324,万安县快乐电动车城,江西省,,
江西省赣州市环城路新日电动车专卖店,赣州市,章贡区,114.935977,25.851782,赣州盛源车业有限公司,江西省,,
信丰县南山西路101号新日电动车专卖店,赣州市,信丰县,114.933389,25.376093,信丰县动力车行,江西省,,
江西玉山县人民南路,上饶市,玉山县,118.244646,28.67041,玉山县兴荣车行,江西省,,
江西省德兴市聚丰商贸城一层1-14到1-18号,上饶市,德兴市,117.583957,28.934266,德兴市淳安车行,江西省,,
江西省上饶市余干县世纪大道金利源宾馆西侧附属楼一楼,上饶市,余干县,116.691324,28.700752,余干县怀远电动车超市,江西省,,
贵溪市雄石东路47号,鹰潭市,贵溪市,117.214524,28.28336,贵溪市银英摩托车行,江西省,,
江西鹰潭月湖区信江花园15号店面,鹰潭市,月湖区,117.039897,28.236159,鹰潭市政欣经贸有限公司,江西省,,
江西省乐平市珠海中路250-252号,景德镇市,乐平市,117.122931,28.969917,乐平市新日电动车店,江西省,,
上饶市江南商贸城D1栋127-128号,上饶市,信州区,117.976721,28.460527,信州区宏超车行,江西省,,
江西鄱阳县文庙电动车市场新日店,上饶市,鄱阳县,116.699746,29.011699,陈旭文(直营),江西省,,
江西省上饶市铅山县复兴中路103号,上饶市,铅山县,117.713285,28.3069,汪玉珍,江西省,,
江西弋阳第一中学旁,上饶市,弋阳县,117.436787,28.404418,弋阳县安顺车行,江西省,,
江西省横峰县人民大道兴安街十字路口,上饶市,横峰县,117.603924,28.408333,横峰县新日电动车老丁车行,江西省,,
江西省上饶市婺源县紫阳镇城南路林业服务大楼新日电动车,上饶市,婺源县,117.858199,29.240403,婺源县小何电动车行,江西省,,
广丰区卧龙城电动车市场新日店,上饶市,广丰区,118.176876,28.428182,詹文明,江西省,,
江西省吉安县庐陵大道,吉安市,吉安县,114.934056,27.039048,吉安县城兰辉车行,江西省,,
江西省吉水县龙华大道51号(县建设局门口),吉安市,吉水县,115.13726,27.214339,吉水县五羊-本田摩托车店,江西省,,
江西省新干县商贸中心三街新日专卖店,吉安市,新干县,115.396606,27.747466,新干县新日电动车行,江西省,,
江西省广昌县沿河路爱莲名苑,抚州市,广昌县,116.327975,26.843825,广昌县熠新电动车店,江西省,,
抚州市崇仁县巴山镇宝水大街新日电动车,抚州市,崇仁县,116.060135,27.754206,崇仁县吉兴隆电动自行车店,江西省,,
江西抚州南城县商贸城2区,抚州市,南城县,116.645573,27.564875,南城县新日电动车经销部,江西省,,
江西省抚州市黎川县日峰镇建设路12号,抚州市,黎川县,116.910887,27.291039,黎川县黄氏车行,江西省,,
江西乐安县迎宾大道新车站对面,抚州市,临川区,116.400496,27.965205,乐安县好朋友车行,江西省,,
江西省东乡县孝岗镇洪鑫商贸城10号,抚州市,东乡区,116.604339,28.22931,东乡县志华车行,江西省,,
江西省吉安市峡江县水边新县城,吉安市,峡江县,115.316566,27.582901,峡江县新日电动车,江西省,,
江西省余江县安仁大道新日专卖店,鹰潭市,余江区,116.825805,28.213041,余江县老熊车行,江西省,,
江西省泰和县工农兵大道100号,吉安市,泰和县,114.895603,26.791642,泰和县文明电动商行,江西省,,
江西省金溪县秀谷镇景秀华城县粮食局对面,抚州市,金溪县,116.779776,27.916793,金溪县星华车行,江西省,,
江西省上高县敖山大道43号农贸市场斜对面,宜春市,上高县,114.930444,28.231694,上高县绍北电动车经销店,江西省,,
丰城市摩托车大市场新日专卖店,宜春市,丰城市,115.781735,28.177882,丰城市一帆车行,江西省,,
江西省安福县泸潇市场平一小学前,吉安市,安福县,114.614465,27.381781,罗春文,江西省,,
铜鼓县城南路粮食局1楼,宜春市,铜鼓县,114.376212,28.520907,铜鼓县新日电动车行,江西省,,
江西省萍乡市莲花县永安北路38号,萍乡市,莲花县,113.961265,27.129777,莲花县银华摩托电器城,江西省,,
江西省新余市分宜县钤山路东兴嘉园,新余市,分宜县,114.68427,27.81613,袁金根,江西省,,
抚州市临川区瑶平南路（光明眼科医院对面）,抚州市,临川区,116.363819,27.986139,抚州市临川区八达摩托车行,江西省,,
抚州市临川区上顿渡镇宾馆路（原杰宝大王电动车专卖店）,抚州市,临川区,116.358143,27.990833,抚州市临川区祥和电动自行车行,江西省,,
抚州市宜黄县凤岗镇沿江路风神巷,抚州市,宜黄县,116.222377,27.547415,宜黄县宗仁电动车经营部,江西省,,
萍乡市建设中路111号江峰电动车行,萍乡市,安源区,113.847106,27.64491,萍乡市金陵西路剑宏电动车行,江西省,,
江西省新余市电动车一条街新日电动车专卖店,新余市,渝水区,114.934427,27.806616,渝水区锦龙路万丰车业,江西省,,
江西省宜丰县城东南路629号,宜春市,宜丰县,114.78404,28.388367,宜丰县新日电动车行,江西省,,
江西省靖安县沿河中路9号,宜春市,靖安县,115.363377,28.86337,靖安县新日电动车专卖店,江西省,,
江西省芦溪县站前二路100号新日专卖店,萍乡市,芦溪县,114.048559,27.636339,芦溪县芦溪镇荣鑫电动车行,江西省,,
江西省上栗县平安北路83号,萍乡市,上栗县,113.797366,27.881268,上栗县新日电动车店,江西省,,
江西省宜春市万载县阳乐电影院对面,宜春市,万载县,114.452888,28.099125,万载县神风车行,江西省,,
江西省樟树市樟中门面18号,宜春市,樟树市,115.546385,28.054814,樟中丁氏电动车行,江西省,,
江西省宜春市朝阳路北京新日专卖店,宜春市,丰城市,115.781735,28.177882,袁州区城西新旺车行,江西省,,
江西省高安市筠泉路北京新日电动车专卖店,宜春市,高安市,115.38225,28.412625,高安市城南王牌车行,江西省,,
江西省永新县义山西路茗园街新日电动车专卖店,吉安市,永新县,114.238509,26.947763,永新县新日电动车,江西省,,
江西省新建县长征西路226号新日电动车专卖店,南昌市,新建区,115.822014,28.679951,新建区小邓车行,江西省,,
江西省南昌市进贤县城胜利南路33号,南昌市,进贤县,116.263109,28.362788,进贤县新日电动车专卖店,江西省,,
江西省九江市永修县新城桥头,九江市,永修县,115.832453,29.012297,永修县涂埠镇新城小陈二轮电动车店,江西省,,
江西省共青城南湖大道新日旗舰店,九江市,共青城市,115.806268,29.245708,共青城新日电动车经销部,江西省,,
江西省安义县潦河大市场新日电动车专卖店,南昌市,安义县,115.549184,28.840025,安义县新时代摩托车销售部,江西省,,
江西省九江市德安县义锋路500号新日专卖店,九江市,共青城市,115.767484,29.298738,德安县新日电动车专卖店,江西省,,
江西修水县站前路11号-1,九江市,修水县,114.576118,29.031908,冷员华,江西省,,
湖口县钟山大道（农牧局对面）,九江市,湖口县,116.251947,29.731101,湖口县传波电动助力车行,江西省,,
江西省武宁县交通东路147-1.2号,九江市,武宁县,115.112634,29.263,武宁县许传明摩托车行,江西省,,
江西省南昌市东湖区青山南路481号,南昌市,东湖区,115.913089,28.698639,新建县东升汇车行,江西省,,
江西省九江市星子县白鹿大道256号,九江市,庐山市,116.045664,29.459586,星子县周霞车行,江西省,,
江西省都昌县万里大道芙蓉小区旁,九江市,都昌县,116.209574,29.277859,都昌县张志宝电动车行,江西省,,
九江市庐山路231号,九江市,浔阳区,115.982869,29.715615,九江云兴商贸有限公司,江西省,,
江西省武宁县建昌东路51号,九江市,武宁县,115.114618,29.255618,武宁县新日专卖店,江西省,,
