address,city,districd,lat,lon,name,province,street,town
河北省唐山市迁西县城关景忠东街36-4号,唐山市,迁西县,118.31264,40.141634,迁西县城关锐轩车行,河北省,,
秦皇岛海港区海阳路与和平大街交叉口,秦皇岛市,海港区,119.59285,39.935668,海港区锦羚电动车商店,河北省,,
唐山市路南区复兴路221号,唐山市,路南区,118.210843,39.620274,唐山市路南昌盛车行,河北省,,
河北省秦皇岛市山海关区新影街38号捷马车行,秦皇岛市,山海关区,119.76268,40.00287,秦皇岛市山海关慧宽鑫晟车行,河北省,,
抚宁县抚宁镇天马大街路南,秦皇岛市,抚宁区,119.244015,39.885114,抚宁县城关飞越电动车行,河北省,,
河北省承德隆化县隆化镇兴洲路新华书店对过,承德市,隆化县,117.728455,41.316395,隆化县富龙摩配销售部,河北省,,
河北省承德县下板城镇,承德市,承德县,118.17341,40.765958,承德县天骑车业销售部,河北省,,
河北省宁丰县地税局南100米路西,石家庄市,元氏县,114.526931,37.766508,丰宁满族自治县寰达商贸有限公司,河北省,,
张家口下花园区汽车站底商,张家口市,下花园区,115.287352,40.502652,下花园区平安摩托车超市,河北省,,
河北省张家口市阳原县西城镇自行车王国,张家口市,阳原县,114.160803,40.11361,周俊花,河北省,,
河北蔚县蔚州镇古楼商城新日电动车,张家口市,蔚县,114.571995,39.84344,蔚县新日电动自行车门市部,河北省,,
河北省张家口赤城县中华商场,张家口市,赤城县,115.831499,40.912921,赤城县赤城镇秀花中华商场,河北省,,
河北省张家口市桥西区新华前街24号,张家口市,桥西区,114.881793,40.822845,张家口百客商贸有限公司,河北省,,
河北省张家口市宣化区百货大楼宣化牌楼东街17号,张家口市,宣化区,115.064614,40.608013,宣化区新日电动车专卖店,河北省,,
河北省张家口市怀来县沙城镇华佳广场,张家口市,怀来县,115.521259,40.40696,怀来县沙城新日电动车商行,河北省,,
河北省尚义县保健站对面(劲龙摩托车专卖店),张家口市,尚义县,113.969619,41.076227,冯龙,河北省,,
河北省承德市兴隆县二道街武装部西部西边海阔车行,承德市,兴隆县,117.500558,40.417358,兴隆县阔日车行,河北省,,
河北省承德市围场县木兰中路中天宾馆对面北京新日专卖店,承德市,围场满族蒙古族自治县,117.759375,41.950837,围场满族蒙古族自治县围场镇宝华新日电动车销售部,河北省,,
承德市双桥区福龙小区彩虹桥附近,承德市,双桥区,117.954736,40.961829,双桥区新虎电动车销售处,河北省,,
承德市平泉县县医院北500米,承德市,平泉市,118.701951,41.018405,平泉县平泉镇明信电动车商店,河北省,,
怀安县左卫镇太平街,张家口市,怀安县,114.71713,40.681142,怀安县头百户镇精王车行,河北省,,
河北省唐山市开平区西城路22号,唐山市,开平区,118.264217,39.680393,唐山市开平区中天车行,河北省,,
河北省唐山唐海县垦丰大街东段老机械厂对面北京新日专卖店,唐山市,曹妃甸区,118.453861,39.272281,曹妃甸区唐海镇鑫日电动自行车经销处,河北省,,
滦南县金辉广场东20米路北,唐山市,滦南县,118.680773,39.503866,滦南县立永车行,河北省,,
河北省唐山南堡开发区希望路商业街6号,唐山市,曹妃甸区,118.210847,39.238118,郭利强,河北省,,
河北省玉田县供销大厦东行10米,唐山市,玉田县,117.754779,39.883171,唐山科迅商贸有限公司,河北省,,
河北省乐亭县南大街路西新日电动车商场,唐山市,乐亭县,118.911752,39.423876,乐亭县城关新日电动车商场,河北省,,
河北省唐山滦县新城建华大街中段胜发摩托车城,唐山市,滦州市,118.683078,39.754701,滦县顺发车业,河北省,,
丰南黄各庄,唐山市,丰南区,118.143946,39.476943,杜子江,河北省,,
唐山市丰润区任各庄镇任各庄村,唐山市,丰润区,118.166586,39.739962,唐山市丰润区建勋车行,河北省,,
唐山市丰润区曹雪芹东大街160号,唐山市,丰润区,118.171843,39.830592,唐山市丰润区鑫鑫五交化经销处,河北省,,
河北秦皇岛卢龙县石门镇,秦皇岛市,昌黎县,118.851149,39.730368,卢龙县路安电动车经销店,河北省,,
迁安市迁安镇雅南电动车商店,唐山市,迁安市,118.692658,40.003272,迁安市迁安镇雅南电动自行车商店,河北省,,
河北省安平县为民西街160号,衡水市,安平县,115.51161,38.234036,安平县良华电动车门市部,河北省,,
河北省故城县建国镇恒发车业,衡水市,故城县,115.873726,37.158622,故城县建国恒发车业,河北省,,
河北省衡水市饶阳县汽车站斜对过新日电动车门市部,衡水市,饶阳县,115.728719,38.235646,饶阳县伟创电动车销售部,河北省,,
河北衡水冀州市宏达摩托城,衡水市,冀州区,115.570376,37.541953,冀州市宏达商贸城,河北省,,
河北省衡水市武邑县,衡水市,武邑县,115.887655,37.801658,武邑县永发车行,河北省,,
河北省衡水市武强县新开街新日专卖店,衡水市,武强县,115.976466,38.038359,武强县新日电动车专卖店,河北省,,
河北衡水和平路百惠楼下新日专卖,衡水市,故城县,115.973305,37.368371,衡水市桃城区日新电动车经销处,河北省,,
河北省衡水市桃城区自强街胜利路马村19号,衡水市,桃城区,115.683247,37.729609,河北衡松电气设备贸易有限公司,河北省,,
河北省深州市永平大街供销社门口,衡水市,深州市,115.544015,38.006923,深州市占九电动车行,河北省,,
河北省张家口市怀安县柴沟堡镇民主街西大寺巷12号,张家口市,怀安县,114.421974,40.672824,怀安县头百户镇精王车行,河北省,,
涿鹿县人民南街中段,张家口市,涿鹿县,115.216308,40.370507,逐鹿县文龙电动车商店,河北省,,
河北省东光县茧城大街289号,沧州市,东光县,116.549576,37.884043,东光县虎山车行,河北省,,
河北省固安县新中街县委大门斜对面（文化广场东侧）,廊坊市,固安县,116.299954,39.439296,固安县固安镇浩通车行,河北省,,
河北廊坊市大成县新华西街司法局楼东侧新日专卖店,廊坊市,固安县,116.300434,39.28689,大城县新华西街新日电动车销售部,河北省,,
河北省肃宁县县公安局对过,沧州市,肃宁县,115.83415,38.441225,肃宁县健虎电动车经销店,河北省,,
河北省沧州任丘市世纪商贸城2区3栋11号,沧州市,任丘市,116.096611,38.689296,任丘市沐佳商贸有限公司,河北省,,
河北省泊头市新华街大名车业,沧州市,泊头市,116.57054,38.067155,泊头市新日电动车门市部,河北省,,
河北省盐山县南大街,沧州市,盐山县,117.230603,38.058088,盐山县乐嘉电动车销售处,河北省,,
献县迎宾路明珠商城,沧州市,献县,116.122802,38.190144,献县新日电动车销售处,河北省,,
河北省保定蠡县蠡州商城桥南路西腾宇电动车商行6207194,保定市,蠡县,115.583855,38.488056,蠡县蠡吾北大街蠡州新日电动车商行,河北省,,
河北省保定易县易兴路飞马东300米路南北京新日专卖,保定市,易县,115.497148,39.34211,易县铭炜电动车门市部,河北省,,
河北省保定阜平县北街新日电动车专卖,保定市,阜平县,114.195396,38.848803,阜平县途安车行,河北省,,
河北省保定市曲阳县恒州商城桥北路东宏达摩托车城,保定市,曲阳县,114.74497,38.622242,曲阳县新日电动车门市,河北省,,
河北省保定市涞水县,保定市,涞水县,115.713905,39.394317,涞水县马强自行车商店,河北省,,
涞源县广昌大街14号,保定市,涞源县,114.689326,39.349831,涞源县路力车行,河北省,,
河北省定州市南关宝塔中学西行100米路北,保定市,定州市,114.990312,38.494631,定州市正良电动自行车经销处,河北省,,
河北省涿州市华阳西路312号双友车行柴女士:13785439067,保定市,涿州市,115.972258,39.482901,涿州市双友车行,河北省,,
河北省保定市徐水永兴中路24号,保定市,徐水区,115.645552,39.019014,保定市徐水区永兴车业电动车经销处,河北省,,
高阳县老下府商业街,保定市,高阳县,115.778965,38.700088,高阳县新日电动车经销处,河北省,,
河北省清苑县迎宾街路南,唐山市,迁西县,118.233083,40.319077,清苑县宏达新日电动车行,河北省,,
河北省安国市药王庙大街,保定市,安国市,115.317896,38.402769,安国市迅达摩托车销售部,河北省,,
河北省望都县中华街所药桥头五星车业,保定市,望都县,115.264438,38.615794,望都县五星自行车超市,河北省,,
河北省定兴县第二市场北门新日专卖,保定市,定兴县,115.791697,39.271303,定兴县富豪电动自行车销售有限公司,河北省,,
河北省定兴县固城镇车站,保定市,定兴县,115.716296,39.138228,定兴县大寇摩托车销售有限公司,河北省,,
河北保定市顺平县顺兴路92号,保定市,顺平县,115.134011,38.854011,顺平县狮龙电动车行,河北省,,
河北省保定市西大街38号新日专卖店,保定市,莲池区,115.488192,38.945189,保定市莲池区永北凯通自行车商行,河北省,,
博野县兴华北街39-3号,保定市,博野县,115.460446,38.459839,博野县远达电动车销售中心,河北省,,
廊坊市广阳区爱民东道军分区对面,廊坊市,广阳区,116.699448,39.527088,廊坊市盛通商贸有限公司,河北省,,
沧州市新华区解放东路112号,沧州市,新华区,116.884909,38.299472,沧州市新华区新米日车行,河北省,,
瀛州镇,沧州市,河间市,116.080495,38.443244,河间市金朋电动车经销处,河北省,,
河北省鸡泽县实验中校西100米路南,邯郸市,鸡泽县,114.878299,36.92035,鸡泽县新日电动车门市,河北省,,
河北省广平县人民路西段中国联通公司对面,邯郸市,广平县,114.945872,36.481994,广平县艳飞电动车经销部,河北省,,
河北省大名县大名府路三里店转盘东街300米路南新日专卖店1072号,邯郸市,大名县,115.123297,36.46848,大名县商业局酒类商品购销连锁配送中心五交化经营部,河北省,,
河北省邯郸市峰峰矿区,邯郸市,丛台区,114.538961,36.625657,邯郸市峰峰新市区新日电动车门市(直营),河北省,,
曲周县振兴路50号,邯郸市,曲周县,114.952752,36.774161,曲周县书国电动车门市,河北省,,
河北省邯郸市涉县牌坊路实验小学对面新日电动车专卖店,邯郸市,涉县,113.669969,36.559562,新日电动车涉县经销店,河北省,,
河北省馆陶县南环路亿丰广场新日电动车专卖店,邯郸市,馆陶县,115.27799,36.535265,馆陶县顺风车业,河北省,,
河北省邯郸市永年县临关火车站南侧,邯郸市,永年区,114.485898,36.777273,邯郸市永年区晶汇电动自行车门市,河北省,,
河北省邯郸魏县健康路老郭摩配(人民医院东门向北100米路东),邯郸市,魏县,114.892441,36.239239,魏县祥飞电动汽车销售中心,河北省,,
河北省邯郸成安邯大路北京新日专卖,邯郸市,成安县,114.630894,36.484569,成安县新日电动车门市,河北省,,
河北省临漳县王禅路东段路北,邯郸市,临漳县,114.462863,36.33505,临漳县王禅路新日电动车门市,河北省,,
磁县浚英电动车门市,邯郸市,磁县,114.37354,36.367619,磁县浚英电动车门市,河北省,,
邯郸市市丛台区邯山街10号，12号,邯郸市,邯山区,114.482158,36.602837,邯郸市丛台龙跃电动车销售有限公司,河北省,,
灵寿县灵寿镇南合村西北街西2排7号,石家庄市,灵寿县,114.366212,38.285413,灵寿县广汇车行,河北省,,
河北省三河燕郊行宫西大街新日专卖,廊坊市,三河市,116.809417,39.948792,三河市双业电动车销售部,河北省,,
河北廊坊市夏垫镇夏垫商业街,廊坊市,大厂回族自治县,116.919883,39.946303,大厂回族自治县夏垫新日电动车行,河北省,,
河北省石家庄市元氏县蟠龙路56-14号,石家庄市,元氏县,114.534596,37.75856,元氏县洪千车行,河北省,,
河北香河县淑阳大街中段南侧,廊坊市,香河县,116.999035,39.759958,香河县兴旺电动车经销部,河北省,,
河北省邯郸市武安市桥西路93号,邯郸市,武安市,114.194248,36.688875,武安市邑城镇赵店村籍书方电动车门市,河北省,,
河北省石家庄市长安区中山东路482-7号,石家庄市,长安区,114.552025,38.043294,石家庄腾达科技有限公司,河北省,,
河北省无极县无极路与正义街交叉口,石家庄市,无极县,114.96905,38.177624,无极县新日电动车经销部,河北省,,
河北省石家庄鹿泉市新日专卖店,石家庄市,鹿泉区,114.313724,38.085958,石家庄虎兴电动车销售有限公司,河北省,,
河北省石家庄晋州市电动一条街新日专卖店,石家庄市,晋州市,115.062771,38.021663,石家庄淮盈商贸有限公司,河北省,,
河北省石家庄市新乐市长寿街道鲜虞街35号,石家庄市,新乐市,114.691351,38.34552,新乐市新日电动车经销处,河北省,,
河北省石家庄市正定县新日专卖店,石家庄市,正定县,114.570941,38.146445,正定县迎亚电动车商行,河北省,,
河北省藁城市综合市场14栋2号,石家庄市,藁城区,114.853182,38.028039,藁城区新日电动自行车销售处,河北省,,
河北省石家庄市赞皇县通府街109号,石家庄市,赞皇县,114.385559,37.662274,赞皇县庆达车行,河北省,,
