address,city,districd,lat,lon,name,province,street,town
"河南省开封尉氏县人民路东段259号""电动车大世界”",开封市,尉氏县,114.207213,34.407401,尉氏县金源商贸有限公司,河南省,,
河南省通许县通棉路中段58号,开封市,通许县,114.467467,34.480433,通许县华阳车行专卖店,河南省,,
河南省开封市东京车业广场东京大市场南区,开封市,顺河回族区,114.378275,34.812,开封市东京车业广场,河南省,,
河南省息县城关镇息夫人大道中段息夫人像南200米,信阳市,息县,114.749771,32.366727,息县惠万家电动车销售有限公司,河南省,,
河南省淮滨县防洪通道南段路西,信阳市,淮滨县,115.419538,32.473258,淮滨县新日电动车门市部,河南省,,
河南省商城县西大畈黎明公司新日专卖店,信阳市,商城县,115.406862,31.798378,商城县黎明商贸有限公司,河南省,,
柘城县湖东路和华景路交汇处69新日专卖店,商丘市,柘城县,115.315196,34.083466,柘城县阳光车业,河南省,,
河南省信阳市光山县新日专卖,信阳市,光山县,114.919033,32.011103,光山县新日电动车销售部,河南省,,
河南省永城市新城电动车大市场,商丘市,永城市,116.435972,33.929142,刘允,河南省,,
河南省固始县绿洲水岸苑,信阳市,固始县,115.680232,32.170146,固始新日电动车销售部,河南省,,
河南省开封县县府西街56号（顺发摩托销售中心）,郑州市,新密市,113.38996,34.540109,开封县城关镇顺发摩托车销售中心,河南省,,
河南省南阳市桐柏县淮源大道中段八一路口东100米,南阳市,桐柏县,113.401075,32.358392,桐柏县城关鑫华电动车行,河南省,,
河南方城裕州南路新日专卖店,南阳市,方城县,113.294688,33.245177,朱聚峰,河南省,,
河南省南阳市新野县人民路中段,南阳市,新野县,112.376714,32.524496,新野县新日旗舰店,河南省,,
河南省南阳市淅川县丹江大道新日电动车专卖,南阳市,淅川县,111.489186,33.130933,淅川县城关新日电动车行,河南省,,
河南省南阳市社旗县综合大市场东区502号13837780107老板娘,南阳市,社旗县,112.943926,33.043222,周爱敏,河南省,,
河南省南阳市南召县黄洋路中段新日专卖店,南阳市,南召县,112.440048,33.486075,新日电动车经营部,河南省,,
河南省南阳市唐河县城关人民路南段国税局对面,南阳市,唐河县,112.835116,32.681546,陈永祥,河南省,,
河南沈丘世衡桥南50米路西新日电动车专卖店,周口市,沈丘县,115.117311,33.228608,沈丘县华伟新日电动车门市部,河南省,,
