address,city,districd,lat,lon,name,province,street,town
浙江省乐清市柳市镇育英北路106号,温州市,乐清市,120.904632,28.053622,乐清市柳市万驰电瓶车商行,浙江省,,
普陀区双山路120号,舟山市,普陀区,122.323867,29.97176,上海计达贸易经营部,浙江省,,
温州市瓯海梧田街道东垟路46弄8号,温州市,瓯海区,120.681517,27.971488,温州市瓯海区梧田国伟摩托车配件店,浙江省,,
浦江县人民西路1号,金华市,浦江县,119.88845,29.452124,浦江宁兴贸易有限公司,浙江省,,
庄市街道,宁波市,镇海区,121.61075994372372,29.92623354129131,宁波阳光新日智能科技有限公司,浙江省,,
江山市区环城西路134号,衢州市,江山市,118.62176,28.733435,江山大润发(直营),浙江省,,
衢州市荷花中路186-2号,衢州市,柯城区,118.875881,28.942334,衢州市柯城尼佳车行-康成大润发,浙江省,,
温州市双屿街道屿头中路8-3号,温州市,鹿城区,120.589952,28.039446,温州市鹿城区双屿雁羽汽车用品店(直营),浙江省,,
浙江省宁波市鄞州区古林镇布政农业银行对面50米(新日电动车）,宁波市,海曙区,121.496587,29.819316,宁波阳光新日智能科技有限公司-康成大润发,浙江省,,
嵊州市石璜镇农民路122号,绍兴市,嵊州市,120.653508,29.538448,张德兴,浙江省,,
温州市龙湾区蒲州街道上江村创新路35路,温州市,龙湾区,120.728645,27.98891,温州高新技术产业开发区刘凯电动车经营部(直营),浙江省,,
东阳市技术学校门口,金华市,东阳市,120.291194,29.26253,东阳市吴宁城东冯楼华明摩托修理部(直营),浙江省,,
浙江省温州市瑞安市飞云街道马道村,温州市,瑞安市,120.617502,27.772701,季善设(直营),浙江省,,
浙江省温州市龙湾区沙城镇沙城街1136-1140号,温州市,龙湾区,120.816951,27.885704,温州市龙湾沙城建新摩托车店,浙江省,,
温州市泰顺县泰庆南路27-29号,温州市,泰顺县,119.710427,27.557082,泰顺县新春电动车经营部,浙江省,,
江山市区环城西路134-136号,衢州市,江山市,118.621058,28.727671,江山市耀光电动车修理店,浙江省,,
浙江温州乐清市宁康东路,温州市,乐清市,120.981031,28.120826,乐清市城东新日电动车配件店,浙江省,,
浙江省丽水市解放街333号,丽水市,莲都区,119.925711,28.447106,丽水新日电动车销售有限公司,浙江省,,
浙江省衢州市荷花中路186号,衢州市,柯城区,118.875881,28.942334,衢州市柯城尼佳车行,浙江省,,
武义县温泉路锦都街8-9号新日电动车,金华市,武义县,119.818784,28.902638,武义县正日贸易有限公司,浙江省,,
浙江省金华市婺城区惠肯路110号（新日6S维修部）,金华市,婺城区,119.651861,29.080631,金华市婺城区七彩电动车行,浙江省,,
浙江省温州市黎民西路148-150号,温州市,鹿城区,120.699366,27.994267,温州市鹿城区洪殿速派奇电动自行车商行,浙江省,,
浙江省长兴县仓前二街138号,湖州市,长兴县,119.912365,31.000575,长兴飞驰电动车行,浙江省,,
浙江省湖州市德清县千秋街410号,湖州市,德清县,119.969841,30.541388,德清县武康镇迅驰电动车商行,浙江省,,
浙江安吉浦源大道363号新日电动车,湖州市,安吉县,119.687529,30.634924,于梅萍,浙江省,,
"浙江省海盐县朝阳西路城市花园2幢20-21号13736835731老板娘\n', '配件接收地址：海盐县三角子路32号新日电动车维修部 郑前伟：86115486",嘉兴市,海盐县,120.937944,30.51555,海盐县武原镇新坤电动车城,浙江省,,
浙江省嘉兴市禾兴南路252号,嘉兴市,南湖区,120.74923,30.755635,嘉兴市名洋汽车销售服务有限公司,浙江省,,
浙江省建德市新安江新安东路86号,杭州市,建德市,119.286743,29.47763,建德市新安江街道新柳电动车商行,浙江省,,
浙江省桐乡市文昌路10-12号新日阳光服务88170092,嘉兴市,桐乡市,120.555864,30.636879,桐乡市梧桐光阳电动车店,浙江省,,
普陀区金沙江路2731号,舟山市,普陀区,122.323867,29.97176,上海承必达贸易有限公司,浙江省,,
湖州市环城南路47号,湖州市,吴兴区,120.10773,30.855534,湖州华夏车业有限公司,浙江省,,
桐庐县春江路1341号,杭州市,桐庐县,119.675814,29.784437,桐庐启辉五交化商店,浙江省,,
萧山商业城商乐街161号,杭州市,萧山区,120.29132,30.16773,杭州鸿晶电动车有限公司,浙江省,,
海宁市海昌路228号,嘉兴市,海宁市,120.687961,30.522052,海宁市日新贸易有限公司,浙江省,,
淳安龙门路126号,杭州市,淳安县,119.054876,29.611161,徐美萍(直营),浙江省,,
滨江区西兴街道协同17-08号第6幢北起1-4间,杭州市,滨江区,120.231516,30.208549,杭州市滨江区郎卡电动车经营部(直营),浙江省,,
杭州市下城区石桥路245号,杭州市,下城区,120.19327,30.320122,杭州佳铎机电设备有限公司,浙江省,,
嘉兴市新丰镇万丰路57,嘉兴市,南湖区,120.92839,30.70954,嘉兴市南湖区新丰新马电瓶车经营部(直营),浙江省,,
三墩镇三墩路29号,杭州市,拱墅区,120.104309,30.326815,杭州路顺电动车有限公司(直营),浙江省,,
杭州市滨江区网商路699号1幢6楼,杭州市,滨江区,120.191092,30.189655,浙江一达通企业服务有限公司,浙江省,,
浙江省淳安县千岛湖镇新安北路23幢,杭州市,淳安县,119.042877,29.609019,淳安县万吉电动车商行(直营),浙江省,,
富阳市新登镇登云路,杭州市,富阳区,119.734497,29.967386,富阳市新城摩托车商行,浙江省,,
杭州江干区九堡镇蚕桑3区127号,杭州市,江干区,120.265531,30.312855,杭州展博电动车有限公司(直营),浙江省,,
杭州萧山区瓜沥镇人民路32号,杭州市,萧山区,120.455029,30.179813,杭州萧山如意摩托车商行(直营),浙江省,,
浙江德清县雷甸镇新大街137号,湖州市,德清县,120.143206,30.518533,德清建强摩托车有限公司,浙江省,,
浙江省平湖市当湖街道当湖东路83-85号,嘉兴市,平湖市,121.013307,30.686311,平湖市当湖街道云明车行,浙江省,,
浙江省杭州市富阳区孙权路179-6号新日电动车旗舰店,杭州市,富阳区,119.94152,30.053621,富阳名苑车业有限公司(直营),浙江省,,
浙江省临安江桥路258号阳光自行车销售有限公司,杭州市,临安区,119.723062,30.229272,临安阳光自行车销售有限公司(直营),浙江省,,
浙江省萧山区城厢市心中路25、27、29号杭州萧山城厢捷利五交化商店,杭州市,萧山区,120.266787,30.179185,杭州萧山城厢捷利五交化商店(直营),浙江省,,
浙江省桐庐县富春路42-46号,杭州市,桐庐县,119.674604,29.805875,桐庐县桐君街道泽平新日电动车商行(直营),浙江省,,
浙江省杭州市余杭区临平镇丘山大街47号,杭州市,余杭区,120.296958,30.417749,杭州余杭区临平街道极速电动车行(直营),浙江省,,
浙江省嘉善县解放西路316号“北京新日电动车”13819355150,嘉兴市,嘉善县,120.916208,30.844866,嘉善县魏塘镇天星电动车车行(直营),浙江省,,
浙江省嘉兴市乍浦港区雅山中路525-527号,嘉兴市,平湖市,121.086651,30.60256,雅山电动车总汇(直营),浙江省,,
浙江省丽水市松阳县新华路紫荆花苑久久电动车商行,丽水市,松阳县,119.483833,28.453383,浙江省丽水市松阳县（叶水清）(直营),浙江省,,
浙江省遂昌县北街262-1号“北京新日电动车”,丽水市,遂昌县,119.270797,28.596242,隧昌达力电动自行车行(直营),浙江省,,
浙江省余姚市阳明西路120号—6号,宁波市,余姚市,121.149031,30.050091,余姚市新日电动车专卖店(直营),浙江省,,
浙江省余姚市泗门镇万圣市场往西100米“志华车行”,宁波市,余姚市,121.032107,30.205605,浙江省余姚市泗门镇志华摩托修理店(直营),浙江省,,
浙江省宁海县人民路234号13989391399老板娘 屠勤国：13065699800,宁波市,海曙区,121.562133,29.882297,宁海勤国电动车经营部(直营),浙江省,,
浙江省慈溪市周巷镇兴业北路59号（邮政局斜对面）,宁波市,慈溪市,121.133322,30.173251,慈溪市周巷镇利明电动车店,浙江省,,
浙江省宁波奉化市南山路23号,宁波市,奉化区,121.411448,29.654126,奉化市勇杰摩托车有限公司,浙江省,,
浙江省慈溪市浒山街道慈溪车城6-36号,宁波市,慈溪市,121.246997,30.160634,慈溪市浒山群恩电动车店,浙江省,,
浙江省慈溪市掌起镇中路235号,宁波市,慈溪市,121.454698,30.11791,慈溪市掌起镇一路发电动自行车商行,浙江省,,
浙江省慈溪市龙山镇山北蓬莱中街851号,宁波市,慈溪市,121.497266,30.096109,慈溪市龙山镇新日专卖店(直营),浙江省,,
浙江省嵊州市宫河路157号,绍兴市,嵊州市,120.831025,29.56141,浙江嵊州昌洋电动自行车商店(直营),浙江省,,
"浙江省诸暨市艮塔路63号(收货地址)\n', '浙江省诸暨市艮塔路169号（配件地址）",绍兴市,诸暨市,120.233898,29.723159,诸暨市城北东飞电动车商店(直营),浙江省,,
