address,city,districd,lat,lon,name,province,street,town
湖北省襄樊市人民路5710厂东边,襄阳市,樊城区,112.139052,32.040037,襄阳市百信电动车销售部,湖北省,,
湖北省荆门市京山县轻机大道摩托车大市场荆门下县,荆门市,京山市,113.125329,31.023893,京山县新市镇万事达车行,湖北省,,
湖北省钟祥市郢中镇工人文化宫门面,荆门市,钟祥市,112.590435,31.162247,钟祥市鄂中电动车大世界,湖北省,,
湖北省十堰市竹山县龙腾车行,十堰市,竹山县,110.228694,32.224875,竹山县龙腾车行,湖北省,,
谷城县石花镇农行对面,襄阳市,谷城县,111.468845,32.276494,杜光琴,湖北省,,
谷城泰山路新日电动车专卖店,襄阳市,谷城县,111.643667,32.257096,谷城县新日电动车店,湖北省,,
老河口汉江大道汽车站西50米,襄阳市,老河口市,111.679815,32.37912,罗学功,湖北省,,
南漳水镜大道295号花石桥小区门面,襄阳市,南漳县,111.854531,31.775837,余明,湖北省,,
宜城光彩市场电动车摩托车市场A09-18,襄阳市,宜城市,112.264429,31.696179,宜城市王朝电动车行,湖北省,,
湖北省枝江市迎宾大道东段汽摩城,宜昌市,枝江市,111.774173,30.428108,枝江市方新星车行,湖北省,,
恩施市，六角亭，恩芭路8号,恩施土家族苗族自治州,恩施市,109.472742,30.251376,黄显国,湖北省,,
松滋市新江口镇环城路50号,荆州市,松滋市,111.776913,30.170396,荆州高程商贸有限公司,湖北省,,
湖北省宜都市碧水街50号,宜昌市,宜都市,111.443195,30.380857,宜都市星月神电动车行,湖北省,,
枣阳市万象城对面,襄阳市,枣阳市,112.760476,32.121221,万顺强,湖北省,,
郧西县彩虹城（液化气站斜对面）新日电动车专卖店,十堰市,郧西县,110.429101,32.979345,王忠贵,湖北省,,
丹江口市生产北路,十堰市,丹江口市,111.508028,32.54116,丹江口市诚信电动车行,湖北省,,
湖北省襄阳市谷城县东旺路,襄阳市,谷城县,111.66584,32.265824,谷城恒基房地产开发有限公司,湖北省,,
