address,city,districd,lat,lon,name,province,street,town
湖南省耒阳市神农路新日专卖店,衡阳市,耒阳市,112.848874,26.426027,耒阳市新日电动车行,湖南省,,
湖南省永州市冷水滩区凤凰园凤凰路新日电动车,永州市,冷水滩区,111.598628,26.45751,永州市冷水滩红文车行,湖南省,,
湖南省祁阳县浯溪镇浯溪中路299号,永州市,祁阳县,111.853703,26.58631,祁阳县新日电动车行,湖南省,,
湖南省娄底市双峰县小商品服装城天和电动车超市,娄底市,双峰县,112.189025,27.451566,双峰县新日电动车店,湖南省,,
湖南涟源市人民东路幸福路口,娄底市,涟源市,111.679466,27.69474,涟源市新日摩托车电动车店,湖南省,,
湖南省武冈市陶侃路看守所右侧,邵阳市,武冈市,110.631552,26.735728,武冈市晓群电动车店,湖南省,,
湖南省邵阳隆回县桃洪镇桃洪西路,邵阳市,隆回县,111.01883,27.112891,陈苏华,湖南省,,
郴州市桂阳县机电大市场,郴州市,桂阳县,112.734176,25.754167,罗兵,湖南省,,
湖南省邵阳市新宁县大兴路移动公司旁,邵阳市,新宁县,110.870209,26.443596,新宁县新日电动车专卖店,湖南省,,
湖南省郴州市临武县东云路,郴州市,临武县,112.568782,25.280704,临武县新日电动车专卖店,湖南省,,
湖南省宁远县水市路向群车业,永州市,宁远县,111.943668,25.579505,宁远县向群日威车业,湖南省,,
道县道江镇潇水中路渡口巷15号,永州市,道县,111.592872,25.513029,道县腾龙实力有限责任公司,湖南省,,
湖南省常宁市泉峰西路65号,衡阳市,常宁市,112.398899,26.40165,朱旺贤,湖南省,,
湖南津市临津桥摩托大市场新日专卖店,常德市,津市市,111.877499,29.60548,津市市兴达车行,湖南省,,
澧县澧阳路摩托车市场,常德市,澧县,111.756139,29.648026,澧县华盛贸易有限公司,湖南省,,
湖南桃江县芙蓉路,益阳市,桃江县,112.143709,28.515872,桃江县超荣电动车店,湖南省,,
湖南怀化市正清路220-222号,怀化市,鹤城区,109.983932,27.542701,鹤城区昌远电动车行,湖南省,,
临澧县安福镇安福路汽配城摩托车市场,常德市,临澧县,111.646256,29.446755,临澧县育才摩托车有限公司,湖南省,,
凤凰土桥路工程公司对面,湘西土家族苗族自治州,凤凰县,109.592328,27.941879,凤凰县龙宇摩托车行,湖南省,,
花垣县步行街126号,湘西土家族苗族自治州,花垣县,109.4665,28.583125,吴大兵,湖南省,,
湖南省邵阳市洞口县慧创汽贸城105-107号,邵阳市,洞口县,110.592547,27.042761,洞口县顺通车业,湖南省,,
湖南省郴州市北湖区燕泉北路二建综合楼1栋108-111号新日电动车,郴州市,北湖区,113.026682,25.788171,郴州市北湖区千里达电动自行车行,湖南省,,
湖南省衡阳市祁东县祁丰路43号,衡阳市,祁东县,112.103482,26.786196,祁东县腾龙电动,湖南省,,
衡东县文冲东路金领100广场,衡阳市,衡东县,112.951123,27.093383,衡东县新日电动车经营部,湖南省,,
湖南省衡阳市衡阳县蒸阳路交通局107号,衡阳市,衡阳县,112.368459,26.966418,衡阳县新日专卖店,湖南省,,
湖南省娄底市娄星区娄星南路新日电动车专卖店,娄底市,娄星区,111.999926,27.733385,娄底市娄星区小吴电动车行,湖南省,,
湖南省邵阳市大祥区西湖路新日电动车专卖店,邵阳市,大祥区,111.447697,27.201177,邵阳市风顺电动自行车经营部,湖南省,,
湖南省邵阳市双清区建设路综合楼4号门面,邵阳市,大祥区,111.485565,27.233232,邵阳市新日电动车专卖店,湖南省,,
湖南省南县南洲镇兴盛大道,益阳市,南县,112.387875,29.36075,南县南洲薄利电动车行,湖南省,,
湖南省张家界崇文路295号,张家界市,永定区,110.498443,29.115259,张家界市永定区群通电动车城,湖南省,,
湖南省怀化溆浦县卢峰镇民主街,怀化市,溆浦县,110.590509,27.910607,溆浦新日车行,湖南省,,
湖南省怀化市麻阳县建设南路,怀化市,麻阳苗族自治县,109.798572,27.86392,麻阳新日电动车行,湖南省,,
湖南省安乡县新日电动车专卖店,常德市,安乡县,112.171131,29.411309,安乡县新日电动车车行,湖南省,,
石门县澧阳中路新日专卖,常德市,石门县,111.386418,29.591624,向延军,湖南省,,
湖南省常德市桥南大湖路汽车总站出口正对面新日电动车专卖店,常德市,鼎城区,111.686,29.0003,严大双,湖南省,,
湖南省益阳市安化县沿江路建筑公司1楼门面,益阳市,安化县,111.23368,28.381327,安化县应辉摩配部,湖南省,,
湖南省长沙市芙蓉中路A段308号长沙电动车大市场,长沙市,开福区,112.986412,28.213583,长沙市开福区飞马电动自行车超市,湖南省,,
湖南省岳阳市华容县港东路,岳阳市,华容县,112.55945,29.520393,华容县新日电动车专卖店,湖南省,,
湖南省岳阳市花板桥摩托车市场振兴摩托车销售有限公司,岳阳市,岳阳楼区,113.13929,29.361061,岳阳市岳阳楼区佛斯弟车行,湖南省,,
湖南岳阳市云溪区岳化总厂金盆路103号,岳阳市,云溪区,113.300038,29.4656,李朝辉,湖南省,,
湖南省临湘县长安中路,长沙市,天心区,112.98381,28.112444,临湘市国兴电动车店,湖南省,,
湖南省湘阴县兴湘大市场23栋铃木摩托车,岳阳市,湘阴县,112.914541,28.680104,蒋艳辉,湖南省,,
湖南省长沙市宁乡县楚沩中路208号新日电动车专卖店,长沙市,宁乡市,112.546429,28.251414,宁乡县玉潭镇特哥电动车行,湖南省,,
天元区天台路266号,株洲市,天元区,113.128444,27.824521,中国邮政集团公司株洲市分公司(直营),湖南省,,
长沙市望城区高塘岭街道高塘岭大道6号,长沙市,望城区,112.823535,28.342717,长沙超霆交通设备有限公司,湖南省,,
湘潭县易俗河镇玉兰中路297号,湘潭市,湘潭县,112.946186,27.775341,湘潭县易俗河镇新兴电动车行,湖南省,,
湖南省株洲市建设中路175号文化园对面,株洲市,天元区,113.13603,27.850688,株洲市芦淞区发发富通车行,湖南省,,
102团6小区八一路4-1-005,郴州市,北湖区,113.034981,25.791382,五家渠梧桐晨宇电动车行(直营),湖南省,,
湖南省炎陵县,株洲市,炎陵县,113.772655,26.489902,湖南炎陵新日电动车专卖店(直营),湖南省,,
平江摩托车大市场,岳阳市,平江县,113.581234,28.701868,平江新日电动车专卖店(直营),湖南省,,
湖南省湘潭市韶山西路,湘潭市,雨湖区,112.891461,27.859718,湖南湘潭新日电动车专卖店(直营),湖南省,,
湖南湘潭市韶山西路南盘岭新日专卖店,湘潭市,雨湖区,112.89014,27.866645,湖南湘潭新日专卖店(直营),湖南省,,
湖南省株洲市芦淞芦曼哈顿花园边157号,株洲市,芦淞区,113.165703,27.817944,株洲市新日电动车专卖店(直营),湖南省,,
岳阳县天鹅北路卫农粮库对面,岳阳市,岳阳县,113.112643,29.153924,岳阳县新日电动车专卖店(直营),湖南省,,
湖南长沙马王堆路市场B2栋5-8号,长沙市,雨花区,113.025221,28.161794,长沙马王堆新日专卖(直营),湖南省,,
湖南长沙雨花区高桥大市场,长沙市,雨花区,113.024546,28.172402,长沙雨花区高桥大市场新日专卖(直营),湖南省,,
湖南省长沙市浏阳市北盛镇,长沙市,浏阳市,113.411581,28.258475,浏阳北盛新日专卖店(直营),湖南省,,
长沙市家润多四家连锁超市,长沙市,望城区,112.845717,28.200855,湖南长沙家润多卖场新日专卖(直营),湖南省,,
