address,city,districd,lat,lon,name,province,street,town
福建省三明市宁化县南大街新日车行,三明市,宁化县,116.658904,26.254878,宁化县旭日车行,福建省,,
福建省龙岩市西安南路东亚商城,龙岩市,新罗区,117.02713,25.088949,龙岩市煜阳摩托车有限公司,福建省,,
福建省永安县燕江南路1055-1059号,福州市,鼓楼区,119.295144,26.100779,永安市新兴车行,福建省,,
福建省三明市将乐县滨河南路32号,三明市,将乐县,117.478432,26.726532,将乐县新新电动车行,福建省,,
三明市明溪县雪峰镇河滨南路218号1层,三明市,明溪县,117.202873,26.360006,明溪县恒发电动车销售店,福建省,,
福建省泰宁县金湖西路114号,三明市,泰宁县,117.173628,26.889865,泰宁县城关万鑫车行,福建省,,
福建省龙岩市漳平市东湖路大景城518号,龙岩市,漳平市,117.433083,25.30081,漳平市阿生摩托车行,福建省,,
福建省漳州市漳浦县绥安镇东门兜东苑花园3幢106号,漳州市,漳浦县,117.61937,24.11073,漳浦县绥安镇建泰电动车行,福建省,,
长泰县人民西路检察院对面新日电动车店,漳州市,长泰县,117.749283,24.620154,长泰县秉丽电动车店,福建省,,
福建省漳州市云霄县莆美镇宝城路64-66号,漳州市,云霄县,117.333776,23.950345,云霄县伟奇电动车行,福建省,,
平和县北环路113号新日专卖店,漳州市,平和县,117.316772,24.369853,平和县万鑫车行,福建省,,
福建省尤溪县七五路85幢5号店,三明市,尤溪县,118.179515,26.16717,尤溪县鑫盛电动车行,福建省,,
福建省龙岩市上杭县北环路509号家家惠电动车行,龙岩市,上杭县,116.414328,25.05339,上杭县家家惠电动车行,福建省,,
福建省南安市溪美街331-333号,泉州市,南安市,118.382929,24.963929,南安市溪美河滨路国泉电动车店,福建省,,
福建惠安县建设北路霞张花园（公交公司大门正对面）,泉州市,惠安县,118.803921,25.033289,惠安县杰清电动车店,福建省,,
光泽县武林路132路,南平市,光泽县,117.335408,27.545677,光泽县新万佳车行,福建省,,
厦门市富帆贸易有限公司,厦门市,集美区,118.033327,24.564816,厦门市富帆贸易有限公司,福建省,,
建瓯市芝城锦江A区1#楼A-14,南平市,建瓯市,118.319837,27.032316,建瓯市碧霞电动自行车经营部,福建省,,
南安市省新镇阿固车行,泉州市,南安市,118.384724,25.023113,南安市省新阿固摩托车行,福建省,,
厦门市湖里区仙岳路1421号,厦门市,思明区,118.131217,24.500214,厦门市湖里区比亚文电动自行车经营部,福建省,,
福建省厦门市集美区侨英街道叶厝里2号新日专卖店,厦门市,集美区,118.109999,24.596996,厦门市集美区艾尔玛摩托车店,福建省,,
福建省莆田市秀屿区笏石镇农业银行对面华健摩托车商城,莆田市,秀屿区,119.090712,25.315243,莆田市秀屿区笏石兴日摩托车行,福建省,,
厦门市同安区祥平街道环城西路1224号,厦门市,同安区,118.140056,24.72707,厦门市同安区铛铛响摩托车店,福建省,,
厦门市翔安区新店镇新兴路新大洲本田专卖店兴进车行,厦门市,翔安区,118.246191,24.612209,厦门翔盛进贸易有限公司,福建省,,
