address,city,districd,lat,lon,name,province,street,town
贵州省贵阳市观山湖区金华镇翁贡村8组柏花坡,贵阳市,观山湖区,106.563351,26.619112,贵阳兴明摩托车销售有限公司,贵州省,,
毕节市天河路99号,毕节市,七星关区,105.28906,27.311066,七星关区兄弟电动摩托车行,贵州省,,
贵州省安顺市平坝区大东方东门桥屯堡小区新日电动车,安顺市,平坝区,106.267512,26.411181,安顺市平坝区新日电动车门市,贵州省,,
安顺市西秀区塔山西路76号,安顺市,西秀区,105.926826,26.240604,安顺中顺伟业商贸有限公司,贵州省,,
贵州省福泉市城厢镇,黔南布依族苗族自治州,福泉市,107.510362,26.702993,周家祥,贵州省,,
铜仁市玉屏县大龙经济开发区大屯场新街,铜仁市,玉屏侗族自治县,109.02113,27.285926,黄秀琴,贵州省,,
凯里市富源天地1-22号,黔东南苗族侗族自治州,凯里市,107.954699,26.565837,凯里市明军摩托车行,贵州省,,
余庆县白泥镇乌江北路（三角花园）,遵义市,余庆县,107.890308,27.225195,余庆县泽富摩托车行(直营),贵州省,,
贵州省遵义市赤水市人民南路（消防队旁边）,遵义市,赤水市,105.703526,28.581075,赤水市新日电动车,贵州省,,
罗甸县龙坪镇罗斛大道,黔南布依族苗族自治州,罗甸县,106.757642,25.42709,白洪念,贵州省,,
铜仁市碧江区新路口,铜仁市,碧江区,109.183079,27.710139,铜仁市碧江区宏达车行,贵州省,,
汇川区董公寺和平村二小区,遵义市,汇川区,106.923962,27.762217,汇川区江明车行,贵州省,,
贵州省黔东南苗族侗族自治州三穗县八弓镇灵山大道102号,黔东南苗族侗族自治州,三穗县,108.684292,26.963829,三穗县新日电动车店,贵州省,,
贵州省印江县梵净山大道东郊商贸城,铜仁市,印江土家族苗族自治县,108.41542,27.99353,印江土家族苗族自治县李达车行,贵州省,,
贵州省兴义市文化路电动车市场（荣御天下后面）,黔西南布依族苗族自治州,兴义市,104.90172,25.073936,兴义市新目标电动车销售中心,贵州省,,
扶余县三岔河太祖路,黔南布依族苗族自治州,惠水县,106.665474,26.136036,扶余县三岔河大帅汽车用品装潢商店(直营),贵州省,,
贵州省六盘水市盘县红果胜境大道政府门面,六盘水市,盘州市,104.469972,25.702444,贵州盘县新日电动车(直营),贵州省,,
贵州省凯里市天柱县电力公司,黔东南苗族侗族自治州,凯里市,107.981212,26.566867,贵州省凯里市天柱(张楷锭)(直营),贵州省,,
贵州省遵义市桐梓县娄山关镇河滨南路小康城对面公路段招待所旁,遵义市,桐梓县,106.828697,28.129156,贵州省遵义市桐梓县昌顺摩托车行,贵州省,,
贵州安顺市平坝县城关镇大东方紫金园78号,安顺市,平坝区,106.261473,26.407569,贵州省平坝新日电动车专卖店(直营),贵州省,,
贵州省惠水县涟江南路新日电动车专卖店,黔南布依族苗族自治州,惠水县,106.656971,26.126021,贵州省惠水县新日电动车专卖店(直营),贵州省,,
沙冲社区服务中心,贵阳市,南明区,106.7065653204918,26.553596549356584,贵阳市大理石路,贵州省,,
环城路,黔东南苗族侗族自治州,三穗县,108.684814,26.964141,三穗县新日电动车,贵州省,,
华西街道,安顺市,西秀区,105.92764243483543,26.239983485674294,安顺市西秀新日电动车,贵州省,,
鼓楼街道,安顺市,平坝区,106.26755744218828,26.41077942318019,安顺平坝区新日电动车,贵州省,,
贵州省都匀市西苑红桥16号,黔南布依族苗族自治州,都匀市,107.518847,26.259427,都匀市王派电动车经营部,贵州省,,
贵州省黔南州平塘县三颗树电子商贸物流城,黔南布依族苗族自治州,平塘县,107.334847,25.827668,平塘县时兴春摩托车店,贵州省,,
兴泰街道,黔西南布依族苗族自治州,兴义市,104.89858612418176,25.07914795806793,兴义新日电动车,贵州省,,
文华街道,遵义市,赤水市,105.70131495594977,28.576458107035748,赤水市新日电动车,贵州省,,
洒金北路与福源大道交叉口北100米,黔南布依族苗族自治州,福泉市,107.518394,26.693305,福泉市新日电动车,贵州省,,
斗篷山路与河滨路交叉口东南150米,黔南布依族苗族自治州,都匀市,107.514366,26.268238,都匀王派电动车行,贵州省,,
平湖镇,黔南布依族苗族自治州,平塘县,107.33501762151718,25.828257389000285,平塘县新日电动车,贵州省,,
城西街道,黔东南苗族侗族自治州,凯里市,107.95450061559679,26.565994160554578,凯里新日电动车,贵州省,,
沙冲社区服务中心,贵阳市,南明区,106.70405343174937,26.55029389226957,贵阳沙冲路店,贵州省,,
河西街道,铜仁市,碧江区,109.17891696095468,27.715256919000627,铜仁新日电动车,贵州省,,
大连路街道,遵义市,汇川区,106.94233819842339,27.714365298612677,遵义大连路店,贵州省,,
峨岭街道,铜仁市,印江土家族苗族自治县,108.41558843851091,27.99408760116348,印江新日电动车,贵州省,,
大连路街道,遵义市,汇川区,106.94194525480272,27.714349864374004,遵义市新日电动车,贵州省,,
沙南社区服务中心,贵阳市,南明区,106.70536905527115,26.546782390442004,贵阳市区售后服务,贵州省,,
贵州省湄潭县塔平路冯家院子,遵义市,湄潭县,107.484749,27.759614,湄潭县邓雪摩托车经营部,贵州省,,
贵州省遵义市桐梓县娄山关镇河滨北路劳动局对面,遵义市,桐梓县,106.830562,28.134513,桐梓县范平小刀电动车店,贵州省,,
沙冲社区服务中心,贵阳市,南明区,106.70358806848527,26.550559020088052,贵阳市沙冲中路新日电动车,贵州省,,
贵州省毕节市威宁县建设东路,毕节市,威宁彝族回族苗族自治县,104.301669,26.861104,威宁县鸿程车业,贵州省,,
贵州省铜仁市石阡县佛顶山大道北段476号,铜仁市,石阡县,108.217604,27.503464,石阡县新日电动车经营部,贵州省,,
贵州省福泉市洒金北路84号,黔南布依族苗族自治州,福泉市,107.512747,26.704806,福泉市任小康电动车行,贵州省,,
贵州省铜仁市沿河县和平街道民族风情街B1-25-27号门面,铜仁市,沿河土家族自治县,108.495777,28.563855,沿河县和平街道金城铃木摩托车销售点,贵州省,,
贵州省德江县青龙镇香树路8组6号,铜仁市,德江县,108.114593,28.254696,德江县新日电动车行,贵州省,,
城关镇,安顺市,镇宁布依族苗族自治县,105.76427042484282,26.04729113809692,新日电动车,贵州省,,
碧海社区服务中心,贵阳市,观山湖区,106.62480220198631,26.631539435268362,贵阳八匹马,贵州省,,
北京西路471号,贵阳市,云岩区,106.636314,26.597189,世纪城,贵州省,,
友谊路258号,贵阳市,云岩区,106.717712,26.592018,象宝山,贵州省,,
三桥社区服务中心,贵阳市,云岩区,106.67518615722659,26.579499852298586,二桥新日电动车,贵州省,,
峨岭镇东兴路,铜仁市,印江土家族苗族自治县,108.412626,27.991974,印江县新日电动车,贵州省,,
克度镇,黔南布依族苗族自治州,平塘县,106.85314133763315,25.719818085898332,克度镇新日电动车,贵州省,,
青龙街道,铜仁市,德江县,108.11486050486563,28.255060575638012,德江新日电动车,贵州省,,
贵州省镇远县舞阳镇盘龙街道,黔东南苗族侗族自治州,镇远县,108.41623,27.046498,镇远县登军王派电动车销售店,贵州省,,
贵州省黎平县德凤镇开泰社区麒麟家园E栋13.14号门面,黔东南苗族侗族自治州,黎平县,109.141772,26.235046,黎平县新日电动车零售店,贵州省,,
贵州省关岭县关索镇环城路,安顺市,关岭布依族苗族自治县,105.615029,25.939457,关岭杰思迪摩托车销售服务有限公司,贵州省,,
贵州省凯里市迎宾大道富源天地1-60号,黔东南苗族侗族自治州,凯里市,107.954481,26.565835,凯里市徐氏车行,贵州省,,
贵州省惠水县涟江街道涟江南路85号,黔南布依族苗族自治州,惠水县,106.65776,26.1262,贵州省惠水县宇鑫机动车销售有限公司,贵州省,,
贵州省荔波县玉屏街道樟江北路89号,黔南布依族苗族自治州,荔波县,107.88075,25.412397,荔波县玉屏鑫日电车行,贵州省,,
贵州省榕江县古州镇西环北路23号1楼门面,黔东南苗族侗族自治州,榕江县,108.519361,25.932177,榕江县新日电动车专营店,贵州省,,
贵州省松桃县龙塘湾路口,铜仁市,松桃苗族自治县,109.195499,28.160668,松桃立马电动车经销店,贵州省,,
贵州省思南县思唐镇城西村枫香堡,铜仁市,思南县,108.25181,27.943043,思南县鸿运车行,贵州省,,
天柱县中山路6栋9号,黔东南苗族侗族自治州,天柱县,109.21025,26.911922,天柱县广源车行,贵州省,,
贵州省三都县小河边508-12,黔南布依族苗族自治州,三都水族自治县,107.869749,25.983202,三都水族自治县方泰电动车卢氏车行,贵州省,,
贵阳市南明区花果园家电广场,贵阳市,南明区,106.689516,26.560911,贵阳斐梵科技有限公司,贵州省,,
贵州省黔西南州望谟县王母街道办事处环城路176号,黔西南布依族苗族自治州,望谟县,106.08861,25.16974,望谟县开跃电动车行,贵州省,,
东关街道,安顺市,西秀区,105.95563530921937,26.252543527925145,安顺市西秀区东关新日电动车,贵州省,,
夏云镇,安顺市,平坝区,106.29687666893005,26.45655984360745,夏云新日电动车,贵州省,,
新岭社区服务中心云岭小区,贵阳市,清镇市,106.461454,26.545638,清镇新日电动车,贵州省,,
石硐镇,贵阳市,息烽县,106.53607606887819,27.030430157751816,息烽新日,贵州省,,
鲁屯镇,黔西南布依族苗族自治州,兴义市,105.13375014066699,25.16080841361395,贵州兴义鲁屯,贵州省,,
