address,city,districd,lat,lon,name,province,street,town
岫岩满族自治县岫岩镇中心街,鞍山市,岫岩满族自治县,123.286887,40.279722,岫岩满族自治县岫岩镇新日电动车行,辽宁省,,
辽阳市文胜区罗大台,辽阳市,文圣区,123.236944,41.267244,辽阳市文圣区红岩摩托车经销部,辽宁省,,
罗店市一路238号,大连市,瓦房店市,121.979958,39.812531,宝山区罗店镇阿范摩托车修理部,辽宁省,,
大连经济技术开发区黄海西路195-32号,大连市,金州区,121.78663,39.045207,大连顺佳自行车销售有限公司,辽宁省,,
辽宁省凌海市凌海大街花园酒店对面,锦州市,凌海市,121.363703,41.178224,凌海市洪升商贸有限公司,辽宁省,,
大连市开发区金石滩镇王子假日,大连市,金州区,122.013604,39.087823,大连经济技术开发区嘉鑫摩托车行,辽宁省,,
辽宁省建昌县红旗街三段5号,葫芦岛市,建昌县,119.800852,40.815364,建昌县鹏宇摩托车销售有限责任公司,辽宁省,,
沈阳市沈河区南顺城路52号,沈阳市,沈河区,123.455846,41.793206,沈阳市沈河区奥迈电动车商行,辽宁省,,
辽宁省丹东市元宝区富贵电动车行（新日电动车）,丹东市,振兴区,124.395757,40.13652,丹东市元宝区富贵电动车行,辽宁省,,
辽宁省营口经济技术开发区鲅鱼圈道口4公里,营口市,鲅鱼圈区,122.13715,40.273376,营口经济技术开发区洪都电动车行,辽宁省,,
辽宁省大连市甘井子区大连湾街道,大连市,甘井子区,121.712907,39.025338,甘井子区大连湾街道新正电动车商店,辽宁省,,
辽宁省朝阳市双塔区朝阳大街一段83-5号,朝阳市,双塔区,120.46148,41.589239,双塔区实雨车行,辽宁省,,
辽宁省开原市汽配城如意摩配,铁岭市,开原市,124.053984,42.536826,开原市汽配城如意摩托配件中心商店,辽宁省,,
辽宁省沈阳市康平县中心路,沈阳市,康平县,123.348264,42.740268,康平县康平镇新日电动车经销店,辽宁省,,
大连市甘井子区革镇堡镇中革村276号,大连市,甘井子区,121.533956,39.007823,大连市甘井子区革镇堡镇大文摩托车经销部(直营),辽宁省,,
辽宁省抚顺市新抚区千金路九道街,抚顺市,新抚区,123.875258,41.858221,抚顺市新抚区徐懿星自行车店,辽宁省,,
辽宁大连普兰店市中心路一段29-1号,大连市,普兰店区,121.971954,39.408264,普兰店市盛踏车行,辽宁省,,
辽宁省庄河市新华街道站前委,大连市,庄河市,122.963781,39.699887,庄河市任林电动车商店,辽宁省,,
辽宁省鞍山市台安县转盘北50米路东,鞍山市,台安县,122.436196,41.412768,台安县新日电动车经销处,辽宁省,,
辽宁省铁岭市昌图县火车站南邻新日专卖店,铁岭市,昌图县,124.117582,42.77869,昌图县姚东车行,辽宁省,,
辽宁省建平县中心市场东邻新日专卖店,朝阳市,建平县,119.64328,41.403128,建平县叶柏寿博通自行车经销处,辽宁省,,
辽宁兴城古城西街新日专卖店,葫芦岛市,兴城市,120.710308,40.622136,兴城市古城西街新日电动车商店,辽宁省,,
辽宁省义县建设街114号,锦州市,义县,121.231104,41.535863,义县万里行摩托车有限公司,辽宁省,,
辽宁省盖州市红旗大街中段新日专卖店(自提),营口市,盖州市,122.359914,40.403934,盖州市西城凤英电动车商行,辽宁省,,
辽宁省阜新市振兴路32号-13,阜新市,海州区,121.6567,41.997627,阜新市海州区永得利自行车车行(直营),辽宁省,,
辽宁省鲅鱼圈区医院西50米道北新日专卖店,营口市,鲅鱼圈区,122.12323,40.236412,营口经济技术开发区泰丰自行车城,辽宁省,,
辽宁省大石桥天富广场新日电动车专卖店,营口市,大石桥市,122.503582,40.635072,辽宁大石桥市新日电动车专卖店(直营),辽宁省,,
辽宁省阜新市海洲区振兴路32-4,阜新市,海州区,121.656869,41.99771,辽宁阜新创业五金车城(直营),辽宁省,,
