address,city,districd,lat,lon,name,province,street,town
重庆市黔江区城酉街道城西五路33号,重庆市,黔江区,108.767495,29.529815,黔江区旭阳摩托车行,重庆市,,
重庆市江津区西门路129号,重庆市,江津区,106.253876,29.280795,谷天友,重庆市,,
重庆市潼南县建设路19号,重庆市,璧山区,106.231536,29.591607,李丽,重庆市,,
"重庆南川区渝南大道凯撒皇庭12栋1-3,4号",重庆市,南川区,107.085343,29.153428,重庆市秀敏电子商务经营部,重庆市,,
重庆市石柱县二环路万寿大道903号,重庆市,石柱土家族自治县,108.141611,29.99835,石柱土家族自治县亿兴达商贸有限公司,重庆市,,
重庆市荣昌县昌源街道昌州中段418号,重庆市,荣昌区,105.59605,29.39975,荣昌县昌元街道宏远摩托车行,重庆市,,
重庆市九龙坡区西彭镇铝城北路7栋附2号,重庆市,九龙坡区,106.32938,29.30927,九龙坡区西彭鸿博车行,重庆市,,
巫溪县赵家坝农业银行对面159号,重庆市,巫溪县,109.618278,31.391796,巫溪县渝华机车经营部,重庆市,,
重庆市梁平县机场路929号,重庆市,梁平区,107.784928,30.668185,梁平县千元电动车车行,重庆市,,
重庆市涪陵区李渡镇马鞍民兴路1号,重庆市,涪陵区,107.25691,29.7589,吴朝勇,重庆市,,
重庆市合川区上什子西路150号新日专卖店,重庆市,合川区,106.260195,29.979608,重庆市合川区升嵘商贸有限公司,重庆市,,
璧山县璧城街道皮鞋城北二楼142-144号,重庆市,璧山区,106.24157,29.626049,璧山区和顺车行,重庆市,,
重庆市垫江县桂溪镇工农路,重庆市,垫江县,107.346884,30.327444,垫江县伟立电动车行,重庆市,,
重庆市永川县渝西大道31号,重庆市,永川区,105.977964,29.364772,永川区众鹿摩托车经营部,重庆市,,
重庆市大足区棠香街道一环南路东段59号,重庆市,大足区,105.728652,29.695423,重庆市大足区阳才贵电动车商城,重庆市,,
重庆市铜梁县中南路338号,重庆市,铜梁区,106.059975,29.835242,重庆市铜梁区航顺商贸有限公司,重庆市,,
重庆市开县开中校F15/16/17号门市,重庆市,开州区,108.37363,31.16149,开县玫瑰之约车行平桥路店,重庆市,,
重庆市秀山县中和镇凤栖北路,重庆市,秀山土家族苗族自治县,109.000314,28.439438,秀山县持诚电动车行,重庆市,,
重庆市璧山县皮鞋城北二街,重庆市,璧山区,106.234594,29.594732,重庆璧山县新日电动车专卖店(直营),重庆市,,
重庆江津区津西路19号珠峰汽车城对面,重庆市,江津区,106.25621,29.278434,江津新日电动车专卖店,重庆市,,
重庆市綦江县黄木湾路5号,重庆市,綦江区,106.664808,29.006453,重庆市綦江县新日专卖店(直营),重庆市,,
重庆市龙兴镇龙舌路加油站旁,重庆市,渝北区,106.79542,29.696195,重庆市两江新区新日专卖店(直营),重庆市,,
重庆市潼南县桂林街道办事处金佛大道加新.新华花园斜对面,重庆市,潼南区,105.840614,30.185975,重庆市潼南县新日专卖店(直营),重庆市,,
重庆市荣昌县昌元镇昌洲中段505号,重庆市,荣昌区,105.584079,29.383149,重庆市荣昌县新日专卖店(直营),重庆市,,
重庆市梁平县梁山镇机场路846-848号,重庆市,梁平区,107.786273,30.669995,梁平县新日电动自行车经营部,重庆市,,
重庆市渝北区回兴街道兴科大道半山名都25号,重庆市,渝北区,106.608119,29.69078,重庆市渝北区新日电动车专卖店(直营),重庆市,,
重庆市涪陵区黎明路黎明花园对面,重庆市,涪陵区,107.385125,29.7085,涪陵新日专卖店(直营),重庆市,,
重庆市忠县红星小区乐天路14号,重庆市,忠县,108.041254,30.305035,重庆忠县新日专卖店(直营),重庆市,,
重庆市石柱县南宾镇人民街42号,重庆市,石柱土家族自治县,108.111615,29.997723,石柱县新日专卖店(直营),重庆市,,
重庆市涪陵区顺江移民小区C号路29号负一层（顺江大道万景风情小区）,重庆市,涪陵区,107.408241,29.69169,重庆市涪陵区骑威路汽车销售有限公司,重庆市,,
九龙坡区西彭工业园区二环路,重庆市,九龙坡区,106.323196,29.284792,重庆市九龙坡区西彭新日专卖店(直营),重庆市,,
重庆市江津区西门路161号,重庆市,江津区,106.253155,29.281742,江津群福摩托车有限公司,重庆市,,
万州白岩路502号,重庆市,万州区,108.356287,30.818433,万州区白岩路轮缘电动车经营部(直营),重庆市,,
重庆市渝北区双凤桥街道汉渝路35号,重庆市,渝北区,106.623672,29.720869,渝北区顺鑫摩托车经营部,重庆市,,
重庆市沙坪坝区大学城康居西城北路1号附26号,重庆市,沙坪坝区,106.311759,29.578346,重庆沙坪坝新日专卖店(直营),重庆市,,
工农北路与马房街交叉口东北150米,重庆市,垫江县,107.359047,30.339536,垫江伟立车电动车,重庆市,,
新城社区,重庆市,巫溪县,109.571993,31.392197,巫溪新城店,重庆市,,
龙凤中路与003乡道交叉口东100米,重庆市,巫溪县,109.517798,31.396969,巫溪凤凰镇新日,重庆市,,
中南路308-310,重庆市,铜梁区,106.059486,29.835803,铜梁新日电动车二店,重庆市,,
幸光大道与龙湖路交叉口南50米,重庆市,大足区,105.767618,29.556267,大足龙水店,重庆市,,
