address,city,districd,lat,lon,name,province,street,town
陕西省岐山县五丈原镇新日专卖店,宝鸡市,岐山县,107.621054,34.443459,岐山县五丈原新日电动车专卖店,陕西省,,
岐山县县城医苑路258号,宝鸡市,岐山县,107.633463,34.441402,徐建军,陕西省,,
眉县首善镇群众中路,宝鸡市,眉县,107.75613,34.269111,眉县首善镇健龙电动车经营店,陕西省,,
户县南环路大转盘,西安市,鄠邑区,108.626486,34.206391,户县新日电动车经营部,陕西省,,
陕西省咸阳市乾县,咸阳市,乾县,108.239473,34.527551,乾县城关新日电动车行,陕西省,,
陕西省宝鸡市金台区东风路22号(宝鸡市自提司机88910368),宝鸡市,金台区,107.178002,34.3642,宝鸡市金台区新日电动车经销店,陕西省,,
兴平市西大街44号,咸阳市,彬州市,108.078379,35.037625,兴平市航空车行,陕西省,,
陕西省咸阳市渭城区乐育北路7号新日电动车,咸阳市,秦都区,108.715829,34.341181,咸阳市渭城区金阳光车行,陕西省,,
周至县中心东街七中对面新日电动车,西安市,周至县,108.226014,34.160319,周至县新日电动车经销部,陕西省,,
陕西省户县大王镇中心街新日专卖店,西安市,鄠邑区,108.64509,34.203941,户县大王申科精修摩托车部,陕西省,,
陕西省宝鸡市凤翔县南环路冯抽楼下,宝鸡市,凤翔县,107.402113,34.513338,凤翔县南环路娜娜电动车经销部,陕西省,,
陕西省陇县和滨东路新日专卖店,宝鸡市,陇县,106.864397,34.89305,陇县友诚电动车行,陕西省,,
陕西省周至终南镇雷家车行,西安市,周至县,108.361574,34.138992,周至县终南雷家自行车行,陕西省,,
陕西省彬县城关仲华车行（温州商贸城新日电动车）,咸阳市,彬州市,108.083847,35.039581,彬县城关仲华车行,陕西省,,
陕西省咸阳市礼泉县武装部东50米新日专卖,咸阳市,长武县,107.793215,35.207969,礼泉城关志玺电动自行车销售部,陕西省,,
陕西省咸阳市旬邑县供销商城院内,咸阳市,旬邑县,108.335392,35.111798,旬邑县城关新日电动车行,陕西省,,
陕西省汉中城固县南环二路中段,汉中市,城固县,107.33393,33.157131,城固县环球电动车经销行,陕西省,,
安康市汉滨区安悦街60号（原仓房楼）,安康市,汉滨区,109.025009,32.696414,安康市汉滨区明静商贸有限责任公司,陕西省,,
陕西省西乡县汉白路西段,汉中市,西乡县,107.762349,32.98315,西乡县汉白路新日电动车经营部,陕西省,,
西安市未央区西宝疏导路106号朱宏物流3区,西安市,未央区,108.819865,34.28779,西安米博商贸有限公司,陕西省,,
陕西省渭南市蒲城县南源双酒新村建华驾校对面西北摩托公司,渭南市,蒲城县,109.604046,34.9363,蒲城县西北摩托车销售有限责任公司,陕西省,,
陕西省商洛市山阳县西关丰阳塔下新日专卖店,商洛市,商州区,109.936958,33.866775,山阳县新日电动车专卖店(直营),陕西省,,
渭南市临渭区东风大街中段商业一条街,渭南市,临渭区,109.500605,34.500868,临渭区兄弟车行,陕西省,,
陕西省西安市蓝田县蓝新路北段,西安市,蓝田县,109.314935,34.166303,蓝田县龙飞车行,陕西省,,
陕西省华阴市西桥,渭南市,华阴市,110.092301,34.566096,华阴市顺腾电动车行,陕西省,,
阎良区文化东路,西安市,阎良区,109.233069,34.663757,西安市阎良区孙欢车行,陕西省,,
渭南市合阳县泰山东路,渭南市,合阳县,110.152794,35.241882,合阳县飞鸽电动车行,陕西省,,
陕西省西安市白杨寨宏发南库,西安市,雁塔区,109.037288,34.234817,西安市碑林区鸿润车行,陕西省,,
陕西省汉中市汉台区东大街街道虎头桥路,汉中市,汉台区,107.024911,33.081187,汉中市汉台区虎桥中路新日电动车经营部,陕西省,,
陕西省南郑县大河坎镇,汉中市,南郑区,107.028603,33.045262,黄丹丹,陕西省,,
贾旗路中段,汉中市,勉县,106.685585,33.176353,勉县朱氏电动车行,陕西省,,
陕西省汉中市宁强县汉源镇王家坝开发区,汉中市,宁强县,106.253504,32.823703,宁强县和平车行,陕西省,,
陕西省汉中市南郑县人民路路口,汉中市,南郑区,106.940621,33.007861,南郑县新日电动车经销部,陕西省,,
陕西渭南市韩城摩托车城,渭南市,韩城市,110.442847,35.476788,韩城市新城摩托车维修服务站(直营),陕西省,,
陕西省西安市高陵县东环路新日专卖,西安市,高陵区,109.090497,34.537336,高陵县红日电动车经销部,陕西省,,
陕西省西安市太华路龙钢北路陕西省五交文化公司交电库,西安市,未央区,108.956862,34.308836,西安办事处,陕西省,,
陕西省渭南市富平县车站大街新日专卖,渭南市,富平县,109.181759,34.744154,富平县范伟新日电动车行,陕西省,,
陕西省华县文体西路新日电动车专卖店,西安市,周至县,108.209492,34.161052,华县新日电动车经销部,陕西省,,
陕西省铜川市耀州区锦阳路中段(耀县),铜川市,耀州区,108.974286,34.907234,铜川市耀州区路路通新日电动车行,陕西省,,
陕西省榆林市靖边县东环南路体育场东大门对面新日专卖店,榆林市,靖边县,108.807784,37.594445,靖边县贵斌电动车门市,陕西省,,
陕西省榆林市西沙文化南路经贸委,榆林市,榆阳区,109.734778,38.275119,榆林市榆阳区鼎毅电动车行,陕西省,,
