address,city,districd,lat,lon,name,province,street,town
黑龙江大庆市乙烯201楼新日专卖店,大庆市,萨尔图区,125.103784,46.589309,大庆市龙凤区新日电动车商店,黑龙江省,,
黑龙江省七台河市勃利县南大直路8号,七台河市,勃利县,130.579284,45.751564,勃利县新日电动车旭日勃利专卖店,黑龙江省,,
黑龙江省安达市北横四道街166号新日专卖店自提,绥化市,安达市,125.352188,46.423508,安达市新日电动车商店,黑龙江省,,
黑龙江省肇东市八南二中集资楼,绥化市,肇东市,125.961814,46.051126,肇东市信誉电动车行,黑龙江省,,
黑龙江省齐齐哈尔市富拉尔基区橡胶厂1号楼,齐齐哈尔市,富拉尔基区,123.647324,47.206673,齐齐哈尔市富拉尔基区大伟电动自行车经销处,黑龙江省,,
黑龙江齐齐哈尔市建华区东市场小区33号楼6门,齐齐哈尔市,龙沙区,123.9656,47.350821,建华区飞宇自行车商店,黑龙江省,,
齐齐哈尔市昂昂溪区中心街庆华小区6号楼21门,齐齐哈尔市,昂昂溪区,123.808112,47.15395,昂昂溪区世纪风摩托车商店,黑龙江省,,
黑龙江省牡丹江市西安区西三条街,牡丹江市,西安区,129.613301,44.573635,牡丹江市西安区新新日电动车商店,黑龙江省,,
黑龙江佳木斯长安路中段石油公司两侧,佳木斯市,向阳区,130.358393,46.809638,佳木斯市向阳区金德富车辆城,黑龙江省,,
黑龙江鹤岗宝泉岭尚志路岭东5号楼,鹤岗市,萝北县,130.547422,47.429511,黑龙江宝泉岭农垦老董新日电动车商店,黑龙江省,,
黑龙江省大兴安岭地区加格达奇丽雪大厦1楼,呼伦贝尔市,鄂伦春自治旗,124.126541,50.422317,加格达奇区世达摩托车批发商场,内蒙古自治区,,
海林市阳明小区中心区15委139号铃木摩托,牡丹江市,海林市,129.391564,44.569038,海林市名优摩托车商行,黑龙江省,,
哈尔滨市道外富锦街,哈尔滨市,道外区,126.647568,45.790391,哈尔滨展恺商贸有限公司,黑龙江省,,
林口县林口镇百货大楼楼下,牡丹江市,林口县,130.263699,45.288333,林口县林口镇新日电动车商店,黑龙江省,,
牡丹江穆棱市八面通镇长征路,牡丹江市,穆棱市,130.531493,44.917935,穆棱市八面通镇鸿运电动车行,黑龙江省,,
绥化市北林区北二东路,绥化市,北林区,126.994068,46.637972,绥化市北林区汇丰三轮摩托车商店,黑龙江省,,
黑龙江庆安县司法局楼下,绥化市,庆安县,127.506366,46.87705,庆安县新日专卖店(直营),黑龙江省,,
哈尔滨市阿城区蜚克图镇,哈尔滨市,阿城区,127.147518,45.756937,哈尔滨阿城区吉祥电动车商店(直营),黑龙江省,,
绥化市明水县北苑楼下,绥化市,明水县,125.900548,47.182537,明水县大天电动车行(直营),黑龙江省,,
黑龙江省七台河市桃山区大明街405号新日电动车专卖店（苏同飞）,七台河市,桃山区,130.982025,45.771224,七台河市桃山区踏浪电动车专卖店,黑龙江省,,
黑龙江省讷河市育才街93号,齐齐哈尔市,讷河市,124.87692,48.48252,讷河市富安电动车商店(直营),黑龙江省,,
黑龙江省肇源县肇源镇三楼十八库楼下,大庆市,肇源县,125.083134,45.526821,肇源县肇源镇新陵电动车专卖店(直营),黑龙江省,,
黑龙江省望奎县宏达小区南侧,绥化市,望奎县,126.482982,46.830941,望奎县望奎镇今典电动车商行(直营),黑龙江省,,
黑龙江省黑河市嫩江县公安局北福民大街,黑河市,嫩江县,125.226634,49.147626,嫩江县自行车大世界,黑龙江省,,
哈尔滨市阿城区胜利街延川南大街调味品厂集资楼下326号,哈尔滨市,阿城区,126.97087,45.529585,哈尔滨阿城区捷马电动车商店(直营),黑龙江省,,
哈尔滨市依兰县中央大街67号门市,哈尔滨市,道里区,126.620087,45.769649,依兰新日电动车专卖店,黑龙江省,,
