add_time,area,date,name,price
2019-06-11,天津,2019-06-10,天然橡胶(全乳胶),12050
2019-06-11,中石化华东,2019-06-11,三元乙丙橡胶(4045),17100
2019-06-11,中石化华东,2019-06-10,PP粒料(K8303),9150
2019-06-11,中石化华东,2019-06-10,PP粒料(K7726),9050
2019-06-11,中石化华东,2019-06-10,PP粒料(M250E),10300
2019-06-11,中石化华东,2019-06-11,PE(7042),7800
2019-06-11,上海,2019-06-11,ABS(HI-121H),12900
2019-06-11,镇江,2019-06-11,ABS(PA-707K),13100
2019-06-11,镇江,2019-06-11,ABS(PA-757K),13300
2019-06-11,上海,2019-06-10,PC(1100),14700
2019-06-11,上海,2019-06-10,PC(2805),15100
2019-06-11,上海,2019-06-10,PMMA(CM207),16500
