cityName,provinceName,weatherDate,weatherStatus,weatherTemperature,weatherWind
北京,北京,2011-01-01,晴/晴,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-02,多云/阴,-2℃/-7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-03,晴/晴,1℃/-8℃,北风3-4级/无持续风向≤3级
北京,北京,2011-01-04,晴/晴,-1℃/-11℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-05,晴/晴,-1℃/-8℃,北风4-5级/北风3-4级
北京,北京,2011-01-06,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-07,晴/多云,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-08,多云/晴,1℃/-8℃,北风4-5级/北风4-5级
北京,北京,2011-01-09,晴/晴,-1℃/-10℃,北风3-4级/无持续风向≤3级
北京,北京,2011-01-10,晴/多云,-1℃/-7℃,无持续风向≤3级/北风3-4级
北京,北京,2011-01-11,晴/晴,-1℃/-11℃,北风3-4级/无持续风向≤3级
北京,北京,2011-01-12,多云/多云,0℃/-8℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-13,晴/晴,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-14,晴/晴,-1℃/-10℃,北风4-5级/北风3-4级
北京,北京,2011-01-15,晴/阴,3℃/-4℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-16,晴/晴,-1℃/-9℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-17,晴/晴,-1℃/-9℃,北风3-4级/无持续风向≤3级
北京,北京,2011-01-18,晴/晴,-1℃/-10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-19,晴/晴,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-20,晴/多云,0℃/-7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-21,晴/多云,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-22,多云/多云,0℃/-9℃,无持续风向≤3级/北风3-4级
北京,北京,2011-01-23,晴/晴,-1℃/-10℃,北风3-4级/无持续风向≤3级
北京,北京,2011-01-24,晴/多云,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-25,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-26,晴/多云,0℃/-8℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-27,晴/晴,2℃/-7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-28,晴/晴,4℃/-7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-29,晴/晴,-1℃/-10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-30,晴/晴,3℃/-7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-01-31,多云/雾,4℃/-2℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-01,晴/晴,4℃/-8℃,北风3-4级/无持续风向≤3级
北京,北京,2011-02-02,晴/多云,9℃/-4℃,北风4-5级/北风4-5级
北京,北京,2011-02-03,小雪/雾,0℃/-5℃,无持续风向≤3级/北风3-4级
北京,北京,2011-02-04,晴/小雪,2℃/-7℃,北风3-4级/无持续风向≤3级
北京,北京,2011-02-05,晴/阴,1℃/-5℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-06,多云/阴,9℃/-1℃,无持续风向≤3级/北风3-4级
北京,北京,2011-02-07,晴/晴,8℃/-4℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-08,晴/多云,-2℃/-9℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-09,多云/多云,0℃/-6℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-10,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-11,晴/晴,1℃/-10℃,北风3-4级/无持续风向≤3级
北京,北京,2011-02-12,阴/小雪,-3℃/-6℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-13,晴/晴,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-14,晴/晴,1℃/-7℃,北风4-5级/无持续风向≤3级
北京,北京,2011-02-15,晴/多云,4℃/-6℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-16,霾/多云,5℃/-4℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-17,晴/晴,9℃/-2℃,无持续风向≤3级/北风3-4级
北京,北京,2011-02-18,多云/晴,3℃/-8℃,北风3-4级/无持续风向≤3级
北京,北京,2011-02-19,晴/晴,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-20,晴/多云,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
